AGE_GROUP,ASFR_2025,ASFR_2026,ASFR_2027,ASFR_2028,ASFR_2029,ASFR_2030,ASFR_2031,ASFR_2032,ASFR_2033,ASFR_2034,ASFR_2035,ASFR_2036,ASFR_2037,ASFR_2038,ASFR_2039,ASFR_2040,ASFR_2041,ASFR_2042,ASFR_2043,ASFR_2044,ASFR_2045,ASFR_2046,ASFR_2047,ASFR_2048,ASFR_2049,ASFR_2050,ASFR_2051,ASFR_2052,ASFR_2053,ASFR_2054,ASFR_2055,ASFR_2056,ASFR_2057,ASFR_2058,ASFR_2059,ASFR_2060,ASFR_2061,ASFR_2062,ASFR_2063,ASFR_2064,ASFR_2065,ASFR_2066,ASFR_2067,ASFR_2068,ASFR_2069,ASFR_2070,ASFR_2071,ASFR_2072,ASFR_2073,ASFR_2074,ASFR_2075,ASFR_2076,ASFR_2077,ASFR_2078,ASFR_2079,ASFR_2080,ASFR_2081,ASFR_2082,ASFR_2083,ASFR_2084,ASFR_2085,ASFR_2086,ASFR_2087,ASFR_2088,ASFR_2089,ASFR_2090,ASFR_2091,ASFR_2092,ASFR_2093,ASFR_2094,ASFR_2095,ASFR_2096,ASFR_2097,ASFR_2098
15-19,1.0,0.9750109282062591,0.9469569126917777,0.9097160785150362,0.8685716848722813,0.8319782019436056,0.7970368671664738,0.7703192384851713,0.7472909940132123,0.7294377678215496,0.7074647539280006,0.6862751948073292,0.6582933017458075,0.6324399605272922,0.6101457872795163,0.587515466640066,0.5749273119409265,0.5606936129532252,0.5427943339924904,0.5290728261513605,0.5173851129365142,0.5063800645877159,0.49584970223514885,0.4868459934120721,0.47897068854398755,0.4722286896700661,0.46662167599330917,0.46257593297823996,0.4593475813535068,0.45767794220792,0.45715386152794485,0.4574426878822138,0.4578333079156802,0.45820761062231724,0.4585382100979828,0.45899133522280644,0.45928210900686883,0.4597498359398632,0.46006833715412,0.4603699233537174,0.4606199165906097,0.46078724322028025,0.46084662488303824,0.46096270828749497,0.4608382645824554,0.46082596872809634,0.46061480942840954,0.4603694785377616,0.46026120587490604,0.4599867057167549,0.45972202103121595,0.4596453375084724,0.45944035130460226,0.4592674594529755,0.45912715587502456,0.45918316949473165,0.4592754806392699,0.4592365149894394,0.45922107551249663,0.4592263563590796,0.4592540541119371,0.4593047564452614,0.45937885822687763,0.45963627006161156,0.45974915297995916,0.45987760500336533,0.4600178740622714,0.46016173286085055,0.4603047830706139,0.4604417702243625,0.46088851873861325,0.4609947370068268,0.4610788596514597,0.46113705478099004
20-24,1.0,0.9759446020433263,0.9531562924725159,0.9318395206515012,0.912703028096359,0.8966769445602237,0.8812482711015405,0.865643581595057,0.8482014224952229,0.8309523401493955,0.814836841966731,0.800204532912221,0.787983782354313,0.7774865149655242,0.767891044151544,0.7574192657493487,0.7479450075471044,0.7364994520002748,0.7261297429393787,0.7177963856273211,0.7097410632296467,0.704077395928926,0.6984115945653883,0.6927023063502754,0.6883315823171484,0.6847370792439975,0.6814692624988941,0.6790312870377644,0.6772644984991699,0.6761528609665748,0.6757677543951687,0.6757047636356397,0.6757385712872873,0.6756792920853386,0.6757116865958132,0.6758479776875582,0.6760028960323182,0.6761462946729334,0.6763882548557258,0.6765063323348021,0.6766511891962558,0.6767981355065732,0.6769874569372744,0.6771058284663715,0.6773952330976086,0.6774826337428188,0.6775730742058363,0.677694764353567,0.6777822286613743,0.6778435925333516,0.6778155873387215,0.6778461206226464,0.6778288355447044,0.6778051392868292,0.6778515701734655,0.6777955928267921,0.6777503487575276,0.6777517995288767,0.6778009919956777,0.6777908074850314,0.6778655193378074,0.6778805880982528,0.6779060925495094,0.6780101465750046,0.6780509600641252,0.6781008348368255,0.6781584391568685,0.6783321523140196,0.6783697200093574,0.6785225715760557,0.6786072954406498,0.6786600337272958,0.6788581224830247,0.6789111279409361
25-29,1.0,0.9904846268355292,0.9821825510845243,0.9749023099273925,0.967496362620939,0.9607069998142674,0.9531532032031791,0.9461769313394174,0.9397353259633838,0.9343861890219011,0.9311810398991741,0.9289952455899154,0.9262234885064181,0.9214378918994415,0.9159133796394611,0.9109563882077043,0.9063347554455927,0.903724987817595,0.9025863721139092,0.9024865402657501,0.900753585130267,0.8991667151701314,0.8953199952792905,0.8917388901459922,0.8892950863468094,0.8869198108326799,0.8873206157116046,0.8869614350575543,0.8855522991015639,0.8855369108772131,0.8856495409591353,0.8856312154716718,0.8855466018049887,0.8854852558784778,0.8854579745543274,0.8854263152764844,0.8854156762008167,0.8853632824795163,0.8853257807482522,0.8853540855701859,0.8854987690945942,0.8856553580180662,0.8859631519506942,0.8862378799391432,0.8864686126569756,0.8867081073232183,0.8869486374736473,0.8872428615384985,0.8874966362822096,0.8877856418716472,0.8880245585924379,0.8881992120003313,0.8883647110090083,0.8884582678228775,0.8884714445143572,0.8884829746736689,0.8884985971514098,0.8884760816035271,0.8884428189599992,0.8883839584123511,0.8883532427640036,0.8883355859400857,0.8883328393861533,0.8883232261278853,0.8883735343521605,0.8883517954778145,0.8884358996555617,0.888466499936131,0.8885753483042519,0.8886496677019748,0.8887345918108913,0.8888313876796946,0.8889615906425641,0.8890797357619329
30-34,1.0,1.009589394318677,1.019023082734103,1.0283795814585104,1.0376308728572838,1.0467526671674878,1.0555160268806174,1.0639162783283047,1.071267725871702,1.0787191246078596,1.0859385074991126,1.0937280030934209,1.100957514974987,1.1077242004220405,1.113831742776553,1.1190073326474042,1.1231613860666596,1.1276305085421785,1.1324681591219707,1.137499530111497,1.1417934484075782,1.1458791586695365,1.1490635870305275,1.1514839091983728,1.153038822196643,1.15479274772757,1.1564986784665374,1.158294659426551,1.159776219675895,1.160997342346934,1.1615772377003442,1.1610485060480302,1.1610099610462545,1.1613541698082563,1.1613126441720987,1.1613484530804274,1.1614354334159247,1.1615377052572462,1.1616134701423202,1.161749794192921,1.1618349052695351,1.161897840521757,1.162032550871143,1.1621648835275047,1.1622804897173347,1.162368622933325,1.162451811732044,1.1625645372770002,1.1626577055705103,1.1627585508836193,1.1628429602377108,1.162947749649367,1.1630292515800071,1.163129273444657,1.1632116766573786,1.1633220405279807,1.1634012137363976,1.1635170377048623,1.1636475816661065,1.163768439511514,1.1638963284022206,1.1640076801739514,1.1641458500655508,1.1642873900892154,1.1644303359756192,1.1645720276997007,1.164709979987374,1.1648434772359413,1.164951167469711,1.1650760187726374,1.1651740532488397,1.1652889679981728,1.165399828525901,1.1655074501459972
35-39,1.0,1.014418680410522,1.0239950990417082,1.0307190089444795,1.0366942781720643,1.044120967573961,1.0543616028219125,1.0650150097748203,1.0755418530023804,1.0867929585347191,1.0972687459472075,1.1084656885900874,1.1166310029389048,1.1224681460973436,1.1301927422349611,1.1372792293536151,1.145812720634249,1.1535166769859304,1.159837061983749,1.1638363103021439,1.1639852560564143,1.1634015110915985,1.1649738164296202,1.1700710975084645,1.175996322693129,1.1808770829592268,1.1846704065502263,1.1851452319444433,1.1826304139462642,1.179555896751796,1.1792670378524592,1.178548319681335,1.18198972306307,1.1852377314224254,1.186700592545103,1.1880543727915431,1.1860881326236916,1.1856104729799228,1.1866350306619606,1.186200705154774,1.1860880213248683,1.1862868885206808,1.186597465228469,1.1868689415436007,1.1870776494613238,1.1873286389064661,1.1875517227692423,1.1878366660712154,1.188128708696622,1.1882783716018983,1.1883281047041077,1.1881573516669857,1.188048324929114,1.1879215736271684,1.1878267203173236,1.1877135694969212,1.1876333790573141,1.1875051582781335,1.187335214107408,1.1872922953863303,1.1871806181964955,1.187173919555209,1.187242986677112,1.1873815363105715,1.1876071923514553,1.1878302658777407,1.188042044988173,1.1883516261959177,1.1886008410950097,1.1889277641138902,1.1891699535356934,1.1894290891628059,1.1896324165782501,1.1898478311082126
40-44,1.0,1.021213122198083,1.0365914270083638,1.0548693912238105,1.073122335220283,1.0925200961257473,1.1132607435795574,1.1227391920828187,1.1272924614289803,1.1304253671449362,1.1377324758055836,1.150818332005309,1.164225349971231,1.1776333997267707,1.1930570161106437,1.2063484432778486,1.2208584897907742,1.2282742279953431,1.2323133789507208,1.2412988613113707,1.2495537069422036,1.2592910999151612,1.2687786954369844,1.2748948248198209,1.2757754679224154,1.268347005748958,1.2620317680254445,1.2603071793854386,1.2661878189469564,1.2728323129958867,1.2786599708991044,1.2815738254466658,1.2786981773592365,1.2699716775390533,1.263235257101799,1.2632575302408409,1.2612493211830862,1.2690153355507314,1.2765615317966676,1.278586077010786,1.2803976478523136,1.276879628532324,1.2759377070375069,1.277492612997093,1.2767268524909545,1.276567026384227,1.2768321801168054,1.277431228261192,1.27807580548151,1.2783493475484036,1.2790418272702997,1.2792879364127543,1.2797309834297774,1.2802559079249696,1.2802294731192339,1.279921964683347,1.2797155277299215,1.2791155469563023,1.2785627763689722,1.2783885248511264,1.2780937911997303,1.2777860754060753,1.277455222197193,1.2769659443620827,1.2765165893177943,1.2761597894409245,1.2762554227219336,1.2763604869977525,1.2766048814223905,1.2767875729075309,1.277192289140555,1.2776498511641645,1.277995961811182,1.2785281290147135
45-49,1.0,1.0366193383910636,1.0626933862054952,1.0883464466793777,1.1095165930244213,1.1367286661937708,1.164296330778354,1.187344989887632,1.2112328554612466,1.2378512260751537,1.2631568598779512,1.2914066436509295,1.30064612457359,1.311131478141355,1.3173752485083594,1.335358398499577,1.3476671891055692,1.366911175557303,1.3797538958225743,1.3990458764312677,1.4120838670346125,1.42927612357151,1.433400971535279,1.4395337740887384,1.4498802066670082,1.458658913793813,1.465163704376458,1.4728325329026593,1.4773700904394433,1.4725314435960164,1.4577593481088078,1.4506613136490674,1.4489415754574724,1.4557087435188678,1.4595753281806183,1.4660877963026773,1.4672243609876447,1.4637264299529427,1.4517708895545687,1.4472673173264305,1.449577742993489,1.4481202914913645,1.4572131548416152,1.466661545451394,1.4679689269093996,1.4653364831195923,1.464799866425268,1.4658413079117056,1.465808055720617,1.4650902179614245,1.4650478606156885,1.4654135597784423,1.4658603729569555,1.4679895504674103,1.4682237224174832,1.4684336120188137,1.4687111260864942,1.468997280193026,1.4691743213903563,1.4690708717239296,1.4686807862006275,1.4681097335138753,1.4675171404831535,1.4669906575131646,1.4665336169371082,1.467894902838186,1.4674380961873126,1.4669626500999593,1.4664967265389128,1.4660837093356882,1.4657767567388136,1.4656261290818793,1.4656395826622721,1.465776058078513
