SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE
50,38,1,North Dakota,Adams County,1,0,23,12,11
50,38,1,North Dakota,Adams County,1,1,21,11,10
50,38,1,North Dakota,Adams County,1,2,28,15,13
50,38,1,North Dakota,Adams County,1,3,29,16,13
50,38,1,North Dakota,Adams County,1,4,25,11,14
50,38,1,North Dakota,Adams County,1,5,22,9,13
50,38,1,North Dakota,Adams County,1,6,26,15,11
50,38,1,North Dakota,Adams County,1,7,23,15,8
50,38,1,North Dakota,Adams County,1,8,18,7,11
50,38,1,North Dakota,Adams County,1,9,22,10,12
50,38,1,North Dakota,Adams County,1,10,26,14,12
50,38,1,North Dakota,Adams County,1,11,26,11,15
50,38,1,North Dakota,Adams County,1,12,20,9,11
50,38,1,North Dakota,Adams County,1,13,27,14,13
50,38,1,North Dakota,Adams County,1,14,21,12,9
50,38,1,North Dakota,Adams County,1,15,23,15,8
50,38,1,North Dakota,Adams County,1,16,24,14,10
50,38,1,North Dakota,Adams County,1,17,27,13,14
50,38,1,North Dakota,Adams County,1,18,22,9,13
50,38,1,North Dakota,Adams County,1,19,21,13,8
50,38,1,North Dakota,Adams County,1,20,20,10,10
50,38,1,North Dakota,Adams County,1,21,18,9,9
50,38,1,North Dakota,Adams County,1,22,20,10,10
50,38,1,North Dakota,Adams County,1,23,17,6,11
50,38,1,North Dakota,Adams County,1,24,18,10,8
50,38,1,North Dakota,Adams County,1,25,19,10,9
50,38,1,North Dakota,Adams County,1,26,20,10,10
50,38,1,North Dakota,Adams County,1,27,18,10,8
50,38,1,North Dakota,Adams County,1,28,16,9,7
50,38,1,North Dakota,Adams County,1,29,19,9,10
50,38,1,North Dakota,Adams County,1,30,20,11,9
50,38,1,North Dakota,Adams County,1,31,27,14,13
50,38,1,North Dakota,Adams County,1,32,27,16,11
50,38,1,North Dakota,Adams County,1,33,30,14,16
50,38,1,North Dakota,Adams County,1,34,28,11,17
50,38,1,North Dakota,Adams County,1,35,28,14,14
50,38,1,North Dakota,Adams County,1,36,27,17,10
50,38,1,North Dakota,Adams County,1,37,22,11,11
50,38,1,North Dakota,Adams County,1,38,19,13,6
50,38,1,North Dakota,Adams County,1,39,19,10,9
50,38,1,North Dakota,Adams County,1,40,25,16,9
50,38,1,North Dakota,Adams County,1,41,25,14,11
50,38,1,North Dakota,Adams County,1,42,25,14,11
50,38,1,North Dakota,Adams County,1,43,14,8,6
50,38,1,North Dakota,Adams County,1,44,15,7,8
50,38,1,North Dakota,Adams County,1,45,18,7,11
50,38,1,North Dakota,Adams County,1,46,25,7,18
50,38,1,North Dakota,Adams County,1,47,20,8,12
50,38,1,North Dakota,Adams County,1,48,15,8,7
50,38,1,North Dakota,Adams County,1,49,20,12,8
50,38,1,North Dakota,Adams County,1,50,19,11,8
50,38,1,North Dakota,Adams County,1,51,24,11,13
50,38,1,North Dakota,Adams County,1,52,20,8,12
50,38,1,North Dakota,Adams County,1,53,22,11,11
50,38,1,North Dakota,Adams County,1,54,25,14,11
50,38,1,North Dakota,Adams County,1,55,30,15,15
50,38,1,North Dakota,Adams County,1,56,31,16,15
50,38,1,North Dakota,Adams County,1,57,37,17,20
50,38,1,North Dakota,Adams County,1,58,34,14,20
50,38,1,North Dakota,Adams County,1,59,35,16,19
50,38,1,North Dakota,Adams County,1,60,37,21,16
50,38,1,North Dakota,Adams County,1,61,35,20,15
50,38,1,North Dakota,Adams County,1,62,34,18,16
50,38,1,North Dakota,Adams County,1,63,40,22,18
50,38,1,North Dakota,Adams County,1,64,39,18,21
50,38,1,North Dakota,Adams County,1,65,41,20,21
50,38,1,North Dakota,Adams County,1,66,38,16,22
50,38,1,North Dakota,Adams County,1,67,46,24,22
50,38,1,North Dakota,Adams County,1,68,36,18,18
50,38,1,North Dakota,Adams County,1,69,28,15,13
50,38,1,North Dakota,Adams County,1,70,26,14,12
50,38,1,North Dakota,Adams County,1,71,27,11,16
50,38,1,North Dakota,Adams County,1,72,29,15,14
50,38,1,North Dakota,Adams County,1,73,33,16,17
50,38,1,North Dakota,Adams County,1,74,30,16,14
50,38,1,North Dakota,Adams County,1,75,20,10,10
50,38,1,North Dakota,Adams County,1,76,20,12,8
50,38,1,North Dakota,Adams County,1,77,16,9,7
50,38,1,North Dakota,Adams County,1,78,20,10,10
50,38,1,North Dakota,Adams County,1,79,22,7,15
50,38,1,North Dakota,Adams County,1,80,15,7,8
50,38,1,North Dakota,Adams County,1,81,17,8,9
50,38,1,North Dakota,Adams County,1,82,18,11,7
50,38,1,North Dakota,Adams County,1,83,16,8,8
50,38,1,North Dakota,Adams County,1,84,18,7,11
50,38,1,North Dakota,Adams County,1,85,108,34,74
50,38,1,North Dakota,Adams County,2,0,24,11,13
50,38,1,North Dakota,Adams County,2,1,21,11,10
50,38,1,North Dakota,Adams County,2,2,26,14,12
50,38,1,North Dakota,Adams County,2,3,28,15,13
50,38,1,North Dakota,Adams County,2,4,26,12,14
50,38,1,North Dakota,Adams County,2,5,22,9,13
50,38,1,North Dakota,Adams County,2,6,25,14,11
50,38,1,North Dakota,Adams County,2,7,23,15,8
50,38,1,North Dakota,Adams County,2,8,19,9,10
50,38,1,North Dakota,Adams County,2,9,21,9,12
50,38,1,North Dakota,Adams County,2,10,26,14,12
50,38,1,North Dakota,Adams County,2,11,26,11,15
50,38,1,North Dakota,Adams County,2,12,22,10,12
50,38,1,North Dakota,Adams County,2,13,24,12,12
50,38,1,North Dakota,Adams County,2,14,23,12,11
50,38,1,North Dakota,Adams County,2,15,23,14,9
50,38,1,North Dakota,Adams County,2,16,24,14,10
50,38,1,North Dakota,Adams County,2,17,27,14,13
50,38,1,North Dakota,Adams County,2,18,22,9,13
50,38,1,North Dakota,Adams County,2,19,22,13,9
50,38,1,North Dakota,Adams County,2,20,20,10,10
50,38,1,North Dakota,Adams County,2,21,20,10,10
50,38,1,North Dakota,Adams County,2,22,20,10,10
50,38,1,North Dakota,Adams County,2,23,18,7,11
50,38,1,North Dakota,Adams County,2,24,18,9,9
50,38,1,North Dakota,Adams County,2,25,19,10,9
