DESTINATION_FIPS,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
10,2688.523162661094,2688.523162661094,2688.523162661094,2688.523162661094,2688.523162661094,1588.0378955990454,1588.0378955990454,1588.0378955990454,1588.0378955990454,1588.0378955990454,1588.0378955990454,1588.0378955990454,1588.0378955990454,1588.0378955990454,1588.0378955990454,1588.0378955990454,1588.0378955990454,1588.0378955990454,785.4189285961792,785.4189285961792,2458.1450969970765,2458.1450969970765,2458.1450969970765,2458.1450969970765,2458.1450969970765,2079.275360586977,2079.275360586977,2079.275360586977,2079.275360586977,2079.275360586977,3447.0070022402842,3447.0070022402842,3447.0070022402842,3447.0070022402842,3447.0070022402842,2331.812250507671,2331.812250507671,2331.812250507671,2331.812250507671,2331.812250507671,1509.180044218014,1509.180044218014,1509.180044218014,1509.180044218014,1509.180044218014,2078.8695031119273,2078.8695031119273,2078.8695031119273,2078.8695031119273,2078.8695031119273,4349.338900487126,4349.338900487126,4349.338900487126,4349.338900487126,4349.338900487126,2796.5509205313447,2796.5509205313447,2796.5509205313447,2796.5509205313447,2796.5509205313447,1575.6561130533262,1575.6561130533262,1575.6561130533262,1575.6561130533262,1575.6561130533262,2671.8673817649924,2671.8673817649924,2671.8673817649924,2671.8673817649924,2671.8673817649924,6589.832829349005,6589.832829349005,6589.832829349005,6589.832829349005,6589.832829349005,3202.6104296332105,3202.6104296332105,3202.6104296332105,3202.6104296332105,3202.6104296332105,3202.6104296332105,3202.6104296332105,3202.6104296332105,3202.6104296332105,3202.6104296332105,3202.6104296332105,3202.6104296332105,3202.6104296332105,3202.6104296332105,3202.6104296332105,3202.6104296332105,3202.6104296332105,3202.6104296332105,3202.6104296332105,3202.6104296332105,3202.6104296332105,3202.6104296332105,3202.6104296332105,3202.6104296332105,3202.6104296332105,3202.6104296332105
01,6541.710205503309,6541.710205503309,6541.710205503309,6541.710205503309,6541.710205503309,7146.1705301957045,7146.1705301957045,7146.1705301957045,7146.1705301957045,7146.1705301957045,7146.1705301957045,7146.1705301957045,7146.1705301957045,7146.1705301957045,7146.1705301957045,7146.1705301957045,7146.1705301957045,7146.1705301957045,5035.921365704914,5035.921365704914,6455.399061032865,6455.399061032865,6455.399061032865,6455.399061032865,6455.399061032865,5134.45582336516,5134.45582336516,5134.45582336516,5134.45582336516,5134.45582336516,5129.925648545979,5129.925648545979,5129.925648545979,5129.925648545979,5129.925648545979,7528.201802135693,7528.201802135693,7528.201802135693,7528.201802135693,7528.201802135693,8545.611842737671,8545.611842737671,8545.611842737671,8545.611842737671,8545.611842737671,10572.900724415877,10572.900724415877,10572.900724415877,10572.900724415877,10572.900724415877,7930.294595221526,7930.294595221526,7930.294595221526,7930.294595221526,7930.294595221526,6152.412025168958,6152.412025168958,6152.412025168958,6152.412025168958,6152.412025168958,7714.149720156909,7714.149720156909,7714.149720156909,7714.149720156909,7714.149720156909,4602.632862018528,4602.632862018528,4602.632862018528,4602.632862018528,4602.632862018528,7787.984252867005,7787.984252867005,7787.984252867005,7787.984252867005,7787.984252867005,2558.059902914577,2558.059902914577,2558.059902914577,2558.059902914577,2558.059902914577,2558.059902914577,2558.059902914577,2558.059902914577,2558.059902914577,2558.059902914577,2558.059902914577,2558.059902914577,2558.059902914577,2558.059902914577,2558.059902914577,2558.059902914577,2558.059902914577,2558.059902914577,2558.059902914577,2558.059902914577,2558.059902914577,2558.059902914577,2558.059902914577,2558.059902914577,2558.059902914577,2558.059902914577
02,2318.4430512016716,2318.4430512016716,2318.4430512016716,2318.4430512016716,2318.4430512016716,1776.095014814722,1776.095014814722,1776.095014814722,1776.095014814722,1776.095014814722,1776.095014814722,1776.095014814722,1776.095014814722,1776.095014814722,1776.095014814722,1776.095014814722,1776.095014814722,1776.095014814722,2090.600383469242,2090.600383469242,3192.63589925296,3192.63589925296,3192.63589925296,3192.63589925296,3192.63589925296,2589.1359854052394,2589.1359854052394,2589.1359854052394,2589.1359854052394,2589.1359854052394,2705.6569876297362,2705.6569876297362,2705.6569876297362,2705.6569876297362,2705.6569876297362,2995.8382556191273,2995.8382556191273,2995.8382556191273,2995.8382556191273,2995.8382556191273,2114.7745842545423,2114.7745842545423,2114.7745842545423,2114.7745842545423,2114.7745842545423,1492.1946740128558,1492.1946740128558,1492.1946740128558,1492.1946740128558,1492.1946740128558,2044.189283228949,2044.189283228949,2044.189283228949,2044.189283228949,2044.189283228949,870.0380641653072,870.0380641653072,870.0380641653072,870.0380641653072,870.0380641653072,1903.917803272769,1903.917803272769,1903.917803272769,1903.917803272769,1903.917803272769,682.5938566552901,682.5938566552901,682.5938566552901,682.5938566552901,682.5938566552901,114.10965938266675,114.10965938266675,114.10965938266675,114.10965938266675,114.10965938266675,1148.105625717566,1148.105625717566,1148.105625717566,1148.105625717566,1148.105625717566,1148.105625717566,1148.105625717566,1148.105625717566,1148.105625717566,1148.105625717566,1148.105625717566,1148.105625717566,1148.105625717566,1148.105625717566,1148.105625717566,1148.105625717566,1148.105625717566,1148.105625717566,1148.105625717566,1148.105625717566,1148.105625717566,1148.105625717566,1148.105625717566,1148.105625717566,1148.105625717566,1148.105625717566
09,15641.327063740857,15641.327063740857,15641.327063740857,15641.327063740857,15641.327063740857,12491.171763014598,12491.171763014598,12491.171763014598,12491.171763014598,12491.171763014598,12491.171763014598,12491.171763014598,12491.171763014598,12491.171763014598,12491.171763014598,12491.171763014598,12491.171763014598,12491.171763014598,13132.666497262584,13132.666497262584,10770.071160716921,10770.071160716921,10770.071160716921,10770.071160716921,10770.071160716921,13097.044800019119,13097.044800019119,13097.044800019119,13097.044800019119,13097.044800019119,11769.607896189353,11769.607896189353,11769.607896189353,11769.607896189353,11769.607896189353,12238.153698856484,12238.153698856484,12238.153698856484,12238.153698856484,12238.153698856484,12304.143035662788,12304.143035662788,12304.143035662788,12304.143035662788,12304.143035662788,9782.165085195387,9782.165085195387,9782.165085195387,9782.165085195387,9782.165085195387,11511.250289955926,11511.250289955926,11511.250289955926,11511.250289955926,11511.250289955926,12304.824050337917,12304.824050337917,12304.824050337917,12304.824050337917,12304.824050337917,8321.433847062877,8321.433847062877,8321.433847062877,8321.433847062877,8321.433847062877,12754.753778644565,12754.753778644565,12754.753778644565,12754.753778644565,12754.753778644565,8929.080846693672,8929.080846693672,8929.080846693672,8929.080846693672,8929.080846693672,12991.721554172458,12991.721554172458,12991.721554172458,12991.721554172458,12991.721554172458,12991.721554172458,12991.721554172458,12991.721554172458,12991.721554172458,12991.721554172458,12991.721554172458,12991.721554172458,12991.721554172458,12991.721554172458,12991.721554172458,12991.721554172458,12991.721554172458,12991.721554172458,12991.721554172458,12991.721554172458,12991.721554172458,12991.721554172458,12991.721554172458,12991.721554172458,12991.721554172458,12991.721554172458
12,75539.88157436434,75539.88157436434,75539.88157436434,75539.88157436434,75539.88157436434,86819.7033712373,86819.7033712373,86819.7033712373,86819.7033712373,86819.7033712373,86819.7033712373,86819.7033712373,86819.7033712373,86819.7033712373,86819.7033712373,86819.7033712373,86819.7033712373,86819.7033712373,55637.69086834993,55637.69086834993,58929.04597395695,58929.04597395695,58929.04597395695,58929.04597395695,58929.04597395695,64246.422013232484,64246.422013232484,64246.422013232484,64246.422013232484,64246.422013232484,76629.61720364938,76629.61720364938,76629.61720364938,76629.61720364938,76629.61720364938,94770.4091481164,94770.4091481164,94770.4091481164,94770.4091481164,94770.4091481164,105027.39594347785,105027.39594347785,105027.39594347785,105027.39594347785,105027.39594347785,110014.2842567085,110014.2842567085,110014.2842567085,110014.2842567085,110014.2842567085,123622.70934817908,123622.70934817908,123622.70934817908,123622.70934817908,123622.70934817908,100411.71444107823,100411.71444107823,100411.71444107823,100411.71444107823,100411.71444107823,135686.96965220675,135686.96965220675,135686.96965220675,135686.96965220675,135686.96965220675,180146.27011214042,180146.27011214042,180146.27011214042,180146.27011214042,180146.27011214042,182603.98242711247,182603.98242711247,182603.98242711247,182603.98242711247,182603.98242711247,153846.15384615384,153846.15384615384,153846.15384615384,153846.15384615384,153846.15384615384,153846.15384615384,153846.15384615384,153846.15384615384,153846.15384615384,153846.15384615384,153846.15384615384,153846.15384615384,153846.15384615384,153846.15384615384,153846.15384615384,153846.15384615384,153846.15384615384,153846.15384615384,153846.15384615384,153846.15384615384,153846.15384615384,153846.15384615384,153846.15384615384,153846.15384615384,153846.15384615384,153846.15384615384
16,1295.2803901079762,1295.2803901079762,1295.2803901079762,1295.2803901079762,1295.2803901079762,2248.327336400754,2248.327336400754,2248.327336400754,2248.327336400754,2248.327336400754,2248.327336400754,2248.327336400754,2248.327336400754,2248.327336400754,2248.327336400754,2248.327336400754,2248.327336400754,2248.327336400754,4342.904664002403,4342.904664002403,6695.308117046092,6695.308117046092,6695.308117046092,6695.308117046092,6695.308117046092,3800.054969348613,3800.054969348613,3800.054969348613,3800.054969348613,3800.054969348613,3290.0788969577593,3290.0788969577593,3290.0788969577593,3290.0788969577593,3290.0788969577593,555.928748465405,555.928748465405,555.928748465405,555.928748465405,555.928748465405,3316.3510525809866,3316.3510525809866,3316.3510525809866,3316.3510525809866,3316.3510525809866,3035.4045505560657,3035.4045505560657,3035.4045505560657,3035.4045505560657,3035.4045505560657,3088.0306193458596,3088.0306193458596,3088.0306193458596,3088.0306193458596,3088.0306193458596,1584.7121883010952,1584.7121883010952,1584.7121883010952,1584.7121883010952,1584.7121883010952,2609.6804372445713,2609.6804372445713,2609.6804372445713,2609.6804372445713,2609.6804372445713,2769.3807898586056,2769.3807898586056,2769.3807898586056,2769.3807898586056,2769.3807898586056,2168.083528270668,2168.083528270668,2168.083528270668,2168.083528270668,2168.083528270668,2316.3534553950894,2316.3534553950894,2316.3534553950894,2316.3534553950894,2316.3534553950894,2316.3534553950894,2316.3534553950894,2316.3534553950894,2316.3534553950894,2316.3534553950894,2316.3534553950894,2316.3534553950894,2316.3534553950894,2316.3534553950894,2316.3534553950894,2316.3534553950894,2316.3534553950894,2316.3534553950894,2316.3534553950894,2316.3534553950894,2316.3534553950894,2316.3534553950894,2316.3534553950894,2316.3534553950894,2316.3534553950894,2316.3534553950894
17,36572.62277951933,36572.62277951933,36572.62277951933,36572.62277951933,36572.62277951933,31852.69694804191,31852.69694804191,31852.69694804191,31852.69694804191,31852.69694804191,31852.69694804191,31852.69694804191,31852.69694804191,31852.69694804191,31852.69694804191,31852.69694804191,31852.69694804191,31852.69694804191,29279.955646931092,29279.955646931092,39496.41243688547,39496.41243688547,39496.41243688547,39496.41243688547,39496.41243688547,42788.45962342013,42788.45962342013,42788.45962342013,42788.45962342013,42788.45962342013,40768.83948960486,40768.83948960486,40768.83948960486,40768.83948960486,40768.83948960486,38598.44185525777,38598.44185525777,38598.44185525777,38598.44185525777,38598.44185525777,35384.023839277135,35384.023839277135,35384.023839277135,35384.023839277135,35384.023839277135,33912.355882052856,33912.355882052856,33912.355882052856,33912.355882052856,33912.355882052856,32634.5395499884,32634.5395499884,32634.5395499884,32634.5395499884,32634.5395499884,30637.768973821177,30637.768973821177,30637.768973821177,30637.768973821177,30637.768973821177,36305.742938270385,36305.742938270385,36305.742938270385,36305.742938270385,36305.742938270385,30950.755728912725,30950.755728912725,30950.755728912725,30950.755728912725,30950.755728912725,32606.83516859702,32606.83516859702,32606.83516859702,32606.83516859702,32606.83516859702,29770.177452816886,29770.177452816886,29770.177452816886,29770.177452816886,29770.177452816886,29770.177452816886,29770.177452816886,29770.177452816886,29770.177452816886,29770.177452816886,29770.177452816886,29770.177452816886,29770.177452816886,29770.177452816886,29770.177452816886,29770.177452816886,29770.177452816886,29770.177452816886,29770.177452816886,29770.177452816886,29770.177452816886,29770.177452816886,29770.177452816886,29770.177452816886,29770.177452816886,29770.177452816886
19,6095.437129919888,6095.437129919888,6095.437129919888,6095.437129919888,6095.437129919888,7321.690508130336,7321.690508130336,7321.690508130336,7321.690508130336,7321.690508130336,7321.690508130336,7321.690508130336,7321.690508130336,7321.690508130336,7321.690508130336,7321.690508130336,7321.690508130336,7321.690508130336,9009.217122132644,9009.217122132644,6510.762689343609,6510.762689343609,6510.762689343609,6510.762689343609,6510.762689343609,4700.277635043359,4700.277635043359,4700.277635043359,4700.277635043359,4700.277635043359,4789.012868104633,4789.012868104633,4789.012868104633,4789.012868104633,4789.012868104633,5119.177225452271,5119.177225452271,5119.177225452271,5119.177225452271,5119.177225452271,8238.008266846102,8238.008266846102,8238.008266846102,8238.008266846102,8238.008266846102,4170.492806856443,4170.492806856443,4170.492806856443,4170.492806856443,4170.492806856443,5944.096497332405,5944.096497332405,5944.096497332405,5944.096497332405,5944.096497332405,4256.971956808825,4256.971956808825,4256.971956808825,4256.971956808825,4256.971956808825,5662.5141562853905,5662.5141562853905,5662.5141562853905,5662.5141562853905,5662.5141562853905,4329.595319356411,4329.595319356411,4329.595319356411,4329.595319356411,4329.595319356411,3052.4333884863354,3052.4333884863354,3052.4333884863354,3052.4333884863354,3052.4333884863354,4652.849114750136,4652.849114750136,4652.849114750136,4652.849114750136,4652.849114750136,4652.849114750136,4652.849114750136,4652.849114750136,4652.849114750136,4652.849114750136,4652.849114750136,4652.849114750136,4652.849114750136,4652.849114750136,4652.849114750136,4652.849114750136,4652.849114750136,4652.849114750136,4652.849114750136,4652.849114750136,4652.849114750136,4652.849114750136,4652.849114750136,4652.849114750136,4652.849114750136,4652.849114750136
27,19548.93765238593,19548.93765238593,19548.93765238593,19548.93765238593,19548.93765238593,16177.091299641854,16177.091299641854,16177.091299641854,16177.091299641854,16177.091299641854,16177.091299641854,16177.091299641854,16177.091299641854,16177.091299641854,16177.091299641854,16177.091299641854,16177.091299641854,16177.091299641854,17025.110305158352,17025.110305158352,14010.688871172528,14010.688871172528,14010.688871172528,14010.688871172528,14010.688871172528,15347.601464255982,15347.601464255982,15347.601464255982,15347.601464255982,15347.601464255982,15249.082782281193,15249.082782281193,15249.082782281193,15249.082782281193,15249.082782281193,13342.28996316972,13342.28996316972,13342.28996316972,13342.28996316972,13342.28996316972,11112.179179082957,11112.179179082957,11112.179179082957,11112.179179082957,11112.179179082957,13302.214059789816,13302.214059789816,13302.214059789816,13302.214059789816,13302.214059789816,10452.911157504059,10452.911157504059,10452.911157504059,10452.911157504059,10452.911157504059,12848.597840441234,12848.597840441234,12848.597840441234,12848.597840441234,12848.597840441234,10783.3965237087,10783.3965237087,10783.3965237087,10783.3965237087,10783.3965237087,8659.190638712822,8659.190638712822,8659.190638712822,8659.190638712822,8659.190638712822,14805.72830490101,14805.72830490101,14805.72830490101,14805.72830490101,14805.72830490101,13475.134449211433,13475.134449211433,13475.134449211433,13475.134449211433,13475.134449211433,13475.134449211433,13475.134449211433,13475.134449211433,13475.134449211433,13475.134449211433,13475.134449211433,13475.134449211433,13475.134449211433,13475.134449211433,13475.134449211433,13475.134449211433,13475.134449211433,13475.134449211433,13475.134449211433,13475.134449211433,13475.134449211433,13475.134449211433,13475.134449211433,13475.134449211433,13475.134449211433,13475.134449211433
36,74995.64611633577,74995.64611633577,74995.64611633577,74995.64611633577,74995.64611633577,77571.4721529197,77571.4721529197,77571.4721529197,77571.4721529197,77571.4721529197,77571.4721529197,77571.4721529197,77571.4721529197,77571.4721529197,77571.4721529197,77571.4721529197,77571.4721529197,77571.4721529197,95682.50594839336,95682.50594839336,91600.96849440457,91600.96849440457,91600.96849440457,91600.96849440457,91600.96849440457,88576.33370377895,88576.33370377895,88576.33370377895,88576.33370377895,88576.33370377895,80022.51106613707,80022.51106613707,80022.51106613707,80022.51106613707,80022.51106613707,86300.21696663655,86300.21696663655,86300.21696663655,86300.21696663655,86300.21696663655,79659.71354416995,79659.71354416995,79659.71354416995,79659.71354416995,79659.71354416995,80769.81940618304,80769.81940618304,80769.81940618304,80769.81940618304,80769.81940618304,77070.28531663188,77070.28531663188,77070.28531663188,77070.28531663188,77070.28531663188,79950.28353919055,79950.28353919055,79950.28353919055,79950.28353919055,79950.28353919055,78405.30470891394,78405.30470891394,78405.30470891394,78405.30470891394,78405.30470891394,68259.38566552901,68259.38566552901,68259.38566552901,68259.38566552901,68259.38566552901,64529.01238089804,64529.01238089804,64529.01238089804,64529.01238089804,64529.01238089804,70739.42030737003,70739.42030737003,70739.42030737003,70739.42030737003,70739.42030737003,70739.42030737003,70739.42030737003,70739.42030737003,70739.42030737003,70739.42030737003,70739.42030737003,70739.42030737003,70739.42030737003,70739.42030737003,70739.42030737003,70739.42030737003,70739.42030737003,70739.42030737003,70739.42030737003,70739.42030737003,70739.42030737003,70739.42030737003,70739.42030737003,70739.42030737003,70739.42030737003,70739.42030737003
