DESTINATION_FIPS,MALE,FEMALE
04,27106.360088458157,21784.23356683375
15,9734.60338823967,8415.977498699665
29,10635.566112290504,10438.59232495288
36,80041.79404479136,85229.00378690027
12,86058.54265405466,91973.3700632154
19,6058.808294169864,5656.602632642871
45,9166.797642001246,7550.631980251123
06,156323.6736256998,169018.08189852405
21,8576.855219496214,6287.945748512289
72,1327.0937421829863,1884.7619257239305
46,1242.9743723698862,1109.7737706475264
08,19359.630228959642,17558.289187583043
50,1143.3593291701625,1417.9155483012237
41,10709.723977783631,11218.214190971446
02,2606.593630392771,1868.5439374263674
28,2632.0508080993673,2283.2610667497647
55,9088.212441254795,9177.064520949585
44,3165.5447061245545,4481.956908805093
51,31782.73294977852,34058.93385261787
01,6536.960501528537,6451.28405922346
38,1514.1486566358008,1378.5290052928563
54,1436.6702897026823,868.8208016551616
18,11743.506759434098,11670.00100783213
31,3832.965495562703,3958.347572340916
47,11678.203564447611,10906.597130111128
13,25636.48478435557,24309.60603031142
24,22248.46648175163,25228.23922459481
27,14020.263913454452,14717.824380038437
49,11975.941860233452,9067.013886073266
22,8339.992783443537,6484.878463554126
39,21521.27666639365,19937.699756382648
25,30433.50253132893,35168.7076232654
40,8509.338356883069,7744.0894120863395
30,1230.799200423253,1144.5266027137327
53,29836.91910594392,31187.191496213676
56,678.4891275714517,576.8970122990273
42,29177.24615319908,28696.571864802216
16,4001.2042351889036,2613.412971378726
37,26276.234728460462,22039.0876686526
48,111316.49027425128,98037.73925876843
10,2321.030506553563,2488.3027759403826
26,24223.058004732822,24396.488110476937
32,7918.289100564706,8435.670770203847
20,9354.95939026739,6315.748014165254
05,3937.007874015748,3913.1688906548475
09,11543.16983922132,12571.257786082417
35,6305.632234542512,4945.328003021179
17,35633.40778635451,37396.364158709235
11,4793.697245533372,6311.114303223094
33,2967.4214535384367,2965.5750029829514
34,30370.413003969104,34097.1619678907
23,1925.8908351946588,2563.600578750497
