GEOID,AGE_GROUP,SEX,PERCENT_OF_AGE_SEX_COHORT
35,70-74,MALE,0.000777139997944269
02,40-44,FEMALE,0.00006000079770321655
10,60-64,MALE,0.00005423010084902838
35,10-14,FEMALE,0.0003508197360084651
38,25-29,FEMALE,0.000027973807678671995
29,55-59,FEMALE,0.0018560831026748132
18,15-19,FEMALE,0.0032320651563282157
19,20-24,FEMALE,0.000601521155761725
18,30-34,MALE,0.0019038599400298972
41,20-24,FEMALE,0.002442688701452576
48,80-84,FEMALE,0.10908792415100961
50,40-44,MALE,0.000034240166049836456
32,85+,MALE,0.00150460695505736
25,85+,FEMALE,0.015441102028330449
17,65-69,FEMALE,0.016167408213359682
13,35-39,FEMALE,0.009358783061864159
42,60-64,FEMALE,0.011213624897703667
31,5-9,MALE,0.00025056540462970356
16,30-34,MALE,0.0002113585658229821
45,55-59,MALE,0.0014745236609893585
15,10-14,MALE,0.0012104234445887735
17,70-74,MALE,0.01707366996010177
41,0-4,MALE,0.0017675165424522496
01,45-49,FEMALE,0.001030465913090138
16,75-79,FEMALE,0.00008879918026774112
72,35-39,FEMALE,0.00003568889159396748
10,45-49,FEMALE,0.00007814906084556298
01,80-84,FEMALE,0.000242076682985289
48,40-44,MALE,0.197798764260574
06,0-4,MALE,0.38956313755456146
22,5-9,MALE,0.0009422451243012638
09,80-84,FEMALE,0.002395750132019984
36,30-34,MALE,0.10283757107131193
11,0-4,MALE,0.00030051868586489466
55,50-54,MALE,0.001005896815960948
36,10-14,MALE,0.09702724574469854
29,0-4,MALE,0.0018952578098773779
08,60-64,FEMALE,0.0031160803942959633
25,55-59,MALE,0.014189172656371207
39,55-59,MALE,0.006850170378979217
08,30-34,MALE,0.006125796335470451
29,50-54,FEMALE,0.0013085287825030515
41,40-44,FEMALE,0.001670147887778583
49,0-4,FEMALE,0.0007706496174295081
44,55-59,MALE,0.000178989107363113
33,65-69,FEMALE,0.00007836366577548656
50,15-19,FEMALE,0.00006629733606516409
40,20-24,FEMALE,0.0014233917265124648
11,60-64,FEMALE,0.00030343641129680914
27,65-69,MALE,0.0017620748854267978
51,10-14,FEMALE,0.020550149399338555
12,40-44,FEMALE,0.1466744016891895
04,10-14,FEMALE,0.006109066328841438
47,40-44,FEMALE,0.0017383728831943744
34,45-49,FEMALE,0.01504480800049642
45,50-54,FEMALE,0.0008451555070096591
48,55-59,FEMALE,0.15407618758409944
23,85+,MALE,0.00007626450201095742
25,70-74,MALE,0.013740132931882778
16,15-19,FEMALE,0.00012984894054624184
06,40-44,MALE,0.3836894205942957
10,70-74,MALE,0.00022475849861556776
04,65-69,FEMALE,0.014824116381283208
38,15-19,FEMALE,0.00003182510916978264
46,10-14,FEMALE,0.000021490326879962442
50,65-69,FEMALE,0.000020472002763318962
08,20-24,FEMALE,0.005294470577699355
25,0-4,FEMALE,0.013513864995447619
44,5-9,FEMALE,0.00020108085615108288
04,35-39,FEMALE,0.0076880997594949065
35,0-4,FEMALE,0.00037418374817905527
38,65-69,MALE,0.000023144482672975255
53,40-44,MALE,0.013072282522057704
49,35-39,FEMALE,0.0008331625107531002
31,0-4,MALE,0.00020643703242185049
10,45-49,MALE,0.0000748417072798627
38,40-44,MALE,0.000030607327522186814
29,15-19,MALE,0.0018287492793579662
09,5-9,MALE,0.0022532175309518147
47,15-19,FEMALE,0.0019688324187820613
51,20-24,MALE,0.014102743375576737
46,65-69,FEMALE,0.000011185883122897458
19,45-49,MALE,0.00039193152457802613
27,10-14,MALE,0.0035443082116556513
47,0-4,MALE,0.0025765452723013715
30,50-54,MALE,0.000026144514106628216
05,20-24,MALE,0.00017884203383383942
34,10-14,FEMALE,0.01691880543442299
34,5-9,FEMALE,0.01691880543442299
46,45-49,MALE,0.00001573683464141965
26,80-84,MALE,0.009503003406751885
18,0-4,FEMALE,0.0018709305325609667
34,55-59,MALE,0.014840729208550753
38,25-29,MALE,0.000031509869475570846
41,80-84,FEMALE,0.0015545319216131112
26,45-49,FEMALE,0.00926033024349341
22,75-79,FEMALE,0.00048092642073636476
12,0-4,FEMALE,0.10828705207399476
15,85+,MALE,0.0013028841873886548
55,40-44,MALE,0.0009049472036999648
21,20-24,FEMALE,0.0009692508001515121
27,65-69,FEMALE,0.001780166744172178
22,20-24,FEMALE,0.0008944468016129665
40,65-69,MALE,0.0008478590472983198
04,10-14,MALE,0.007767655267102448
56,10-14,MALE,3.2788891399713805e-6
05,40-44,MALE,0.00019276898595857076
44,45-49,MALE,0.00015655382859270723
13,10-14,FEMALE,0.008986118506609797
05,65-69,FEMALE,0.00014071377704021567
36,75-79,MALE,0.08629236732921003
53,45-49,FEMALE,0.011855948031937881
50,10-14,MALE,0.000028299194271036898
09,5-9,FEMALE,0.0024014336061918815
19,15-19,MALE,0.0007921474107047959
42,55-59,FEMALE,0.015307587599420866
30,5-9,MALE,0.00001808513872450155
19,5-9,FEMALE,0.0006333674056350507
38,5-9,FEMALE,0.000029073397430569904
49,5-9,FEMALE,0.0012945337766574585
72,20-24,FEMALE,0.000028177654190278488
09,65-69,MALE,0.0021369188814013987
40,75-79,MALE,0.0008672312891597608
37,85+,MALE,0.006848128249137351
02,85+,MALE,0.000045608863171348424
26,5-9,FEMALE,0.009077483157236528
04,25-29,MALE,0.010603529488175927
10,55-59,MALE,0.00010182244463660572
53,10-14,MALE,0.013715671120999112
01,15-19,MALE,0.0006648908058766194
36,15-19,FEMALE,0.11522309833574322
55,10-14,FEMALE,0.0015735856793375792
72,5-9,MALE,0.00003848014432782074
05,85+,MALE,0.00021512324864220636
21,10-14,MALE,0.0008390580594895743
02,0-4,MALE,0.00009614910405015309
09,10-14,FEMALE,0.0024014336061918815
13,15-19,MALE,0.010261276607173329
02,30-34,FEMALE,0.00007916142697934006
53,60-64,FEMALE,0.010996116705122324
40,50-54,MALE,0.000972269041034156
21,80-84,MALE,0.0006318883999817257
21,30-34,MALE,0.0011721477439044549
02,15-19,MALE,0.00008096572543430493
33,25-29,FEMALE,0.00018053684283378233
36,60-64,FEMALE,0.09595644138251924
01,70-74,FEMALE,0.000710809288843483
32,35-39,FEMALE,0.0008839243846958294
42,85+,MALE,0.015074033541079735
26,40-44,MALE,0.009074848872554105
23,60-64,MALE,0.00005437233525754991
46,80-84,MALE,0.00003739291412418207
26,5-9,MALE,0.00920986556937986
17,10-14,FEMALE,0.018216471616085
28,55-59,MALE,0.00012188156873764425
45,35-39,MALE,0.001342023653139825
47,60-64,MALE,0.0014921884531498455
46,75-79,FEMALE,0.000032133912427754424
23,30-34,MALE,0.000052706936525249535
42,15-19,FEMALE,0.015498506565298872
37,5-9,FEMALE,0.007387628393637708
19,10-14,FEMALE,0.0006333674056350507
08,75-79,MALE,0.0046235729788652955
39,30-34,MALE,0.006469484603790282
06,0-4,FEMALE,0.4126187159058284
47,65-69,FEMALE,0.0011171492887880696
30,10-14,FEMALE,0.000016457897246793202
47,55-59,FEMALE,0.0021901148940473955
26,10-14,MALE,0.00920986556937986
51,35-39,FEMALE,0.020036123586575687
04,55-59,FEMALE,0.010985099414836134
49,70-74,FEMALE,0.0009770568295770676
32,65-69,FEMALE,0.001392599846131276
02,15-19,FEMALE,0.00005658660792818186
34,75-79,FEMALE,0.02155932105335137
13,20-24,FEMALE,0.008923198390098665
12,35-39,MALE,0.1258261039283442
24,15-19,MALE,0.00881988172707646
31,60-64,MALE,0.00015299142443267358
34,25-29,FEMALE,0.017363717102402414
48,50-54,MALE,0.16201064111521557
18,65-69,FEMALE,0.002009194908271839
32,15-19,FEMALE,0.0008424494349467103
21,55-59,FEMALE,0.0006082234580221367
55,25-29,FEMALE,0.0010933615442590642
08,65-69,MALE,0.0037483346891945385
31,45-49,MALE,0.0003503096638999213
39,85+,FEMALE,0.007970323010016532
15,0-4,MALE,0.0015104925244031828
20,75-79,MALE,0.0009735150430716007
38,10-14,MALE,0.00003263131505111503
24,30-34,FEMALE,0.008727836781444545
13,0-4,FEMALE,0.011456847238713926
24,70-74,FEMALE,0.009805223788418842
05,85+,FEMALE,0.00020580298453634152
27,75-79,FEMALE,0.0029091948372140164
46,25-29,MALE,0.00001769406123959058
32,65-69,MALE,0.0013582796079669396
45,20-24,MALE,0.0012441166471983535
35,35-39,FEMALE,0.0004653385973426352
12,25-29,MALE,0.08860575240006523
27,25-29,FEMALE,0.003529886178084639
11,35-39,MALE,0.00039743900291936774
30,35-39,MALE,0.000017593777468225737
04,40-44,MALE,0.009534048280496622
41,80-84,MALE,0.0015418857068689887
25,80-84,FEMALE,0.01544110202833045
48,75-79,FEMALE,0.10908792415100961
29,35-39,MALE,0.001650804599991847
44,0-4,MALE,0.0001699426764567761
36,70-74,FEMALE,0.07780800771794708
26,80-84,FEMALE,0.0092121551078036
54,35-39,MALE,0.000011124003334788712
41,65-69,MALE,0.0013550989334475544
54,25-29,FEMALE,0.000014169338580345023
25,30-34,FEMALE,0.017268322267641942
39,65-69,MALE,0.006183285154181974
10,40-44,MALE,0.0000545636768074618
49,30-34,FEMALE,0.0008473836668703362
27,80-84,MALE,0.002879276472533198
06,15-19,MALE,0.39388485799429557
53,35-39,MALE,0.014533216072494162
23,25-29,MALE,0.00006269924786671145
11,65-69,FEMALE,0.00011003228122289974
24,50-54,MALE,0.009606210957295644
13,35-39,MALE,0.010120491923747855
47,10-14,FEMALE,0.002300915832711741
01,25-29,MALE,0.0005378847937053509
19,55-59,FEMALE,0.00036745186084547696
39,35-39,MALE,0.006129686309497943
02,70-74,FEMALE,3.0165295797038104e-6
09,75-79,FEMALE,0.002395750132019984
11,80-84,MALE,0.00007946308537516998
40,80-84,MALE,0.0008672312891597608
01,30-34,FEMALE,0.0005181968847264124
23,35-39,MALE,0.000044047730639874517
28,0-4,FEMALE,0.0000367988407025449
26,10-14,FEMALE,0.009077483157236528
26,50-54,MALE,0.008021466827925884
04,75-79,MALE,0.013696263293650448
56,40-44,MALE,4.063740907754064e-6
21,0-4,MALE,0.0011704331268807624
50,60-64,FEMALE,0.000015372329206666543
72,65-69,MALE,0.000020660912251859338
33,80-84,FEMALE,0.00010339368013906581
26,20-24,FEMALE,0.010199301578974222
20,80-84,MALE,0.0009735150430716007
44,25-29,FEMALE,0.00021398390906850483
13,75-79,MALE,0.007011924665685716
44,40-44,FEMALE,0.0003342870909832711
26,55-59,FEMALE,0.0077273038360751636
33,35-39,FEMALE,0.00008268164522506935
39,75-79,MALE,0.008938546199847316
28,5-9,MALE,0.00008113129123341382
17,50-54,FEMALE,0.01822500493618041
36,20-24,FEMALE,0.12751193802445884
36,45-49,MALE,0.10027704678555968
08,40-44,FEMALE,0.005609949971070767
02,65-69,FEMALE,0.00001781580521647509
17,50-54,MALE,0.01793505104668614
02,20-24,FEMALE,0.00009743524377122722
26,30-34,MALE,0.009613479812344523
37,15-19,FEMALE,0.0071319595098955245
19,45-49,FEMALE,0.00035639890314175855
38,75-79,FEMALE,0.000015477562949842942
18,20-24,FEMALE,0.002772515498644355
48,85+,MALE,0.1286888389328275
31,70-74,MALE,0.00013336328851270524
30,75-79,MALE,0.000037026643371407345
48,15-19,MALE,0.1976915265075636
10,25-29,MALE,0.00007734136633911406
46,85+,FEMALE,0.000032133912427754424
56,65-69,MALE,3.841121907768527e-6
13,80-84,MALE,0.007011924665685716
11,65-69,MALE,0.0000868431920785409
34,80-84,FEMALE,0.02155932105335137
29,30-34,FEMALE,0.0016256525862652343
08,25-29,MALE,0.006140822485131523
13,55-59,FEMALE,0.008708364562934542
37,40-44,FEMALE,0.007324663406536416
09,25-29,FEMALE,0.002572933829804565
29,35-39,FEMALE,0.0015800662916266267
15,80-84,MALE,0.0013028841873886548
36,50-54,FEMALE,0.09809235559529253
45,20-24,FEMALE,0.0009968368224884385
18,75-79,MALE,0.002004350439646082
21,45-49,MALE,0.0010824902435440538
38,70-74,FEMALE,0.000012796406478067775
55,30-34,MALE,0.0011480701651998355
53,25-29,FEMALE,0.016555470772731274
24,80-84,MALE,0.007335089631945566
31,75-79,MALE,0.00024826667454286956
04,0-4,FEMALE,0.006740965108421132
53,5-9,FEMALE,0.014029854559714863
54,0-4,MALE,7.215184104653696e-6
29,40-44,MALE,0.0017262870815150059
45,25-29,MALE,0.0011978321779280118
34,0-4,FEMALE,0.02019403207904256
10,75-79,MALE,0.0001132867283881291
41,10-14,MALE,0.0017408257231031634
27,25-29,MALE,0.003448384515573105
29,65-69,MALE,0.0009302598847659103
12,50-54,MALE,0.16408164994320182
35,20-24,MALE,0.000675651854331444
16,60-64,FEMALE,0.00009793471113505461
12,35-39,FEMALE,0.1311406025370071
41,75-79,MALE,0.0015418857068689887
19,35-39,FEMALE,0.0004356705013335791
22,0-4,MALE,0.0006672674791349371
33,5-9,FEMALE,0.0001023454662796533
19,80-84,MALE,0.00042963559300473846
26,50-54,FEMALE,0.007822492434834613
40,0-4,FEMALE,0.0006871111687920964
05,10-14,MALE,0.00028307774230935365
23,5-9,MALE,0.00009231660980569306
23,45-49,MALE,0.00008229257473885744
24,10-14,MALE,0.010859386640879343
33,45-49,MALE,0.00011212122456125337
33,40-44,FEMALE,0.00008397338717050516
40,10-14,FEMALE,0.0009497543036389802
08,5-9,FEMALE,0.005596126236242993
30,25-29,MALE,0.000025220443908630136
21,40-44,MALE,0.00104923619153141
15,70-74,MALE,0.0012527947687883184
11,75-79,FEMALE,0.00010069383457187518
31,85+,MALE,0.00024826667454286956
33,20-24,FEMALE,0.0002468875813344939
40,60-64,FEMALE,0.0004143121751468891
09,60-64,FEMALE,0.001502166842342069
18,25-29,FEMALE,0.001801526482487641
24,55-59,MALE,0.008789684013079816
25,40-44,FEMALE,0.016693137674628822
10,55-59,FEMALE,0.00010618665643002106
17,20-24,FEMALE,0.024124059915185455
37,15-19,MALE,0.008715692684378823
45,75-79,MALE,0.001311307735164899
16,15-19,MALE,0.00020411353117527766
33,85+,FEMALE,0.00010339368013906581
23,0-4,MALE,0.0000773770128942831
16,65-69,FEMALE,0.00010109518789670053
16,80-84,MALE,0.00014125037912548016
55,65-69,FEMALE,0.0007874961440323873
18,20-24,MALE,0.0028681613493706667
13,80-84,FEMALE,0.006399686482213328
22,55-59,MALE,0.0009756568053877911
06,65-69,FEMALE,0.43036754084108697
36,75-79,FEMALE,0.08843923828057691
15,20-24,FEMALE,0.0013804788636837726
06,75-79,FEMALE,0.43082018297702246
15,45-49,FEMALE,0.0011983451950874208
25,45-49,FEMALE,0.01864823672400392
23,55-59,MALE,0.00007603907882733646
20,5-9,FEMALE,0.0006216006383979103
48,30-34,FEMALE,0.1666675696533264
55,85+,MALE,0.0013084356696053396
51,55-59,MALE,0.013633082806185118
23,50-54,MALE,0.00005942654986069262
50,65-69,MALE,0.000017153147090409385
08,50-54,MALE,0.0041296685555853715
02,20-24,MALE,0.00013972971692428567
37,20-24,FEMALE,0.010841276610215698
28,35-39,MALE,0.00010722869427644453
47,0-4,FEMALE,0.002357293506172246
44,25-29,MALE,0.00015499022324247868
02,25-29,FEMALE,0.000075602254628818
08,40-44,MALE,0.00634550143002305
22,65-69,FEMALE,0.00032151950621791897
04,60-64,MALE,0.01540445786374367
41,60-64,FEMALE,0.0018005381170332721
44,85+,MALE,0.00016033689075546114
29,45-49,MALE,0.0013002423869502735
42,25-29,MALE,0.014121751597019418
55,55-59,MALE,0.0016656604616891845
35,5-9,FEMALE,0.0003508197360084651
45,45-49,MALE,0.0011097989241171163
16,70-74,MALE,0.00012747575883428826
44,80-84,FEMALE,0.00021850163696894047
06,25-29,MALE,0.4120411986679503
49,60-64,MALE,0.0014165577308686648
54,80-84,FEMALE,0.000020279646279924688
11,75-79,MALE,0.00007946308537516998
10,15-19,MALE,0.00004712393422965729
44,40-44,MALE,0.00024221022785669887
24,85+,MALE,0.007335089631945566
13,0-4,MALE,0.012333405923608341
01,45-49,MALE,0.0010720267549275667
42,25-29,FEMALE,0.013543530020243822
21,20-24,MALE,0.0013591210824211986
20,50-54,FEMALE,0.0005045613032726359
12,5-9,MALE,0.11675813267139154
50,5-9,MALE,0.000028299194271036898
37,35-39,FEMALE,0.0070534918906593955
13,60-64,MALE,0.00815497048261311
26,85+,FEMALE,0.0092121551078036
06,85+,FEMALE,0.43082018297702246
44,0-4,FEMALE,0.0002357134318685429
44,50-54,MALE,0.00018403124469603131
51,70-74,FEMALE,0.008907387327963558
51,65-69,FEMALE,0.012395715623604009
49,75-79,MALE,0.0010514213078630843
72,30-34,FEMALE,0.000042479405692464666
18,65-69,MALE,0.00210087436990049
11,70-74,MALE,0.00023109563159277782
28,85+,FEMALE,0.00010186748701227791
34,0-4,MALE,0.01836085307201387
41,30-34,MALE,0.001885138543878681
11,25-29,MALE,0.0006441443334292101
30,65-69,MALE,0.00002752323632574629
21,85+,FEMALE,0.0004458852455997213
02,0-4,FEMALE,0.00006752084649166943
11,0-4,FEMALE,0.0003875873345690522
48,55-59,MALE,0.17984471910483146
21,65-69,FEMALE,0.0004076804072301191
17,0-4,FEMALE,0.021316878901333026
19,25-29,FEMALE,0.0004154853879879552
25,50-54,MALE,0.01299735762365461
06,35-39,MALE,0.39081008117605437
23,65-69,FEMALE,0.000028633096354732693
23,15-19,MALE,0.00009003909113524888
23,40-44,FEMALE,0.00009466771860806008
53,30-34,FEMALE,0.018722180030528536
46,5-9,MALE,0.000024595571817135974
72,45-49,FEMALE,0.00004139942279738987
26,25-29,FEMALE,0.008687950501487638
30,70-74,FEMALE,9.238472488367527e-6
22,55-59,FEMALE,0.0007379676011114313
28,60-64,MALE,0.00019986520477430417
12,25-29,FEMALE,0.09233952118831323
13,45-49,MALE,0.008925784068589007
24,80-84,FEMALE,0.008005607540908533
13,25-29,MALE,0.011439212817027842
54,55-59,MALE,0.000045168637139942075
32,10-14,MALE,0.0009090805072776891
36,70-74,MALE,0.07589841537233823
56,25-29,FEMALE,6.822915096550871e-6
29,40-44,FEMALE,0.0016515900126934386
20,10-14,FEMALE,0.0006216006383979103
34,25-29,MALE,0.015860525739890042
16,5-9,FEMALE,0.00008985789792872616
15,50-54,MALE,0.0014278805095463243
33,35-39,MALE,0.00008483618236027553
02,5-9,FEMALE,0.000050752586640161536
46,30-34,FEMALE,0.00003488579795925987
27,35-39,MALE,0.0028859617449066752
05,75-79,MALE,0.00021512324864220636
35,15-19,MALE,0.0005443170270070794
34,20-24,FEMALE,0.013831376874009321
25,50-54,FEMALE,0.014542951502625055
06,75-79,MALE,0.41398595987914144
33,75-79,MALE,0.00010748857403182065
22,85+,FEMALE,0.0004809264207363648
10,70-74,FEMALE,0.00023198477667298116
47,35-39,MALE,0.0020185248332102775
19,15-19,FEMALE,0.0007209713258055099
29,50-54,MALE,0.001376920733370806
40,70-74,FEMALE,0.0006688495120006934
15,15-19,MALE,0.001243141847104816
31,15-19,FEMALE,0.00027459669459256375
38,0-4,MALE,0.00003172825552508148
35,85+,FEMALE,0.0003448340785263062
40,70-74,MALE,0.00076336608305472
44,35-39,FEMALE,0.0002447115627060919
16,60-64,MALE,0.00015483750852660934
28,50-54,MALE,0.00014477685553018017
22,15-19,MALE,0.0008866859028940528
45,5-9,MALE,0.0009913570460648642
11,20-24,FEMALE,0.0006372612505401968
04,30-34,FEMALE,0.0076434215211764606
45,0-4,MALE,0.0017986218409521966
34,70-74,FEMALE,0.015178820584136572
21,10-14,FEMALE,0.0006019862008586553
10,50-54,FEMALE,0.0001616170808399725
16,85+,MALE,0.00014125037912548016
46,80-84,FEMALE,0.000032133912427754424
13,85+,MALE,0.007011924665685717
39,85+,MALE,0.008938546199847316
45,85+,FEMALE,0.001039614417804015
31,40-44,FEMALE,0.00016812718591500947
51,45-49,MALE,0.018723678061513132
22,45-49,FEMALE,0.0008334136512297898
11,45-49,FEMALE,0.0004280373278818156
06,60-64,FEMALE,0.4279472348491263
10,75-79,FEMALE,0.0001168970152451517
55,20-24,FEMALE,0.0017172050296450983
28,85+,MALE,0.00012200349662786496
08,80-84,FEMALE,0.004036127422130443
50,70-74,MALE,5.751581518926395e-6
10,50-54,MALE,0.0001556939968239286
25,5-9,MALE,0.01418866190255611
15,30-34,FEMALE,0.0013826831496869336
47,30-34,FEMALE,0.0019582156793393943
44,15-19,MALE,0.00023147011460662763
24,75-79,FEMALE,0.008005607540908533
29,65-69,FEMALE,0.0008786876313691971
38,35-39,MALE,0.0000238085578544839
06,5-9,MALE,0.3855168474905323
72,10-14,MALE,0.00003848014432782074
28,40-44,MALE,0.00012690340264770846
06,45-49,MALE,0.38312124767582406
17,85+,MALE,0.01616712715094381
37,0-4,MALE,0.010943859834758285
