TIME_STEP,AGE_GROUP,SEX,NET_IMMIGRATION
2050-2054,0-4,FEMALE,4858
2050-2054,60-64,MALE,987
2060-2064,30-34,MALE,28813
2060-2064,70-74,MALE,-3465
2075-2079,25-29,FEMALE,18382
2045-2049,85+,MALE,58
2080-2084,10-14,MALE,8410
2022-2024,50-54,MALE,15307
2030-2034,65-69,MALE,2146
2040-2044,75-79,MALE,-791
2080-2084,5-9,MALE,7509
2035-2039,40-44,FEMALE,8759
2022-2024,80-84,FEMALE,792
,5-9,MALE,7904
2080-2084,15-19,MALE,11814
2085-2089,85+,MALE,247
2045-2049,35-39,MALE,26889
2060-2064,55-59,FEMALE,-4322
2030-2034,0-4,FEMALE,3246
2080-2084,70-74,FEMALE,-3815
2035-2039,20-24,FEMALE,12826
2070-2074,15-19,FEMALE,6582
2055-2059,85+,MALE,319
2030-2034,60-64,FEMALE,-1365
2045-2049,60-64,MALE,2663
2070-2074,80-84,MALE,-3314
2090-2094,85+,MALE,21
2040-2044,45-49,FEMALE,-3403
2040-2044,15-19,MALE,8855
2070-2074,35-39,FEMALE,16659
2070-2074,5-9,MALE,7321
2035-2039,85+,MALE,98
2080-2084,10-14,FEMALE,5852
2080-2084,75-79,FEMALE,-3262
2045-2049,5-9,FEMALE,5553
2025-2029,55-59,MALE,3784
2050-2054,0-4,MALE,4829
2055-2059,45-49,MALE,10790
2085-2089,15-19,MALE,11780
2090-2094,50-54,FEMALE,-4138
2025-2029,50-54,FEMALE,-1562
2050-2054,25-29,FEMALE,15490
2085-2089,70-74,MALE,-3500
2065-2069,65-69,FEMALE,-4129
2055-2059,75-79,FEMALE,-2074
2085-2089,85+,MALE,-2950
2025-2029,40-44,MALE,16720
2050-2054,40-44,MALE,22495
2035-2039,85+,MALE,65
2035-2039,85+,MALE,200
2085-2089,0-4,MALE,5169
2095-2099,35-39,MALE,28678
2090-2094,85+,FEMALE,351
2060-2064,50-54,FEMALE,-4579
2070-2074,80-84,MALE,-2882
2080-2084,25-29,FEMALE,15875
2050-2054,15-19,FEMALE,6749
2095-2099,45-49,MALE,4552
2070-2074,55-59,MALE,2082
2030-2034,45-49,MALE,10650
2040-2044,60-64,FEMALE,-3273
2080-2084,50-54,FEMALE,-4191
2050-2054,25-29,FEMALE,17348
2025-2029,65-69,MALE,2340
2060-2064,60-64,FEMALE,-4262
,50-54,MALE,7296
2080-2084,35-39,MALE,28554
2030-2034,20-24,FEMALE,9865
2035-2039,30-34,FEMALE,15002
2080-2084,0-4,FEMALE,4328
2060-2064,25-29,FEMALE,18095
2030-2034,30-34,MALE,21547
2025-2029,85+,MALE,62
2045-2049,65-69,MALE,296
2080-2084,85+,FEMALE,433
2090-2094,85+,MALE,21
2050-2054,10-14,MALE,8116
2050-2054,70-74,MALE,-1892
2080-2084,80-84,FEMALE,-2895
2060-2064,80-84,MALE,-2549
2080-2084,85+,FEMALE,254
2085-2089,60-64,MALE,258
2085-2089,35-39,MALE,25952
2030-2034,10-14,MALE,5596
2040-2044,40-44,MALE,16335
2045-2049,0-4,FEMALE,4580
2090-2094,30-34,MALE,29580
2070-2074,20-24,MALE,21208
2040-2044,50-54,FEMALE,-3805
2022-2024,85+,FEMALE,503
2035-2039,40-44,MALE,19358
2025-2029,85+,MALE,390
2085-2089,30-34,MALE,29772
2035-2039,30-34,FEMALE,16103
2090-2094,50-54,MALE,3417
2080-2084,85+,FEMALE,197
2030-2034,15-19,FEMALE,5022
2055-2059,85+,FEMALE,356
2080-2084,35-39,FEMALE,16836
2085-2089,30-34,FEMALE,19304
2030-2034,85+,FEMALE,224
2022-2024,25-29,FEMALE,32888
2065-2069,85+,FEMALE,343
2070-2074,30-34,MALE,29423
2045-2049,75-79,FEMALE,-720
2055-2059,70-74,FEMALE,-2822
2060-2064,15-19,MALE,11671
2070-2074,85+,FEMALE,235
2040-2044,65-69,MALE,540
2070-2074,80-84,FEMALE,-2312
2095-2099,25-29,FEMALE,15778
2080-2084,30-34,MALE,29531
2095-2099,50-54,MALE,3074
2025-2029,15-19,FEMALE,2835
2095-2099,5-9,FEMALE,5542
2050-2054,55-59,FEMALE,-4181
2025-2029,0-4,MALE,3838
2045-2049,25-29,MALE,23432
2060-2064,10-14,FEMALE,5821
2075-2079,35-39,MALE,26813
2060-2064,30-34,MALE,28961
2085-2089,35-39,FEMALE,16918
2065-2069,50-54,FEMALE,-4643
2030-2034,30-34,MALE,21981
2060-2064,15-19,FEMALE,6522
2085-2089,25-29,FEMALE,16837
2060-2064,5-9,MALE,7024
2040-2044,25-29,MALE,22800
2040-2044,85+,FEMALE,360
2085-2089,85+,FEMALE,314
2035-2039,85+,MALE,226
2070-2074,0-4,FEMALE,4466
2095-2099,85+,MALE,356
2040-2044,85+,FEMALE,328
2060-2064,75-79,FEMALE,-2205
2085-2089,70-74,FEMALE,-4352
2070-2074,20-24,FEMALE,12533
2055-2059,75-79,MALE,-1784
2030-2034,20-24,FEMALE,9131
2030-2034,15-19,FEMALE,5930
2022-2024,10-14,FEMALE,18213
2065-2069,85+,MALE,570
2065-2069,75-79,MALE,-3615
2030-2034,85+,MALE,35
2050-2054,0-4,MALE,5550
2090-2094,85+,MALE,29
2075-2079,10-14,FEMALE,5866
2040-2044,60-64,MALE,2323
2055-2059,65-69,MALE,473
2030-2034,65-69,FEMALE,-684
2060-2064,20-24,MALE,19329
2040-2044,80-84,MALE,-811
2085-2089,85+,FEMALE,260
2065-2069,85+,MALE,283
2055-2059,15-19,MALE,14346
2060-2064,30-34,MALE,29010
2045-2049,50-54,FEMALE,-4535
2080-2084,55-59,MALE,2456
2090-2094,30-34,MALE,29765
2035-2039,15-19,FEMALE,7923
2050-2054,75-79,MALE,-1677
2035-2039,30-34,MALE,23864
2035-2039,80-84,MALE,-352
2055-2059,85+,MALE,219
2095-2099,70-74,MALE,-4077
2065-2069,70-74,FEMALE,-3663
2070-2074,70-74,FEMALE,-3683
2035-2039,85+,FEMALE,245
2060-2064,40-44,MALE,16613
2055-2059,35-39,FEMALE,16366
2070-2074,85+,MALE,416
2030-2034,40-44,MALE,14912
2070-2074,55-59,MALE,2233
2075-2079,50-54,MALE,2174
2060-2064,0-4,MALE,8054
,50-54,FEMALE,1798
2025-2029,30-34,FEMALE,8850
2025-2029,25-29,FEMALE,2292
2025-2029,30-34,MALE,15385
2080-2084,50-54,MALE,2374
2035-2039,85+,FEMALE,-56
2045-2049,50-54,FEMALE,-5057
2045-2049,80-84,FEMALE,-541
2050-2054,60-64,FEMALE,-4018
2090-2094,85+,FEMALE,290
2022-2024,0-4,MALE,12741
2080-2084,70-74,FEMALE,-4186
2090-2094,15-19,FEMALE,8366
2080-2084,65-69,MALE,-1591
2060-2064,80-84,MALE,-2476
2045-2049,25-29,MALE,26599
2090-2094,5-9,MALE,7456
2065-2069,55-59,FEMALE,-3901
2065-2069,85+,MALE,494
2030-2034,60-64,FEMALE,-612
2055-2059,0-4,FEMALE,7598
2060-2064,70-74,FEMALE,-3128
2090-2094,75-79,MALE,-5476
2065-2069,10-14,FEMALE,6088
2025-2029,0-4,FEMALE,2344
2085-2089,70-74,FEMALE,-3927
2045-2049,85+,FEMALE,299
2075-2079,15-19,MALE,9566
2065-2069,30-34,FEMALE,18787
2025-2029,15-19,FEMALE,2610
2050-2054,70-74,MALE,-2588
2085-2089,75-79,MALE,-4886
2060-2064,70-74,FEMALE,-2909
,0-4,MALE,6563
2035-2039,15-19,MALE,8173
2055-2059,85+,MALE,78
2080-2084,5-9,FEMALE,5708
2055-2059,85+,MALE,21
2065-2069,30-34,FEMALE,18594
2075-2079,50-54,MALE,2459
2095-2099,55-59,FEMALE,-3997
2025-2029,85+,FEMALE,184
2030-2034,50-54,MALE,4269
2040-2044,45-49,FEMALE,-3289
2025-2029,55-59,FEMALE,-1905
2050-2054,85+,FEMALE,254
2095-2099,85+,MALE,185
2090-2094,10-14,MALE,8852
2060-2064,85+,FEMALE,235
2060-2064,40-44,FEMALE,12357
2045-2049,30-34,MALE,27457
2050-2054,0-4,FEMALE,4340
2060-2064,85+,FEMALE,254
2050-2054,85+,MALE,58
2055-2059,85+,MALE,188
2045-2049,55-59,MALE,2840
2055-2059,85+,MALE,493
2060-2064,30-34,MALE,28690
2025-2029,15-19,FEMALE,3766
2090-2094,50-54,FEMALE,-3668
2080-2084,45-49,MALE,7258
2090-2094,0-4,MALE,5918
2035-2039,5-9,FEMALE,4658
2035-2039,10-14,FEMALE,4853
2045-2049,60-64,MALE,3033
2090-2094,15-19,FEMALE,9264
2065-2069,40-44,FEMALE,12959
2090-2094,5-9,FEMALE,5396
2090-2094,35-39,MALE,25976
2080-2084,55-59,FEMALE,-4039
2070-2074,70-74,MALE,-3251
2090-2094,65-69,MALE,-2532
2090-2094,20-24,FEMALE,11345
2090-2094,70-74,MALE,-3724
2050-2054,60-64,FEMALE,-4122
2030-2034,15-19,FEMALE,4943
2030-2034,40-44,FEMALE,6832
2070-2074,85+,FEMALE,254
2055-2059,5-9,FEMALE,5635
2075-2079,15-19,MALE,11809
2030-2034,65-69,FEMALE,-652
2040-2044,60-64,FEMALE,-1899
2050-2054,35-39,MALE,26460
2035-2039,15-19,MALE,10707
2090-2094,5-9,FEMALE,5670
2050-2054,10-14,FEMALE,5869
2060-2064,30-34,MALE,29070
2095-2099,50-54,MALE,2773
2095-2099,50-54,FEMALE,-4078
2065-2069,10-14,FEMALE,5843
2040-2044,65-69,MALE,1186
2050-2054,80-84,FEMALE,-1405
2070-2074,75-79,FEMALE,-2504
2025-2029,45-49,FEMALE,-631
2090-2094,20-24,MALE,22847
2065-2069,85+,FEMALE,254
2075-2079,80-84,MALE,-4265
2075-2079,75-79,MALE,-4418
2080-2084,85+,FEMALE,268
2090-2094,60-64,FEMALE,-4407
2055-2059,15-19,MALE,14378
2045-2049,5-9,MALE,7198
2085-2089,35-39,FEMALE,18567
2040-2044,85+,MALE,295
2030-2034,45-49,MALE,5907
2045-2049,85+,FEMALE,234
2095-2099,15-19,MALE,13131
2075-2079,50-54,FEMALE,-4457
2095-2099,30-34,FEMALE,19141
2022-2024,85+,FEMALE,689
2025-2029,50-54,MALE,4431
2022-2024,75-79,FEMALE,1778
2070-2074,85+,MALE,21
2055-2059,85+,FEMALE,270
2075-2079,85+,MALE,188
2065-2069,5-9,MALE,7302
2045-2049,75-79,FEMALE,-1279
2075-2079,0-4,FEMALE,7582
2075-2079,5-9,FEMALE,5796
2075-2079,40-44,FEMALE,6349
2090-2094,50-54,FEMALE,-4063
2022-2024,15-19,MALE,23666
2045-2049,75-79,FEMALE,-1338
2055-2059,15-19,FEMALE,7446
,15-19,MALE,12621
2030-2034,30-34,FEMALE,13601
2035-2039,75-79,FEMALE,-605
2035-2039,20-24,MALE,17004
2095-2099,85+,FEMALE,264
2040-2044,85+,FEMALE,381
2030-2034,5-9,MALE,5326
2050-2054,85+,FEMALE,333
2055-2059,0-4,FEMALE,4345
2090-2094,45-49,MALE,12528
2030-2034,70-74,MALE,489
2060-2064,35-39,FEMALE,17506
2035-2039,30-34,MALE,24272
2060-2064,15-19,MALE,13007
2065-2069,70-74,FEMALE,-2899
2075-2079,85+,MALE,29
2050-2054,40-44,FEMALE,9876
2022-2024,25-29,FEMALE,32714
2060-2064,80-84,FEMALE,-1639
2060-2064,55-59,MALE,1734
2075-2079,30-34,FEMALE,18821
2060-2064,75-79,FEMALE,-2457
2090-2094,30-34,FEMALE,19317
2030-2034,65-69,MALE,2811
2085-2089,70-74,MALE,-3940
2075-2079,0-4,MALE,4833
2055-2059,20-24,FEMALE,10065
2085-2089,70-74,MALE,-4663
2095-2099,15-19,FEMALE,9242
2075-2079,85+,FEMALE,262
2045-2049,25-29,MALE,23907
2080-2084,85+,MALE,57
2060-2064,50-54,FEMALE,-4703
2060-2064,65-69,MALE,-793
2050-2054,20-24,FEMALE,11119
2070-2074,25-29,FEMALE,15852
2045-2049,0-4,MALE,4816
2070-2074,85+,FEMALE,317
2022-2024,85+,FEMALE,273
2060-2064,20-24,MALE,22571
2070-2074,50-54,MALE,1918
2022-2024,0-4,MALE,15926
2085-2089,50-54,MALE,2560
2075-2079,40-44,MALE,24271
2060-2064,30-34,FEMALE,18416
2070-2074,70-74,MALE,-3121
2080-2084,50-54,FEMALE,-3870
2055-2059,5-9,FEMALE,5566
2035-2039,15-19,MALE,12510
2070-2074,75-79,MALE,-2896
2040-2044,80-84,FEMALE,-438
2045-2049,60-64,FEMALE,-3063
2065-2069,20-24,FEMALE,11370
2060-2064,60-64,FEMALE,-4234
2050-2054,80-84,MALE,-1794
2040-2044,40-44,FEMALE,10048
2080-2084,15-19,MALE,10541
2065-2069,0-4,FEMALE,4647
2085-2089,35-39,MALE,27006
2075-2079,20-24,MALE,22926
2065-2069,50-54,FEMALE,-4591
2075-2079,20-24,FEMALE,11412
2080-2084,45-49,FEMALE,3729
2075-2079,85+,FEMALE,333
2090-2094,25-29,FEMALE,15798
2045-2049,55-59,FEMALE,-3413
2070-2074,35-39,MALE,26619
2075-2079,85+,MALE,78
2085-2089,45-49,FEMALE,-3107
2035-2039,85+,FEMALE,262
2035-2039,30-34,MALE,24979
2095-2099,85+,MALE,21
2055-2059,35-39,FEMALE,16820
2065-2069,60-64,MALE,620
2030-2034,35-39,FEMALE,12398
2095-2099,10-14,FEMALE,6257
2035-2039,75-79,FEMALE,-610
2095-2099,85+,MALE,483
2035-2039,50-54,FEMALE,-2771
2070-2074,75-79,MALE,-5021
2022-2024,70-74,MALE,3077
2025-2029,55-59,MALE,5248
2025-2029,65-69,MALE,2801
2025-2029,15-19,FEMALE,5173
2035-2039,10-14,FEMALE,5027
2080-2084,80-84,FEMALE,-2518
2045-2049,10-14,MALE,7360
2050-2054,35-39,MALE,24785
2055-2059,75-79,MALE,-3476
2060-2064,55-59,FEMALE,-3818
2040-2044,40-44,MALE,18381
2070-2074,45-49,MALE,5316
2025-2029,20-24,MALE,10364
2090-2094,5-9,FEMALE,5665
2045-2049,85+,MALE,188
2060-2064,25-29,FEMALE,18069
2035-2039,85+,FEMALE,236
2060-2064,50-54,MALE,1911
2090-2094,15-19,MALE,11773
2055-2059,20-24,MALE,19188
2080-2084,80-84,MALE,-3701
2040-2044,65-69,MALE,993
2050-2054,20-24,FEMALE,12223
2030-2034,60-64,MALE,3348
2080-2084,55-59,MALE,2447
2070-2074,25-29,MALE,25716
2095-2099,85+,MALE,558
2085-2089,40-44,FEMALE,6541
2070-2074,25-29,MALE,27769
2085-2089,0-4,MALE,7934
2065-2069,15-19,MALE,11751
2045-2049,50-54,MALE,1773
2040-2044,85+,MALE,27
2085-2089,20-24,FEMALE,13689
2025-2029,75-79,FEMALE,-168
2070-2074,25-29,MALE,26818
2025-2029,80-84,MALE,-104
2075-2079,85+,FEMALE,234
2050-2054,80-84,MALE,-1762
2070-2074,10-14,MALE,7805
2040-2044,0-4,MALE,4958
2055-2059,70-74,MALE,-2839
2090-2094,65-69,MALE,-1707
2035-2039,10-14,FEMALE,4956
2025-2029,5-9,FEMALE,329
2085-2089,85+,MALE,77
2060-2064,85+,FEMALE,197
2060-2064,85+,MALE,-1441
2040-2044,45-49,MALE,3266
2035-2039,10-14,FEMALE,5449
2045-2049,45-49,MALE,8924
2030-2034,35-39,MALE,20472
2075-2079,5-9,MALE,7514
2035-2039,20-24,MALE,13051
2095-2099,45-49,MALE,7797
2090-2094,20-24,FEMALE,10251
2060-2064,55-59,FEMALE,-4233
2070-2074,60-64,FEMALE,-4277
2075-2079,80-84,MALE,-2926
2090-2094,85+,FEMALE,337
2090-2094,10-14,MALE,7609
2075-2079,85+,FEMALE,197
2055-2059,15-19,FEMALE,7431
2030-2034,45-49,MALE,5581
2095-2099,30-34,MALE,29109
2040-2044,75-79,FEMALE,-711
2040-2044,45-49,MALE,7158
2035-2039,75-79,FEMALE,-663
2085-2089,55-59,FEMALE,-4194
2075-2079,75-79,MALE,-4589
2090-2094,0-4,FEMALE,4567
2045-2049,40-44,FEMALE,5129
2022-2024,65-69,MALE,7319
2075-2079,30-34,FEMALE,18782
2060-2064,85+,FEMALE,356
2065-2069,85+,MALE,42
2035-2039,50-54,FEMALE,-1978
2025-2029,85+,FEMALE,142
2060-2064,5-9,MALE,6773
2085-2089,5-9,FEMALE,5686
2090-2094,85+,MALE,17
2070-2074,75-79,MALE,-5029
2090-2094,55-59,MALE,2600
2050-2054,85+,FEMALE,356
2030-2034,35-39,MALE,21393
2090-2094,40-44,MALE,20709
2025-2029,85+,FEMALE,249
2090-2094,10-14,FEMALE,6278
2030-2034,85+,MALE,25
2030-2034,85+,MALE,421
2030-2034,10-14,FEMALE,4516
2070-2074,0-4,FEMALE,4892
2090-2094,55-59,MALE,2241
2095-2099,30-34,MALE,29064
2040-2044,35-39,MALE,25042
2040-2044,30-34,FEMALE,15688
2030-2034,65-69,MALE,3460
2085-2089,75-79,MALE,-5063
2085-2089,0-4,MALE,5957
2060-2064,25-29,MALE,25381
2040-2044,10-14,FEMALE,5282
2060-2064,55-59,FEMALE,-3469
2040-2044,20-24,FEMALE,11993
2090-2094,25-29,MALE,24361
2035-2039,85+,MALE,363
2095-2099,85+,MALE,214
2030-2034,80-84,MALE,-103
2070-2074,5-9,MALE,6799
2040-2044,75-79,MALE,-279
2050-2054,25-29,FEMALE,18347
2035-2039,5-9,FEMALE,4801
2090-2094,60-64,FEMALE,-4473
2040-2044,0-4,MALE,4707
2030-2034,5-9,FEMALE,4212
2065-2069,75-79,FEMALE,-3246
2090-2094,10-14,FEMALE,5893
2095-2099,80-84,FEMALE,-2854
2030-2034,65-69,FEMALE,-763
2050-2054,85+,MALE,78
2065-2069,85+,MALE,219
2070-2074,5-9,MALE,6410
2090-2094,25-29,MALE,24344
2085-2089,85+,MALE,413
2055-2059,0-4,FEMALE,4343
2065-2069,65-69,MALE,-2277
2090-2094,75-79,FEMALE,-3870
2022-2024,30-34,MALE,53126
2040-2044,80-84,FEMALE,-525
2040-2044,80-84,FEMALE,-669
2040-2044,75-79,FEMALE,-596
2075-2079,80-84,MALE,-2608
2080-2084,70-74,FEMALE,-3991
2025-2029,85+,FEMALE,245
2025-2029,55-59,MALE,4450
2035-2039,55-59,MALE,4483
2050-2054,40-44,MALE,20591
2075-2079,15-19,MALE,11810
2090-2094,15-19,FEMALE,6575
2095-2099,20-24,FEMALE,14705
2050-2054,55-59,FEMALE,-3864
,5-9,MALE,8169
2095-2099,20-24,FEMALE,13575
2095-2099,0-4,MALE,5125
2080-2084,60-64,MALE,1087
,85+,MALE,227
2060-2064,60-64,MALE,1191
2050-2054,0-4,MALE,5948
2055-2059,60-64,FEMALE,-3037
2045-2049,85+,FEMALE,-384
2040-2044,10-14,MALE,6826
2060-2064,70-74,MALE,-3544
2022-2024,30-34,FEMALE,39056
2070-2074,65-69,FEMALE,-3476
2095-2099,85+,FEMALE,232
2022-2024,65-69,MALE,7290
2025-2029,30-34,MALE,12940
2050-2054,85+,MALE,188
2065-2069,50-54,MALE,2516
2070-2074,45-49,FEMALE,-3283
2055-2059,60-64,FEMALE,-3933
2045-2049,30-34,MALE,27018
2065-2069,85+,MALE,249
2095-2099,15-19,FEMALE,9237
2085-2089,85+,FEMALE,353
2070-2074,45-49,MALE,11719
2075-2079,10-14,MALE,8890
2025-2029,60-64,FEMALE,-1365
2085-2089,85+,FEMALE,260
2045-2049,55-59,FEMALE,-2276
2085-2089,30-34,FEMALE,19201
2060-2064,55-59,FEMALE,-4099
2070-2074,25-29,MALE,28376
2075-2079,85+,FEMALE,294
2060-2064,70-74,FEMALE,-2782
2080-2084,85+,FEMALE,332
2050-2054,55-59,MALE,940
2065-2069,85+,MALE,42
2075-2079,15-19,FEMALE,7013
2060-2064,45-49,FEMALE,-3799
2060-2064,45-49,FEMALE,564
2040-2044,60-64,FEMALE,-2404
2080-2084,75-79,MALE,-4980
2035-2039,10-14,MALE,7444
2030-2034,40-44,MALE,12863
2030-2034,85+,FEMALE,326
2050-2054,35-39,MALE,25752
2055-2059,55-59,MALE,2130
2080-2084,30-34,MALE,29177
2075-2079,65-69,FEMALE,-4380
2080-2084,5-9,FEMALE,5699
2080-2084,30-34,MALE,29184
2030-2034,45-49,FEMALE,-372
2022-2024,60-64,MALE,7239
2085-2089,40-44,FEMALE,13378
2065-2069,80-84,FEMALE,-944
2075-2079,45-49,MALE,7142
2085-2089,85+,MALE,360
2040-2044,15-19,FEMALE,6145
2045-2049,70-74,MALE,-377
2075-2079,15-19,MALE,9562
2060-2064,75-79,MALE,-3200
2070-2074,75-79,FEMALE,-3339
2050-2054,75-79,FEMALE,-1392
2030-2034,85+,MALE,25
2055-2059,85+,FEMALE,275
2065-2069,0-4,FEMALE,4890
2060-2064,60-64,MALE,899
2050-2054,25-29,FEMALE,16449
2080-2084,15-19,FEMALE,8400
2040-2044,10-14,MALE,7064
2025-2029,75-79,MALE,255
,85+,FEMALE,130
2050-2054,85+,MALE,362
2085-2089,50-54,MALE,3360
2065-2069,85+,FEMALE,356
2065-2069,45-49,MALE,6382
,30-34,FEMALE,17420
2035-2039,80-84,MALE,-393
2065-2069,25-29,FEMALE,17527
2060-2064,0-4,MALE,4842
2035-2039,20-24,MALE,16866
2025-2029,40-44,FEMALE,3702
2075-2079,85+,FEMALE,269
2090-2094,0-4,MALE,5150
2030-2034,45-49,MALE,3580
2040-2044,70-74,MALE,-48
2085-2089,25-29,MALE,28599
2025-2029,55-59,FEMALE,-1597
2080-2084,85+,MALE,-3006
2040-2044,65-69,MALE,1111
2022-2024,70-74,FEMALE,3289
2080-2084,15-19,FEMALE,6597
2055-2059,50-54,MALE,1788
2070-2074,25-29,FEMALE,17621
2065-2069,25-29,MALE,28213
2075-2079,0-4,MALE,5216
2055-2059,45-49,MALE,2905
2045-2049,45-49,FEMALE,-4052
2075-2079,60-64,FEMALE,-4402
2060-2064,20-24,MALE,19420
2095-2099,80-84,MALE,-4768
2065-2069,10-14,MALE,7629
2095-2099,85+,FEMALE,270
2085-2089,70-74,FEMALE,-4010
2025-2029,45-49,MALE,4878
2025-2029,75-79,FEMALE,-90
2075-2079,80-84,MALE,-3856
2080-2084,15-19,FEMALE,7012
2085-2089,65-69,MALE,-2816
2030-2034,45-49,FEMALE,1764
2055-2059,5-9,FEMALE,5722
2060-2064,85+,MALE,319
2080-2084,85+,FEMALE,261
2090-2094,35-39,MALE,29217
2095-2099,25-29,MALE,25630
2040-2044,30-34,FEMALE,16847
2040-2044,85+,FEMALE,282
2085-2089,45-49,FEMALE,-3124
2060-2064,75-79,MALE,-2910
2065-2069,30-34,FEMALE,18568
2070-2074,45-49,MALE,11919
2035-2039,10-14,FEMALE,5281
2065-2069,85+,FEMALE,435
2060-2064,20-24,FEMALE,10175
2090-2094,40-44,FEMALE,14983
2060-2064,20-24,FEMALE,14581
2075-2079,30-34,MALE,29729
2030-2034,85+,FEMALE,216
2085-2089,85+,FEMALE,196
2095-2099,20-24,MALE,21147
2095-2099,5-9,FEMALE,5367
2065-2069,70-74,FEMALE,-2843
2045-2049,40-44,FEMALE,6961
2065-2069,45-49,FEMALE,642
2065-2069,85+,FEMALE,343
2035-2039,15-19,FEMALE,5763
2045-2049,40-44,FEMALE,6123
2080-2084,65-69,MALE,-2008
2040-2044,20-24,FEMALE,10356
2080-2084,45-49,FEMALE,-2253
2080-2084,75-79,MALE,-4889
2075-2079,45-49,FEMALE,3598
2050-2054,15-19,FEMALE,8993
2095-2099,85+,FEMALE,249
2030-2034,75-79,MALE,218
2065-2069,35-39,MALE,28591
2090-2094,45-49,MALE,7634
2035-2039,50-54,FEMALE,-2214
2070-2074,40-44,FEMALE,6043
2050-2054,15-19,FEMALE,6347
2060-2064,15-19,MALE,13054
2090-2094,40-44,FEMALE,9168
2035-2039,55-59,FEMALE,-2050
2075-2079,45-49,MALE,4012
2030-2034,85+,MALE,184
2085-2089,5-9,MALE,7280
2025-2029,80-84,FEMALE,-68
2045-2049,10-14,MALE,8288
2070-2074,85+,FEMALE,341
2025-2029,75-79,FEMALE,-121
2030-2034,85+,FEMALE,257
2075-2079,30-34,FEMALE,19323
2080-2084,10-14,FEMALE,5925
2085-2089,70-74,MALE,-4258
2055-2059,80-84,MALE,-2076
2055-2059,20-24,MALE,17475
2060-2064,50-54,FEMALE,-4248
2070-2074,60-64,FEMALE,-4550
2085-2089,55-59,MALE,2510
2025-2029,50-54,MALE,5264
2022-2024,55-59,MALE,11347
2025-2029,35-39,MALE,13313
2040-2044,5-9,MALE,6743
2070-2074,35-39,FEMALE,17362
2055-2059,10-14,MALE,8184
2095-2099,35-39,MALE,29202
2040-2044,20-24,FEMALE,8814
2035-2039,60-64,FEMALE,-1218
2040-2044,30-34,MALE,26497
2050-2054,75-79,MALE,-1703
2035-2039,60-64,FEMALE,-1242
2065-2069,40-44,MALE,14571
2040-2044,50-54,FEMALE,-4082
2060-2064,85+,FEMALE,300
2025-2029,85+,FEMALE,181
2035-2039,5-9,MALE,6279
2070-2074,25-29,FEMALE,18804
2070-2074,50-54,MALE,2822
2055-2059,50-54,MALE,1359
2035-2039,85+,MALE,174
2060-2064,85+,MALE,319
2080-2084,5-9,FEMALE,5155
2080-2084,75-79,MALE,-4379
2065-2069,70-74,MALE,-1806
2065-2069,85+,MALE,249
2065-2069,25-29,FEMALE,18740
2025-2029,85+,FEMALE,192
2035-2039,75-79,MALE,59
2055-2059,65-69,MALE,-1414
2080-2084,40-44,FEMALE,14881
2075-2079,30-34,FEMALE,19250
2045-2049,65-69,MALE,-1006
2035-2039,0-4,FEMALE,4414
2050-2054,45-49,MALE,2653
2055-2059,25-29,FEMALE,15576
2085-2089,20-24,FEMALE,13682
2080-2084,30-34,MALE,29162
2040-2044,35-39,FEMALE,14260
2060-2064,35-39,MALE,27777
2022-2024,75-79,FEMALE,1996
2095-2099,70-74,MALE,-4989
2045-2049,30-34,FEMALE,17970
2065-2069,20-24,FEMALE,13623
2090-2094,60-64,FEMALE,-4399
2045-2049,85+,MALE,493
2050-2054,85+,FEMALE,294
2075-2079,60-64,FEMALE,-4340
2085-2089,55-59,FEMALE,-4113
2030-2034,5-9,MALE,4258
2050-2054,70-74,FEMALE,-1700
2085-2089,15-19,FEMALE,6589
2055-2059,60-64,MALE,1730
2025-2029,65-69,FEMALE,-1180
2065-2069,35-39,FEMALE,18147
2085-2089,80-84,FEMALE,-2583
2095-2099,15-19,MALE,9507
2025-2029,30-34,FEMALE,4178
2075-2079,15-19,FEMALE,8404
2025-2029,15-19,FEMALE,2213
2095-2099,5-9,FEMALE,5721
2055-2059,65-69,MALE,-1124
2035-2039,45-49,MALE,10135
2060-2064,65-69,MALE,-1737
2075-2079,85+,MALE,78
2025-2029,5-9,FEMALE,958
2055-2059,60-64,MALE,215
2065-2069,70-74,MALE,-2495
2040-2044,85+,FEMALE,294
2085-2089,80-84,FEMALE,-3097
2040-2044,60-64,FEMALE,-1388
2070-2074,85+,FEMALE,263
2080-2084,85+,MALE,29
2060-2064,10-14,FEMALE,6035
2075-2079,65-69,FEMALE,-4244
2035-2039,20-24,MALE,18179
2095-2099,30-34,FEMALE,19111
2050-2054,50-54,FEMALE,-5067
2040-2044,40-44,FEMALE,11438
2060-2064,20-24,MALE,21023
2030-2034,15-19,FEMALE,4529
2065-2069,10-14,MALE,7984
2085-2089,55-59,FEMALE,-4127
2045-2049,15-19,FEMALE,6619
2065-2069,20-24,MALE,19546
2045-2049,0-4,FEMALE,4327
2090-2094,5-9,FEMALE,5390
2025-2029,60-64,FEMALE,-1783
,40-44,FEMALE,10488
2045-2049,70-74,FEMALE,-1402
2070-2074,40-44,FEMALE,12982
2080-2084,55-59,FEMALE,-4123
2075-2079,40-44,FEMALE,11167
2085-2089,30-34,FEMALE,19305
2090-2094,0-4,FEMALE,4394
2025-2029,35-39,MALE,17743
