TIME_STEP,AGE_GROUP,SEX,NET_IMMIGRATION
2060-2064,20-24,MALE,20990
2055-2059,15-19,FEMALE,6850
2030-2034,60-64,FEMALE,-1354
2065-2069,60-64,FEMALE,-3577
2075-2079,45-49,MALE,9398
2040-2044,85+,FEMALE,313
2030-2034,65-69,FEMALE,-733
2050-2054,85+,FEMALE,343
2075-2079,25-29,MALE,26885
2085-2089,0-4,MALE,7974
2035-2039,65-69,MALE,2695
2045-2049,35-39,MALE,23365
2030-2034,75-79,FEMALE,-879
2095-2099,40-44,FEMALE,14993
2040-2044,85+,FEMALE,256
2045-2049,25-29,FEMALE,17648
2035-2039,45-49,FEMALE,244
2070-2074,85+,MALE,362
2085-2089,0-4,MALE,5185
2045-2049,65-69,FEMALE,-2450
2065-2069,20-24,MALE,21159
2030-2034,45-49,FEMALE,-2101
2085-2089,85+,FEMALE,-2147
2030-2034,35-39,FEMALE,12255
2055-2059,10-14,FEMALE,5794
2022-2024,65-69,FEMALE,4843
2055-2059,0-4,MALE,5969
2090-2094,80-84,FEMALE,-3000
2035-2039,40-44,FEMALE,11170
2035-2039,15-19,MALE,12500
2030-2034,80-84,MALE,-220
2085-2089,80-84,FEMALE,-2362
2085-2089,5-9,FEMALE,5682
2040-2044,60-64,MALE,1300
2030-2034,15-19,MALE,10437
2025-2029,80-84,FEMALE,-52
2080-2084,85+,FEMALE,298
2025-2029,65-69,FEMALE,-1097
2090-2094,20-24,FEMALE,11359
2085-2089,45-49,MALE,5605
2045-2049,35-39,MALE,23318
2045-2049,70-74,FEMALE,-2466
2060-2064,50-54,FEMALE,-4732
2070-2074,85+,MALE,21
2040-2044,40-44,FEMALE,12105
2085-2089,85+,MALE,41
2035-2039,5-9,MALE,5999
2055-2059,75-79,MALE,-2549
2070-2074,55-59,FEMALE,-4226
2090-2094,85+,FEMALE,260
2085-2089,85+,FEMALE,387
2040-2044,70-74,FEMALE,-1411
2050-2054,45-49,MALE,5477
2030-2034,25-29,FEMALE,12838
2075-2079,20-24,MALE,21302
2030-2034,40-44,FEMALE,8257
2070-2074,85+,MALE,318
2050-2054,10-14,MALE,7394
2065-2069,40-44,MALE,17293
2055-2059,40-44,FEMALE,13656
2080-2084,25-29,MALE,28604
2090-2094,70-74,FEMALE,-3949
2055-2059,30-34,FEMALE,18714
2025-2029,45-49,MALE,3252
2075-2079,85+,FEMALE,234
2065-2069,0-4,MALE,4843
2065-2069,85+,MALE,188
2065-2069,65-69,MALE,-1960
2075-2079,45-49,MALE,12001
2045-2049,70-74,FEMALE,-1469
2075-2079,45-49,FEMALE,3626
2030-2034,15-19,FEMALE,6527
2060-2064,20-24,MALE,22491
2045-2049,20-24,MALE,17288
2090-2094,55-59,MALE,2497
2040-2044,85+,FEMALE,262
2065-2069,30-34,MALE,29047
2095-2099,5-9,MALE,6972
2050-2054,75-79,FEMALE,-2014
2065-2069,60-64,MALE,-457
2030-2034,55-59,FEMALE,-1313
2070-2074,85+,MALE,42
2022-2024,0-4,MALE,12888
2060-2064,70-74,FEMALE,-2712
2055-2059,5-9,FEMALE,5695
2085-2089,35-39,MALE,29203
2030-2034,70-74,MALE,1587
2050-2054,45-49,MALE,5062
2045-2049,85+,MALE,18
2055-2059,85+,MALE,415
2065-2069,5-9,FEMALE,5781
2070-2074,10-14,MALE,8868
2085-2089,65-69,MALE,-1620
2060-2064,40-44,MALE,13662
2060-2064,85+,MALE,78
2075-2079,55-59,MALE,2350
2085-2089,85+,MALE,280
2035-2039,10-14,FEMALE,5138
2022-2024,35-39,FEMALE,33998
2085-2089,0-4,FEMALE,4289
2025-2029,65-69,FEMALE,-1297
2095-2099,5-9,MALE,6691
2040-2044,5-9,MALE,6530
2080-2084,20-24,MALE,19646
2025-2029,50-54,FEMALE,-3179
2050-2054,85+,MALE,42
2022-2024,65-69,FEMALE,4130
2030-2034,25-29,MALE,19868
2075-2079,35-39,FEMALE,18009
2035-2039,85+,MALE,365
2075-2079,5-9,FEMALE,5795
2035-2039,0-4,MALE,4910
2085-2089,30-34,FEMALE,19218
2065-2069,50-54,FEMALE,-4597
2045-2049,40-44,MALE,20165
2090-2094,40-44,MALE,24634
2030-2034,10-14,FEMALE,4002
2030-2034,20-24,MALE,14420
2065-2069,10-14,FEMALE,5964
,0-4,MALE,6468
2075-2079,20-24,FEMALE,10323
2045-2049,40-44,FEMALE,13013
2050-2054,20-24,FEMALE,12247
2090-2094,85+,FEMALE,429
2035-2039,30-34,FEMALE,14282
2025-2029,5-9,MALE,2193
2065-2069,80-84,FEMALE,-1823
2035-2039,25-29,FEMALE,15729
2065-2069,10-14,FEMALE,6102
2065-2069,70-74,MALE,-2939
2095-2099,65-69,FEMALE,-4258
2060-2064,85+,FEMALE,356
2040-2044,65-69,MALE,571
2095-2099,80-84,FEMALE,-2588
2080-2084,45-49,FEMALE,-2174
2045-2049,85+,MALE,415
2075-2079,0-4,MALE,5218
2030-2034,85+,MALE,336
2075-2079,85+,FEMALE,254
2040-2044,15-19,FEMALE,8046
2040-2044,60-64,MALE,1514
2040-2044,85+,MALE,456
2065-2069,85+,MALE,-1147
2040-2044,85+,FEMALE,396
2090-2094,35-39,MALE,29217
