"Notes","Five-Year Age Groups","Five-Year Age Groups Code","Sex","Sex Code","State","State Code",Deaths,Population,Crude Rate
,"10-14 years","10-14","Male","M","South Dakota","46",Suppressed,32280,Suppressed
,"10-14 years","10-14","Male","M","Tennessee","47",57,226215,25.2
,"10-14 years","10-14","Male","M","Texas","48",214,1102542,19.4
,"10-14 years","10-14","Male","M","Utah","49",25,139847,17.9
,"10-14 years","10-14","Male","M","Vermont","50",Suppressed,17479,Suppressed
,"10-14 years","10-14","Male","M","Virginia","51",45,273963,16.4
,"10-14 years","10-14","Male","M","Washington","53",48,241465,19.9
,"10-14 years","10-14","Male","M","West Virginia","54",11,52620,Unreliable
,"10-14 years","10-14","Male","M","Wisconsin","55",39,185357,21.0
,"10-14 years","10-14","Male","M","Wyoming","56",Suppressed,19649,Suppressed
,"15-19 years","15-19","Female","F","Alabama","01",78,170024,45.9
,"15-19 years","15-19","Female","F","Alaska","02",14,21412,Unreliable
,"15-19 years","15-19","Female","F","Arizona","04",106,241446,43.9
,"15-19 years","15-19","Female","F","Arkansas","05",38,102294,37.1
,"15-19 years","15-19","Female","F","California","06",344,1273942,27.0
,"15-19 years","15-19","Female","F","Colorado","08",64,183130,34.9
,"15-19 years","15-19","Female","F","Connecticut","09",21,117763,17.8
,"15-19 years","15-19","Female","F","Delaware","10",Suppressed,33000,Suppressed
,"15-19 years","15-19","Female","F","District of Columbia","11",10,19813,Unreliable
,"15-19 years","15-19","Female","F","Florida","12",185,640624,28.9
,"15-19 years","15-19","Female","F","Georgia","13",160,378753,42.2
,"15-19 years","15-19","Female","F","Hawaii","15",Suppressed,37433,Suppressed
,"15-19 years","15-19","Female","F","Idaho","16",30,76353,39.3
,"15-19 years","15-19","Female","F","Illinois","17",127,405293,31.3
,"15-19 years","15-19","Female","F","Indiana","18",76,229620,33.1
,"15-19 years","15-19","Female","F","Iowa","19",36,109975,32.7
,"15-19 years","15-19","Female","F","Kansas","20",51,101683,50.2
,"15-19 years","15-19","Female","F","Kentucky","21",67,143462,46.7
,"15-19 years","15-19","Female","F","Louisiana","22",75,151000,49.7
,"15-19 years","15-19","Female","F","Maine","23",13,39329,Unreliable
,"15-19 years","15-19","Female","F","Maryland","24",64,195325,32.8
,"15-19 years","15-19","Female","F","Massachusetts","25",36,224315,16.0
,"15-19 years","15-19","Female","F","Michigan","26",98,314887,31.1
,"15-19 years","15-19","Female","F","Minnesota","27",68,188638,36.0
,"15-19 years","15-19","Female","F","Mississippi","28",58,104221,55.7
,"15-19 years","15-19","Female","F","Missouri","29",78,198616,39.3
,"15-19 years","15-19","Female","F","Montana","30",15,33688,Unreliable
,"15-19 years","15-19","Female","F","Nebraska","31",28,68423,40.9
,"15-19 years","15-19","Female","F","Nevada","32",35,95040,36.8
,"15-19 years","15-19","Female","F","New Hampshire","33",12,40827,Unreliable
,"15-19 years","15-19","Female","F","New Jersey","34",61,285171,21.4
,"15-19 years","15-19","Female","F","New Mexico","35",34,70600,48.2
,"15-19 years","15-19","Female","F","New York","36",131,587856,22.3
,"15-19 years","15-19","Female","F","North Carolina","37",132,353896,37.3
,"15-19 years","15-19","Female","F","North Dakota","38",Suppressed,26808,Suppressed
,"15-19 years","15-19","Female","F","Ohio","39",103,374299,27.5
,"15-19 years","15-19","Female","F","Oklahoma","40",79,138653,57.0
,"15-19 years","15-19","Female","F","Oregon","41",37,124050,29.8
,"15-19 years","15-19","Female","F","Pennsylvania","42",78,413980,18.8
,"15-19 years","15-19","Female","F","Rhode Island","44",Suppressed,36166,Suppressed
,"15-19 years","15-19","Female","F","South Carolina","45",50,173187,28.9
,"15-19 years","15-19","Female","F","South Dakota","46",23,30517,75.4
,"15-19 years","15-19","Female","F","Tennessee","47",98,222849,44.0
,"15-19 years","15-19","Female","F","Texas","48",346,1072826,32.3
,"15-19 years","15-19","Female","F","Utah","49",44,138294,31.8
,"15-19 years","15-19","Female","F","Vermont","50",Suppressed,20274,Suppressed
,"15-19 years","15-19","Female","F","Virginia","51",71,278157,25.5
,"15-19 years","15-19","Female","F","Washington","53",99,228489,43.3
,"15-19 years","15-19","Female","F","West Virginia","54",20,52699,38.0
,"15-19 years","15-19","Female","F","Wisconsin","55",71,190248,37.3
,"15-19 years","15-19","Female","F","Wyoming","56",Suppressed,19497,Suppressed
,"15-19 years","15-19","Male","M","Alabama","01",202,174855,115.5
,"15-19 years","15-19","Male","M","Alaska","02",25,24462,102.2
,"15-19 years","15-19","Male","M","Arizona","04",232,255240,90.9
,"15-19 years","15-19","Male","M","Arkansas","05",123,107364,114.6
,"15-19 years","15-19","Male","M","California","06",831,1334497,62.3
,"15-19 years","15-19","Male","M","Colorado","08",191,195521,97.7
,"15-19 years","15-19","Male","M","Connecticut","09",63,120930,52.1
,"15-19 years","15-19","Male","M","Delaware","10",19,32539,Unreliable
,"15-19 years","15-19","Male","M","District of Columbia","11",38,17919,212.1
,"15-19 years","15-19","Male","M","Florida","12",536,671230,79.9
,"15-19 years","15-19","Male","M","Georgia","13",371,395115,93.9
,"15-19 years","15-19","Male","M","Hawaii","15",16,40495,Unreliable
,"15-19 years","15-19","Male","M","Idaho","16",59,74625,79.1
,"15-19 years","15-19","Male","M","Illinois","17",377,426215,88.5
,"15-19 years","15-19","Male","M","Indiana","18",256,243974,104.9
,"15-19 years","15-19","Male","M","Iowa","19",71,116666,60.9
,"15-19 years","15-19","Male","M","Kansas","20",108,108890,99.2
,"15-19 years","15-19","Male","M","Kentucky","21",144,150922,95.4
,"15-19 years","15-19","Male","M","Louisiana","22",238,156295,152.3
,"15-19 years","15-19","Male","M","Maine","23",24,41846,57.4
,"15-19 years","15-19","Male","M","Maryland","24",168,203301,82.6
,"15-19 years","15-19","Male","M","Massachusetts","25",96,227837,42.1
,"15-19 years","15-19","Male","M","Michigan","26",227,332223,68.3
,"15-19 years","15-19","Male","M","Minnesota","27",119,195829,60.8
,"15-19 years","15-19","Male","M","Mississippi","28",184,108209,170.0
,"15-19 years","15-19","Male","M","Missouri","29",236,210375,112.2
,"15-19 years","15-19","Male","M","Montana","30",38,36919,102.9
,"15-19 years","15-19","Male","M","Nebraska","31",54,72733,74.2
,"15-19 years","15-19","Male","M","Nevada","32",95,100717,94.3
,"15-19 years","15-19","Male","M","New Hampshire","33",20,42314,47.3
,"15-19 years","15-19","Male","M","New Jersey","34",145,300672,48.2
,"15-19 years","15-19","Male","M","New Mexico","35",116,73863,157.0
,"15-19 years","15-19","Male","M","New York","36",283,610445,46.4
,"15-19 years","15-19","Male","M","North Carolina","37",372,369778,100.6
,"15-19 years","15-19","Male","M","North Dakota","38",16,28935,Unreliable
,"15-19 years","15-19","Male","M","Ohio","39",314,393774,79.7
,"15-19 years","15-19","Male","M","Oklahoma","40",159,146886,108.2
,"15-19 years","15-19","Male","M","Oregon","41",123,130961,93.9
,"15-19 years","15-19","Male","M","Pennsylvania","42",296,428643,69.1
,"15-19 years","15-19","Male","M","Rhode Island","44",19,36219,Unreliable
,"15-19 years","15-19","Male","M","South Carolina","45",180,181814,99.0
,"15-19 years","15-19","Male","M","South Dakota","46",18,32774,Unreliable
,"15-19 years","15-19","Male","M","Tennessee","47",276,234031,117.9
,"15-19 years","15-19","Male","M","Texas","48",1043,1132328,92.1
,"15-19 years","15-19","Male","M","Utah","49",86,144395,59.6
,"15-19 years","15-19","Male","M","Vermont","50",13,21554,Unreliable
,"15-19 years","15-19","Male","M","Virginia","51",249,290507,85.7
,"15-19 years","15-19","Male","M","Washington","53",182,240878,75.6
,"15-19 years","15-19","Male","M","West Virginia","54",43,57097,75.3
,"15-19 years","15-19","Male","M","Wisconsin","55",153,200172,76.4
,"15-19 years","15-19","Male","M","Wyoming","56",23,20852,110.3
,"20-24 years","20-24","Female","F","Alabama","01",121,170002,71.2
,"20-24 years","20-24","Female","F","Alaska","02",21,21199,99.1
,"20-24 years","20-24","Female","F","Arizona","04",125,244777,51.1
,"20-24 years","20-24","Female","F","Arkansas","05",65,100095,64.9
,"20-24 years","20-24","Female","F","California","06",524,1228809,42.6
,"20-24 years","20-24","Female","F","Colorado","08",92,185120,49.7
,"20-24 years","20-24","Female","F","Connecticut","09",37,114917,32.2
,"20-24 years","20-24","Female","F","Delaware","10",16,29811,Unreliable
,"20-24 years","20-24","Female","F","District of Columbia","11",Suppressed,26711,Suppressed
,"20-24 years","20-24","Female","F","Florida","12",327,641986,50.9
,"20-24 years","20-24","Female","F","Georgia","13",231,368046,62.8
,"20-24 years","20-24","Female","F","Hawaii","15",16,38257,Unreliable
,"20-24 years","20-24","Female","F","Idaho","16",33,62830,52.5
,"20-24 years","20-24","Female","F","Illinois","17",191,401556,47.6
,"20-24 years","20-24","Female","F","Indiana","18",150,233041,64.4
,"20-24 years","20-24","Female","F","Iowa","19",50,110264,45.3
,"20-24 years","20-24","Female","F","Kansas","20",62,102368,60.6
,"20-24 years","20-24","Female","F","Kentucky","21",99,143835,68.8
,"20-24 years","20-24","Female","F","Louisiana","22",111,148930,74.5
,"20-24 years","20-24","Female","F","Maine","23",16,37513,Unreliable
,"20-24 years","20-24","Female","F","Maryland","24",90,181895,49.5
,"20-24 years","20-24","Female","F","Massachusetts","25",68,242591,28.0
,"20-24 years","20-24","Female","F","Michigan","26",162,326807,49.6
,"20-24 years","20-24","Female","F","Minnesota","27",77,176654,43.6
,"20-24 years","20-24","Female","F","Mississippi","28",82,99186,82.7
,"20-24 years","20-24","Female","F","Missouri","29",133,200001,66.5
,"20-24 years","20-24","Female","F","Montana","30",25,35191,71.0
,"20-24 years","20-24","Female","F","Nebraska","31",28,68020,41.2
,"20-24 years","20-24","Female","F","Nevada","32",48,89772,53.5
,"20-24 years","20-24","Female","F","New Hampshire","33",18,41678,Unreliable
,"20-24 years","20-24","Female","F","New Jersey","34",99,272063,36.4
,"20-24 years","20-24","Female","F","New Mexico","35",59,68505,86.1
,"20-24 years","20-24","Female","F","New York","36",211,623665,33.8
,"20-24 years","20-24","Female","F","North Carolina","37",239,352901,67.7
,"20-24 years","20-24","Female","F","North Dakota","38",16,29686,Unreliable
,"20-24 years","20-24","Female","F","Ohio","39",209,366321,57.1
,"20-24 years","20-24","Female","F","Oklahoma","40",83,137735,60.3
,"20-24 years","20-24","Female","F","Oregon","41",73,127548,57.2
,"20-24 years","20-24","Female","F","Pennsylvania","42",164,397363,41.3
,"20-24 years","20-24","Female","F","Rhode Island","44",13,37118,Unreliable
,"20-24 years","20-24","Female","F","South Carolina","45",101,167969,60.1
,"20-24 years","20-24","Female","F","South Dakota","46",18,29030,Unreliable
,"20-24 years","20-24","Female","F","Tennessee","47",170,229481,74.1
,"20-24 years","20-24","Female","F","Texas","48",597,1035013,57.7
,"20-24 years","20-24","Female","F","Utah","49",56,142272,39.4
,"20-24 years","20-24","Female","F","Vermont","50",Suppressed,21438,Suppressed
,"20-24 years","20-24","Female","F","Virginia","51",158,278101,56.8
,"20-24 years","20-24","Female","F","Washington","53",109,229639,47.5
,"20-24 years","20-24","Female","F","West Virginia","54",37,53769,68.8
,"20-24 years","20-24","Female","F","Wisconsin","55",82,195176,42.0
,"20-24 years","20-24","Female","F","Wyoming","56",Suppressed,17706,Suppressed
,"20-24 years","20-24","Male","M","Alabama","01",325,170721,190.4
,"20-24 years","20-24","Male","M","Alaska","02",73,28637,254.9
,"20-24 years","20-24","Male","M","Arizona","04",398,260351,152.9
,"20-24 years","20-24","Male","M","Arkansas","05",189,104967,180.1
,"20-24 years","20-24","Male","M","California","06",1546,1294089,119.5
,"20-24 years","20-24","Male","M","Colorado","08",299,201485,148.4
,"20-24 years","20-24","Male","M","Connecticut","09",106,120603,87.9
,"20-24 years","20-24","Male","M","Delaware","10",48,30340,158.2
,"20-24 years","20-24","Male","M","District of Columbia","11",45,20950,214.8
,"20-24 years","20-24","Male","M","Florida","12",910,660010,137.9
,"20-24 years","20-24","Male","M","Georgia","13",667,379322,175.8
,"20-24 years","20-24","Male","M","Hawaii","15",48,47295,101.5
,"20-24 years","20-24","Male","M","Idaho","16",101,68259,148.0
,"20-24 years","20-24","Male","M","Illinois","17",538,414812,129.7
,"20-24 years","20-24","Male","M","Indiana","18",364,243757,149.3
,"20-24 years","20-24","Male","M","Iowa","19",121,116704,103.7
,"20-24 years","20-24","Male","M","Kansas","20",145,113502,127.8
,"20-24 years","20-24","Male","M","Kentucky","21",252,152776,164.9
,"20-24 years","20-24","Male","M","Louisiana","22",371,151026,245.7
,"20-24 years","20-24","Male","M","Maine","23",58,39515,146.8
,"20-24 years","20-24","Male","M","Maryland","24",277,184793,149.9
,"20-24 years","20-24","Male","M","Massachusetts","25",182,236361,77.0
,"20-24 years","20-24","Male","M","Michigan","26",380,339964,111.8
,"20-24 years","20-24","Male","M","Minnesota","27",212,182318,116.3
,"20-24 years","20-24","Male","M","Mississippi","28",256,101694,251.7
,"20-24 years","20-24","Male","M","Missouri","29",341,206037,165.5
,"20-24 years","20-24","Male","M","Montana","30",44,39831,110.5
,"20-24 years","20-24","Male","M","Nebraska","31",69,71542,96.4
,"20-24 years","20-24","Male","M","Nevada","32",132,95119,138.8
,"20-24 years","20-24","Male","M","New Hampshire","33",42,43491,96.6
,"20-24 years","20-24","Male","M","New Jersey","34",271,280298,96.7
,"20-24 years","20-24","Male","M","New Mexico","35",173,74627,231.8
,"20-24 years","20-24","Male","M","New York","36",551,619967,88.9
,"20-24 years","20-24","Male","M","North Carolina","37",626,374232,167.3
,"20-24 years","20-24","Male","M","North Dakota","38",34,32980,103.1
,"20-24 years","20-24","Male","M","Ohio","39",504,379936,132.7
,"20-24 years","20-24","Male","M","Oklahoma","40",193,148592,129.9
,"20-24 years","20-24","Male","M","Oregon","41",199,131435,151.4
,"20-24 years","20-24","Male","M","Pennsylvania","42",531,407083,130.4
,"20-24 years","20-24","Male","M","Rhode Island","44",27,37191,72.6
,"20-24 years","20-24","Male","M","South Carolina","45",346,175387,197.3
,"20-24 years","20-24","Male","M","South Dakota","46",39,32023,121.8
,"20-24 years","20-24","Male","M","Tennessee","47",507,232872,217.7
,"20-24 years","20-24","Male","M","Texas","48",1564,1083605,144.3
,"20-24 years","20-24","Male","M","Utah","49",147,149889,98.1
,"20-24 years","20-24","Male","M","Vermont","50",24,22337,107.4
,"20-24 years","20-24","Male","M","Virginia","51",417,294023,141.8
,"20-24 years","20-24","Male","M","Washington","53",337,249995,134.8
,"20-24 years","20-24","Male","M","West Virginia","54",103,57851,178.0
,"20-24 years","20-24","Male","M","Wisconsin","55",232,201919,114.9
,"20-24 years","20-24","Male","M","Wyoming","56",34,20298,167.5
,"25-29 years","25-29","Female","F","Alabama","01",129,160710,80.3
,"25-29 years","25-29","Female","F","Alaska","02",40,24068,166.2
,"25-29 years","25-29","Female","F","Arizona","04",206,245200,84.0
,"25-29 years","25-29","Female","F","Arkansas","05",82,96706,84.8
,"25-29 years","25-29","Female","F","California","06",732,1319362,55.5
,"25-29 years","25-29","Female","F","Colorado","08",141,213491,66.0
,"25-29 years","25-29","Female","F","Connecticut","09",55,107750,51.0
,"25-29 years","25-29","Female","F","Delaware","10",33,29978,110.1
,"25-29 years","25-29","Female","F","District of Columbia","11",17,40190,Unreliable
,"25-29 years","25-29","Female","F","Florida","12",496,664047,74.7
,"25-29 years","25-29","Female","F","Georgia","13",311,371865,83.6
,"25-29 years","25-29","Female","F","Hawaii","15",17,42460,Unreliable
,"25-29 years","25-29","Female","F","Idaho","16",35,59972,58.4
,"25-29 years","25-29","Female","F","Illinois","17",249,409489,60.8
,"25-29 years","25-29","Female","F","Indiana","18",170,217024,78.3
,"25-29 years","25-29","Female","F","Iowa","19",53,95165,55.7
,"25-29 years","25-29","Female","F","Kansas","20",75,90150,83.2
,"25-29 years","25-29","Female","F","Kentucky","21",126,141450,89.1
,"25-29 years","25-29","Female","F","Louisiana","22",142,142073,99.9
,"25-29 years","25-29","Female","F","Maine","23",22,39461,55.8
,"25-29 years","25-29","Female","F","Maryland","24",145,190189,76.2
,"25-29 years","25-29","Female","F","Massachusetts","25",101,238065,42.4
,"25-29 years","25-29","Female","F","Michigan","26",232,311898,74.4
,"25-29 years","25-29","Female","F","Minnesota","27",108,175216,61.6
,"25-29 years","25-29","Female","F","Mississippi","28",95,91614,103.7
,"25-29 years","25-29","Female","F","Missouri","29",158,195346,80.9
,"25-29 years","25-29","Female","F","Montana","30",27,34633,78.0
,"25-29 years","25-29","Female","F","Nebraska","31",37,61195,60.5
,"25-29 years","25-29","Female","F","Nevada","32",79,106035,74.5
,"25-29 years","25-29","Female","F","New Hampshire","33",16,40703,Unreliable
,"25-29 years","25-29","Female","F","New Jersey","34",138,283418,48.7
,"25-29 years","25-29","Female","F","New Mexico","35",80,64882,123.3
,"25-29 years","25-29","Female","F","New York","36",362,674646,53.7
,"25-29 years","25-29","Female","F","North Carolina","37",310,352308,88.0
,"25-29 years","25-29","Female","F","North Dakota","38",16,25311,Unreliable
,"25-29 years","25-29","Female","F","Ohio","39",278,370781,75.0
,"25-29 years","25-29","Female","F","Oklahoma","40",143,130124,109.9
,"25-29 years","25-29","Female","F","Oregon","41",106,136754,77.5
,"25-29 years","25-29","Female","F","Pennsylvania","42",289,388497,74.4
,"25-29 years","25-29","Female","F","Rhode Island","44",21,35011,60.0
,"25-29 years","25-29","Female","F","South Carolina","45",163,165186,98.7
,"25-29 years","25-29","Female","F","South Dakota","46",33,27180,121.4
,"25-29 years","25-29","Female","F","Tennessee","47",261,241933,107.9
,"25-29 years","25-29","Female","F","Texas","48",700,1054913,66.4
,"25-29 years","25-29","Female","F","Utah","49",66,126777,52.1
,"25-29 years","25-29","Female","F","Vermont","50",Suppressed,18131,Suppressed
,"25-29 years","25-29","Female","F","Virginia","51",177,279243,63.4
,"25-29 years","25-29","Female","F","Washington","53",155,267166,58.0
,"25-29 years","25-29","Female","F","West Virginia","54",56,49664,112.8
,"25-29 years","25-29","Female","F","Wisconsin","55",104,178187,58.4
,"25-29 years","25-29","Female","F","Wyoming","56",19,16845,Unreliable
,"25-29 years","25-29","Male","M","Alabama","01",448,159030,281.7
,"25-29 years","25-29","Male","M","Alaska","02",56,29227,191.6
,"25-29 years","25-29","Male","M","Arizona","04",613,262910,233.2
,"25-29 years","25-29","Male","M","Arkansas","05",208,98688,210.8
,"25-29 years","25-29","Male","M","California","06",2305,1373878,167.8
,"25-29 years","25-29","Male","M","Colorado","08",435,231784,187.7
,"25-29 years","25-29","Male","M","Connecticut","09",149,113093,131.7
,"25-29 years","25-29","Male","M","Delaware","10",74,29725,248.9
,"25-29 years","25-29","Male","M","District of Columbia","11",66,31431,210.0
,"25-29 years","25-29","Male","M","Florida","12",1223,684117,178.8
,"25-29 years","25-29","Male","M","Georgia","13",728,367776,197.9
,"25-29 years","25-29","Male","M","Hawaii","15",58,46160,125.6
,"25-29 years","25-29","Male","M","Idaho","16",102,65501,155.7
,"25-29 years","25-29","Male","M","Illinois","17",750,417334,179.7
,"25-29 years","25-29","Male","M","Indiana","18",469,225167,208.3
,"25-29 years","25-29","Male","M","Iowa","19",135,102709,131.4
,"25-29 years","25-29","Male","M","Kansas","20",164,97263,168.6
,"25-29 years","25-29","Male","M","Kentucky","21",324,149737,216.4
,"25-29 years","25-29","Male","M","Louisiana","22",394,143179,275.2
,"25-29 years","25-29","Male","M","Maine","23",73,40199,181.6
,"25-29 years","25-29","Male","M","Maryland","24",393,187593,209.5
,"25-29 years","25-29","Male","M","Massachusetts","25",272,239743,113.5
,"25-29 years","25-29","Male","M","Michigan","26",530,326604,162.3
,"25-29 years","25-29","Male","M","Minnesota","27",281,182065,154.3
,"25-29 years","25-29","Male","M","Mississippi","28",234,90953,257.3
,"25-29 years","25-29","Male","M","Missouri","29",435,199927,217.6
,"25-29 years","25-29","Male","M","Montana","30",65,37518,173.3
,"25-29 years","25-29","Male","M","Nebraska","31",84,64494,130.2
,"25-29 years","25-29","Male","M","Nevada","32",227,110818,204.8
,"25-29 years","25-29","Male","M","New Hampshire","33",78,44468,175.4
,"25-29 years","25-29","Male","M","New Jersey","34",375,288292,130.1
,"25-29 years","25-29","Male","M","New Mexico","35",223,69523,320.8
,"25-29 years","25-29","Male","M","New York","36",807,658204,122.6
,"25-29 years","25-29","Male","M","North Carolina","37",785,353569,222.0
,"25-29 years","25-29","Male","M","North Dakota","38",46,28305,162.5
,"25-29 years","25-29","Male","M","Ohio","39",745,382030,195.0
,"25-29 years","25-29","Male","M","Oklahoma","40",268,137795,194.5
,"25-29 years","25-29","Male","M","Oregon","41",276,141731,194.7
,"25-29 years","25-29","Male","M","Pennsylvania","42",696,402011,173.1
,"25-29 years","25-29","Male","M","Rhode Island","44",50,36239,138.0
,"25-29 years","25-29","Male","M","South Carolina","45",420,165060,254.5
,"25-29 years","25-29","Male","M","South Dakota","46",56,29857,187.6
,"25-29 years","25-29","Male","M","Tennessee","47",567,240968,235.3
,"25-29 years","25-29","Male","M","Texas","48",1791,1093786,163.7
,"25-29 years","25-29","Male","M","Utah","49",164,136387,120.2
,"25-29 years","25-29","Male","M","Vermont","50",40,18602,215.0
,"25-29 years","25-29","Male","M","Virginia","51",461,289576,159.2
,"25-29 years","25-29","Male","M","Washington","53",530,289733,182.9
,"25-29 years","25-29","Male","M","West Virginia","54",157,54596,287.6
,"25-29 years","25-29","Male","M","Wisconsin","55",291,188429,154.4
,"25-29 years","25-29","Male","M","Wyoming","56",40,18114,220.8
,"30-34 years","30-34","Female","F","Alabama","01",260,173584,149.8
,"30-34 years","30-34","Female","F","Alaska","02",68,27962,243.2
,"30-34 years","30-34","Female","F","Arizona","04",323,251032,128.7
,"30-34 years","30-34","Female","F","Arkansas","05",129,102682,125.6
,"30-34 years","30-34","Female","F","California","06",1141,1452526,78.6
,"30-34 years","30-34","Female","F","Colorado","08",189,228637,82.7
,"30-34 years","30-34","Female","F","Connecticut","09",83,114896,72.2
,"30-34 years","30-34","Female","F","Delaware","10",47,34421,136.5
,"30-34 years","30-34","Female","F","District of Columbia","11",39,38801,100.5
,"30-34 years","30-34","Female","F","Florida","12",789,736386,107.1
,"30-34 years","30-34","Female","F","Georgia","13",468,400883,116.7
,"30-34 years","30-34","Female","F","Hawaii","15",44,47391,92.8
,"30-34 years","30-34","Female","F","Idaho","16",63,63455,99.3
,"30-34 years","30-34","Female","F","Illinois","17",389,428982,90.7
,"30-34 years","30-34","Female","F","Indiana","18",262,228351,114.7
,"30-34 years","30-34","Female","F","Iowa","19",83,98597,84.2
,"30-34 years","30-34","Female","F","Kansas","20",100,92268,108.4
,"30-34 years","30-34","Female","F","Kentucky","21",221,150383,147.0
,"30-34 years","30-34","Female","F","Louisiana","22",239,159100,150.2
,"30-34 years","30-34","Female","F","Maine","23",44,44316,99.3
,"30-34 years","30-34","Female","F","Maryland","24",223,213928,104.2
,"30-34 years","30-34","Female","F","Massachusetts","25",194,244998,79.2
,"30-34 years","30-34","Female","F","Michigan","26",394,335920,117.3
,"30-34 years","30-34","Female","F","Minnesota","27",177,186021,95.2
,"30-34 years","30-34","Female","F","Mississippi","28",139,98474,141.2
,"30-34 years","30-34","Female","F","Missouri","29",279,208970,133.5
,"30-34 years","30-34","Female","F","Montana","30",47,37052,126.8
,"30-34 years","30-34","Female","F","Nebraska","31",56,61833,90.6
,"30-34 years","30-34","Female","F","Nevada","32",134,118210,113.4
,"30-34 years","30-34","Female","F","New Hampshire","33",39,45260,86.2
,"30-34 years","30-34","Female","F","New Jersey","34",245,306901,79.8
,"30-34 years","30-34","Female","F","New Mexico","35",159,69381,229.2
,"30-34 years","30-34","Female","F","New York","36",561,699540,80.2
,"30-34 years","30-34","Female","F","North Carolina","37",498,380125,131.0
,"30-34 years","30-34","Female","F","North Dakota","38",37,26181,141.3
,"30-34 years","30-34","Female","F","Ohio","39",497,398563,124.7
,"30-34 years","30-34","Female","F","Oklahoma","40",184,138508,132.8
,"30-34 years","30-34","Female","F","Oregon","41",135,152698,88.4
,"30-34 years","30-34","Female","F","Pennsylvania","42",425,430449,98.7
,"30-34 years","30-34","Female","F","Rhode Island","44",22,38810,56.7
,"30-34 years","30-34","Female","F","South Carolina","45",266,184421,144.2
,"30-34 years","30-34","Female","F","South Dakota","46",33,27891,118.3
,"30-34 years","30-34","Female","F","Tennessee","47",383,253973,150.8
,"30-34 years","30-34","Female","F","Texas","48",918,1112138,82.5
,"30-34 years","30-34","Female","F","Utah","49",64,120014,53.3
,"30-34 years","30-34","Female","F","Vermont","50",20,19884,100.6
,"30-34 years","30-34","Female","F","Virginia","51",298,299887,99.4
,"30-34 years","30-34","Female","F","Washington","53",284,301269,94.3
,"30-34 years","30-34","Female","F","West Virginia","54",117,53593,218.3
,"30-34 years","30-34","Female","F","Wisconsin","55",174,183026,95.1
,"30-34 years","30-34","Female","F","Wyoming","56",19,18296,Unreliable
,"30-34 years","30-34","Male","M","Alabama","01",526,167471,314.1
,"30-34 years","30-34","Male","M","Alaska","02",90,31100,289.4
,"30-34 years","30-34","Male","M","Arizona","04",773,267887,288.6
,"30-34 years","30-34","Male","M","Arkansas","05",255,102290,249.3
,"30-34 years","30-34","Male","M","California","06",3089,1525991,202.4
,"30-34 years","30-34","Male","M","Colorado","08",563,250191,225.0
,"30-34 years","30-34","Male","M","Connecticut","09",247,116833,211.4
,"30-34 years","30-34","Male","M","Delaware","10",107,33496,319.4
,"30-34 years","30-34","Male","M","District of Columbia","11",103,36295,283.8
,"30-34 years","30-34","Male","M","Florida","12",1838,749988,245.1
,"30-34 years","30-34","Male","M","Georgia","13",936,384095,243.7
,"30-34 years","30-34","Male","M","Hawaii","15",84,49864,168.5
,"30-34 years","30-34","Male","M","Idaho","16",131,65603,199.7
,"30-34 years","30-34","Male","M","Illinois","17",964,434598,221.8
,"30-34 years","30-34","Male","M","Indiana","18",571,230927,247.3
,"30-34 years","30-34","Male","M","Iowa","19",185,103592,178.6
,"30-34 years","30-34","Male","M","Kansas","20",238,96971,245.4
,"30-34 years","30-34","Male","M","Kentucky","21",428,153685,278.5
,"30-34 years","30-34","Male","M","Louisiana","22",549,154184,356.1
,"30-34 years","30-34","Male","M","Maine","23",100,44745,223.5
,"30-34 years","30-34","Male","M","Maryland","24",504,208736,241.5
,"30-34 years","30-34","Male","M","Massachusetts","25",427,248111,172.1
,"30-34 years","30-34","Male","M","Michigan","26",795,344534,230.7
,"30-34 years","30-34","Male","M","Minnesota","27",350,194828,179.6
,"30-34 years","30-34","Male","M","Mississippi","28",322,94596,340.4
,"30-34 years","30-34","Male","M","Missouri","29",579,208424,277.8
,"30-34 years","30-34","Male","M","Montana","30",108,38944,277.3
,"30-34 years","30-34","Male","M","Nebraska","31",129,65056,198.3
,"30-34 years","30-34","Male","M","Nevada","32",317,123065,257.6
,"30-34 years","30-34","Male","M","New Hampshire","33",101,48112,209.9
,"30-34 years","30-34","Male","M","New Jersey","34",578,311859,185.3
,"30-34 years","30-34","Male","M","New Mexico","35",316,73190,431.8
,"30-34 years","30-34","Male","M","New York","36",1228,703904,174.5
,"30-34 years","30-34","Male","M","North Carolina","37",1090,371719,293.2
,"30-34 years","30-34","Male","M","North Dakota","38",68,29716,228.8
,"30-34 years","30-34","Male","M","Ohio","39",1014,400889,252.9
,"30-34 years","30-34","Male","M","Oklahoma","40",444,140657,315.7
,"30-34 years","30-34","Male","M","Oregon","41",434,158209,274.3
,"30-34 years","30-34","Male","M","Pennsylvania","42",975,442207,220.5
,"30-34 years","30-34","Male","M","Rhode Island","44",70,40513,172.8
,"30-34 years","30-34","Male","M","South Carolina","45",532,174819,304.3
,"30-34 years","30-34","Male","M","South Dakota","46",69,30259,228.0
,"30-34 years","30-34","Male","M","Tennessee","47",869,250404,347.0
,"30-34 years","30-34","Male","M","Texas","48",2290,1140500,200.8
,"30-34 years","30-34","Male","M","Utah","49",212,125663,168.7
