"Notes","Five-Year Age Groups","Five-Year Age Groups Code","Sex","Sex Code","State","State Code",Deaths,Population,Crude Rate
,"< 1 year","1","Male","M","West Virginia","54",55,8751,628.5
,"< 1 year","1","Male","M","Wisconsin","55",180,30354,593.0
,"< 1 year","1","Male","M","Wyoming","56",10,3101,Unreliable
,"1-4 years","1-4","Female","F","Alabama","01",31,115326,26.9
,"1-4 years","1-4","Female","F","Alaska","02",Suppressed,17909,Suppressed
,"1-4 years","1-4","Female","F","Arizona","04",39,154335,25.3
,"1-4 years","1-4","Female","F","Arkansas","05",28,70980,39.4
,"1-4 years","1-4","Female","F","California","06",154,823378,18.7
,"1-4 years","1-4","Female","F","Colorado","08",22,120361,18.3
,"1-4 years","1-4","Female","F","Connecticut","09",Suppressed,71022,Suppressed
,"1-4 years","1-4","Female","F","Delaware","10",Suppressed,21446,Suppressed
,"1-4 years","1-4","Female","F","District of Columbia","11",Suppressed,15170,Suppressed
,"1-4 years","1-4","Female","F","Florida","12",110,440741,25.0
,"1-4 years","1-4","Female","F","Georgia","13",72,250045,28.8
,"1-4 years","1-4","Female","F","Hawaii","15",Suppressed,30519,Suppressed
,"1-4 years","1-4","Female","F","Idaho","16",Suppressed,44203,Suppressed
,"1-4 years","1-4","Female","F","Illinois","17",54,263401,20.5
,"1-4 years","1-4","Female","F","Indiana","18",46,159165,28.9
,"1-4 years","1-4","Female","F","Iowa","19",12,73070,Unreliable
,"1-4 years","1-4","Female","F","Kansas","20",23,68487,33.6
,"1-4 years","1-4","Female","F","Kentucky","21",40,103413,38.7
,"1-4 years","1-4","Female","F","Louisiana","22",34,109487,31.1
,"1-4 years","1-4","Female","F","Maine","23",Suppressed,24050,Suppressed
,"1-4 years","1-4","Female","F","Maryland","24",34,138226,24.6
,"1-4 years","1-4","Female","F","Massachusetts","25",10,134179,Unreliable
,"1-4 years","1-4","Female","F","Michigan","26",56,209177,26.8
,"1-4 years","1-4","Female","F","Minnesota","27",32,129410,24.7
,"1-4 years","1-4","Female","F","Mississippi","28",27,68322,39.5
,"1-4 years","1-4","Female","F","Missouri","29",41,138035,29.7
,"1-4 years","1-4","Female","F","Montana","30",Suppressed,22700,Suppressed
,"1-4 years","1-4","Female","F","Nebraska","31",17,48265,Unreliable
