"Notes","State of Residence","State of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births,Female Population,Fertility Rate
,"New Mexico","35","30-34 years","30-34",5504,69924,78.7
,"New Mexico","35","35-39 years","35-39",2798,68064,41.1
,"New Mexico","35","40-44 years","40-44",609,67127,9.1
,"New Mexico","35","45-49 years","45-49",32,Not Available,Not Available
,"New Mexico","35","50 years and over","50+",Suppressed,Not Available,Suppressed
,"New York","36","Under 15 years","15",63,Not Available,Not Available
,"New York","36","15-19 years","15-19",4766,592619,8.0
,"New York","36","20-24 years","20-24",28422,642850,44.2
,"New York","36","25-29 years","25-29",47813,692410,69.1
,"New York","36","30-34 years","30-34",66954,715586,93.6
,"New York","36","35-39 years","35-39",44672,673723,66.3
,"New York","36","40-44 years","40-44",11687,630068,18.5
,"New York","36","45-49 years","45-49",983,Not Available,Not Available
,"New York","36","50 years and over","50+",129,Not Available,Not Available
,"North Carolina","37","Under 15 years","15",59,Not Available,Not Available
,"North Carolina","37","15-19 years","15-19",5168,361264,14.3
,"North Carolina","37","20-24 years","20-24",22590,363466,62.2
,"North Carolina","37","25-29 years","25-29",34560,361800,95.5
,"North Carolina","37","30-34 years","30-34",36931,389384,94.8
,"North Carolina","37","35-39 years","35-39",19225,371432,51.8
,"North Carolina","37","40-44 years","40-44",4068,355907,11.4
,"North Carolina","37","45-49 years","45-49",232,Not Available,Not Available
,"North Carolina","37","50 years and over","50+",23,Not Available,Not Available
,"North Dakota","38","Under 15 years","15",Suppressed,Not Available,Suppressed
,"North Dakota","38","15-19 years","15-19",325,27671,11.7
,"North Dakota","38","20-24 years","20-24",1660,30605,54.2
,"North Dakota","38","25-29 years","25-29",3168,26094,121.4
,"North Dakota","38","30-34 years","30-34",2920,26289,111.1
,"North Dakota","38","35-39 years","35-39",1310,25064,52.3
,"North Dakota","38","40-44 years","40-44",237,23826,9.9
,"North Dakota","38","45-49 years","45-49",12,Not Available,Not Available
,"North Dakota","38","50 years and over","50+",Suppressed,Not Available,Suppressed
,"Ohio","39","Under 15 years","15",69,Not Available,Not Available
,"Ohio","39","15-19 years","15-19",5267,374990,14.0
,"Ohio","39","20-24 years","20-24",23667,371098,63.8
,"Ohio","39","25-29 years","25-29",37655,376188,100.1
,"Ohio","39","30-34 years","30-34",38047,403603,94.3
