GEOID,AGE_GROUP,SEX,MORTALITY_RATE_100K
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
01,5-9,MALE,19.9
01,5-9,FEMALE,15.7
02,5-9,MALE,23.8
02,5-9,FEMALE,10.0
02,5-9,MALE,23.8
02,5-9,FEMALE,10.0
02,5-9,MALE,23.8
02,5-9,FEMALE,10.0
02,5-9,MALE,23.8
02,5-9,FEMALE,10.0
02,5-9,MALE,23.8
02,5-9,FEMALE,10.0
02,5-9,MALE,23.8
02,5-9,FEMALE,10.0
02,5-9,MALE,23.8
02,5-9,FEMALE,10.0
02,5-9,MALE,23.8
02,5-9,FEMALE,10.0
02,5-9,MALE,23.8
02,5-9,FEMALE,10.0
02,5-9,MALE,23.8
02,5-9,FEMALE,10.0
02,5-9,MALE,23.8
02,5-9,FEMALE,10.0
02,5-9,MALE,23.8
02,5-9,FEMALE,10.0
02,5-9,MALE,23.8
02,5-9,FEMALE,10.0
02,5-9,MALE,23.8
02,5-9,FEMALE,10.0
02,5-9,MALE,23.8
02,5-9,FEMALE,10.0
02,5-9,MALE,23.8
02,5-9,FEMALE,10.0
02,5-9,MALE,23.8
02,5-9,FEMALE,10.0
02,5-9,MALE,23.8
02,5-9,FEMALE,10.0
02,5-9,MALE,23.8
02,5-9,FEMALE,10.0
02,5-9,MALE,23.8
02,5-9,FEMALE,10.0
02,5-9,MALE,23.8
02,5-9,FEMALE,10.0
02,5-9,MALE,23.8
02,5-9,FEMALE,10.0
04,5-9,MALE,14.3
04,5-9,FEMALE,10.2
04,5-9,MALE,14.3
04,5-9,FEMALE,10.2
04,5-9,MALE,14.3
04,5-9,FEMALE,10.2
04,5-9,MALE,14.3
04,5-9,FEMALE,10.2
04,5-9,MALE,14.3
04,5-9,FEMALE,10.2
04,5-9,MALE,14.3
04,5-9,FEMALE,10.2
04,5-9,MALE,14.3
04,5-9,FEMALE,10.2
04,5-9,MALE,14.3
04,5-9,FEMALE,10.2
04,5-9,MALE,14.3
04,5-9,FEMALE,10.2
04,5-9,MALE,14.3
04,5-9,FEMALE,10.2
04,5-9,MALE,14.3
04,5-9,FEMALE,10.2
04,5-9,MALE,14.3
04,5-9,FEMALE,10.2
04,5-9,MALE,14.3
04,5-9,FEMALE,10.2
04,5-9,MALE,14.3
04,5-9,FEMALE,10.2
04,5-9,MALE,14.3
04,5-9,FEMALE,10.2
05,5-9,MALE,19.1
05,5-9,FEMALE,14.2
05,5-9,MALE,19.1
05,5-9,FEMALE,14.2
05,5-9,MALE,19.1
05,5-9,FEMALE,14.2
05,5-9,MALE,19.1
05,5-9,FEMALE,14.2
05,5-9,MALE,19.1
05,5-9,FEMALE,14.2
05,5-9,MALE,19.1
05,5-9,FEMALE,14.2
05,5-9,MALE,19.1
05,5-9,FEMALE,14.2
05,5-9,MALE,19.1
05,5-9,FEMALE,14.2
05,5-9,MALE,19.1
05,5-9,FEMALE,14.2
05,5-9,MALE,19.1
05,5-9,FEMALE,14.2
05,5-9,MALE,19.1
05,5-9,FEMALE,14.2
05,5-9,MALE,19.1
05,5-9,FEMALE,14.2
05,5-9,MALE,19.1
05,5-9,FEMALE,14.2
05,5-9,MALE,19.1
05,5-9,FEMALE,14.2
05,5-9,MALE,19.1
05,5-9,FEMALE,14.2
05,5-9,MALE,19.1
05,5-9,FEMALE,14.2
05,5-9,MALE,19.1
05,5-9,FEMALE,14.2
05,5-9,MALE,19.1
05,5-9,FEMALE,14.2
05,5-9,MALE,19.1
05,5-9,FEMALE,14.2
05,5-9,MALE,19.1
05,5-9,FEMALE,14.2
05,5-9,MALE,19.1
05,5-9,FEMALE,14.2
05,5-9,MALE,19.1
05,5-9,FEMALE,14.2
05,5-9,MALE,19.1
05,5-9,FEMALE,14.2
05,5-9,MALE,19.1
05,5-9,FEMALE,14.2
05,5-9,MALE,19.1
05,5-9,FEMALE,14.2
05,5-9,MALE,19.1
05,5-9,FEMALE,14.2
05,5-9,MALE,19.1
05,5-9,FEMALE,14.2
05,5-9,MALE,19.1
05,5-9,FEMALE,14.2
05,5-9,MALE,19.1
05,5-9,FEMALE,14.2
05,5-9,MALE,19.1
05,5-9,FEMALE,14.2
05,5-9,MALE,19.1
05,5-9,FEMALE,14.2
05,5-9,MALE,19.1
05,5-9,FEMALE,14.2
05,5-9,MALE,19.1
05,5-9,FEMALE,14.2
05,5-9,MALE,19.1
05,5-9,FEMALE,14.2
05,5-9,MALE,19.1
05,5-9,FEMALE,14.2
05,5-9,MALE,19.1
05,5-9,FEMALE,14.2
05,5-9,MALE,19.1
05,5-9,FEMALE,14.2
05,5-9,MALE,19.1
05,5-9,FEMALE,14.2
05,5-9,MALE,19.1
05,5-9,FEMALE,14.2
05,5-9,MALE,19.1
05,5-9,FEMALE,14.2
05,5-9,MALE,19.1
05,5-9,FEMALE,14.2
05,5-9,MALE,19.1
05,5-9,FEMALE,14.2
05,5-9,MALE,19.1
05,5-9,FEMALE,14.2
05,5-9,MALE,19.1
05,5-9,FEMALE,14.2
05,5-9,MALE,19.1
05,5-9,FEMALE,14.2
05,5-9,MALE,19.1
05,5-9,FEMALE,14.2
05,5-9,MALE,19.1
05,5-9,FEMALE,14.2
05,5-9,MALE,19.1
05,5-9,FEMALE,14.2
05,5-9,MALE,19.1
05,5-9,FEMALE,14.2
05,5-9,MALE,19.1
05,5-9,FEMALE,14.2
05,5-9,MALE,19.1
05,5-9,FEMALE,14.2
05,5-9,MALE,19.1
05,5-9,FEMALE,14.2
05,5-9,MALE,19.1
05,5-9,FEMALE,14.2
05,5-9,MALE,19.1
05,5-9,FEMALE,14.2
05,5-9,MALE,19.1
05,5-9,FEMALE,14.2
05,5-9,MALE,19.1
05,5-9,FEMALE,14.2
05,5-9,MALE,19.1
05,5-9,FEMALE,14.2
05,5-9,MALE,19.1
05,5-9,FEMALE,14.2
05,5-9,MALE,19.1
05,5-9,FEMALE,14.2
05,5-9,MALE,19.1
05,5-9,FEMALE,14.2
05,5-9,MALE,19.1
05,5-9,FEMALE,14.2
05,5-9,MALE,19.1
05,5-9,FEMALE,14.2
05,5-9,MALE,19.1
05,5-9,FEMALE,14.2
05,5-9,MALE,19.1
05,5-9,FEMALE,14.2
05,5-9,MALE,19.1
05,5-9,FEMALE,14.2
05,5-9,MALE,19.1
05,5-9,FEMALE,14.2
05,5-9,MALE,19.1
05,5-9,FEMALE,14.2
05,5-9,MALE,19.1
05,5-9,FEMALE,14.2
05,5-9,MALE,19.1
05,5-9,FEMALE,14.2
05,5-9,MALE,19.1
05,5-9,FEMALE,14.2
05,5-9,MALE,19.1
05,5-9,FEMALE,14.2
05,5-9,MALE,19.1
05,5-9,FEMALE,14.2
05,5-9,MALE,19.1
05,5-9,FEMALE,14.2
05,5-9,MALE,19.1
05,5-9,FEMALE,14.2
05,5-9,MALE,19.1
05,5-9,FEMALE,14.2
06,5-9,MALE,9.2
06,5-9,FEMALE,8.2
06,5-9,MALE,9.2
06,5-9,FEMALE,8.2
06,5-9,MALE,9.2
06,5-9,FEMALE,8.2
06,5-9,MALE,9.2
06,5-9,FEMALE,8.2
06,5-9,MALE,9.2
06,5-9,FEMALE,8.2
06,5-9,MALE,9.2
06,5-9,FEMALE,8.2
06,5-9,MALE,9.2
06,5-9,FEMALE,8.2
06,5-9,MALE,9.2
06,5-9,FEMALE,8.2
06,5-9,MALE,9.2
06,5-9,FEMALE,8.2
06,5-9,MALE,9.2
06,5-9,FEMALE,8.2
06,5-9,MALE,9.2
06,5-9,FEMALE,8.2
06,5-9,MALE,9.2
06,5-9,FEMALE,8.2
06,5-9,MALE,9.2
06,5-9,FEMALE,8.2
06,5-9,MALE,9.2
06,5-9,FEMALE,8.2
06,5-9,MALE,9.2
06,5-9,FEMALE,8.2
06,5-9,MALE,9.2
06,5-9,FEMALE,8.2
06,5-9,MALE,9.2
06,5-9,FEMALE,8.2
06,5-9,MALE,9.2
06,5-9,FEMALE,8.2
06,5-9,MALE,9.2
06,5-9,FEMALE,8.2
06,5-9,MALE,9.2
06,5-9,FEMALE,8.2
06,5-9,MALE,9.2
06,5-9,FEMALE,8.2
06,5-9,MALE,9.2
06,5-9,FEMALE,8.2
06,5-9,MALE,9.2
06,5-9,FEMALE,8.2
06,5-9,MALE,9.2
06,5-9,FEMALE,8.2
06,5-9,MALE,9.2
06,5-9,FEMALE,8.2
06,5-9,MALE,9.2
06,5-9,FEMALE,8.2
06,5-9,MALE,9.2
06,5-9,FEMALE,8.2
06,5-9,MALE,9.2
06,5-9,FEMALE,8.2
06,5-9,MALE,9.2
06,5-9,FEMALE,8.2
06,5-9,MALE,9.2
06,5-9,FEMALE,8.2
06,5-9,MALE,9.2
06,5-9,FEMALE,8.2
06,5-9,MALE,9.2
06,5-9,FEMALE,8.2
06,5-9,MALE,9.2
06,5-9,FEMALE,8.2
06,5-9,MALE,9.2
06,5-9,FEMALE,8.2
06,5-9,MALE,9.2
06,5-9,FEMALE,8.2
06,5-9,MALE,9.2
06,5-9,FEMALE,8.2
06,5-9,MALE,9.2
06,5-9,FEMALE,8.2
06,5-9,MALE,9.2
06,5-9,FEMALE,8.2
06,5-9,MALE,9.2
06,5-9,FEMALE,8.2
06,5-9,MALE,9.2
06,5-9,FEMALE,8.2
06,5-9,MALE,9.2
06,5-9,FEMALE,8.2
06,5-9,MALE,9.2
06,5-9,FEMALE,8.2
06,5-9,MALE,9.2
06,5-9,FEMALE,8.2
06,5-9,MALE,9.2
06,5-9,FEMALE,8.2
06,5-9,MALE,9.2
06,5-9,FEMALE,8.2
06,5-9,MALE,9.2
06,5-9,FEMALE,8.2
06,5-9,MALE,9.2
06,5-9,FEMALE,8.2
06,5-9,MALE,9.2
06,5-9,FEMALE,8.2
06,5-9,MALE,9.2
