GEOID,AGE_GROUP,SEX,MORTALITY_RATE_100K
39,5-9,FEMALE,11.1
39,5-9,MALE,18.0
40,5-9,FEMALE,19.8
40,5-9,MALE,13.9
41,5-9,FEMALE,11.1
41,5-9,MALE,12.5
42,5-9,FEMALE,9.3
42,5-9,MALE,13.2
44,5-9,FEMALE,8.6
44,5-9,MALE,8.2
45,5-9,FEMALE,13.7
45,5-9,MALE,19.4
46,5-9,FEMALE,10.7
46,5-9,MALE,10.9
47,5-9,FEMALE,21.7
47,5-9,MALE,14.0
48,5-9,FEMALE,10.1
48,5-9,MALE,11.4
49,5-9,FEMALE,10.7
49,5-9,MALE,10.9
50,5-9,FEMALE,8.6
50,5-9,MALE,8.2
51,5-9,FEMALE,10.2
51,5-9,MALE,15.3
53,5-9,FEMALE,12.0
53,5-9,MALE,13.5
54,5-9,FEMALE,9.5
54,5-9,MALE,14.4
55,5-9,FEMALE,14.4
55,5-9,MALE,13.7
56,5-9,FEMALE,10.7
56,5-9,MALE,10.9
01,10-14,FEMALE,17.9
01,10-14,MALE,30.0
02,10-14,FEMALE,14.1
02,10-14,MALE,19.7
04,10-14,FEMALE,18.4
04,10-14,MALE,26.6
05,10-14,FEMALE,15.0
05,10-14,MALE,35.1
06,10-14,FEMALE,11.2
06,10-14,MALE,13.0
08,10-14,FEMALE,14.7
08,10-14,MALE,20.7
09,10-14,FEMALE,10.4
09,10-14,MALE,12.0
10,10-14,FEMALE,11.8
10,10-14,MALE,18.6
11,10-14,FEMALE,11.8
11,10-14,MALE,18.6
12,10-14,FEMALE,12.8
12,10-14,MALE,22.0
13,10-14,FEMALE,12.6
13,10-14,MALE,24.7
15,10-14,FEMALE,13.1
15,10-14,MALE,15.3
16,10-14,FEMALE,14.1
16,10-14,MALE,19.7
17,10-14,FEMALE,9.4
17,10-14,MALE,22.5
18,10-14,FEMALE,15.9
18,10-14,MALE,20.3
19,10-14,FEMALE,13.6
19,10-14,MALE,21.8
20,10-14,FEMALE,13.6
20,10-14,MALE,23.3
21,10-14,FEMALE,17.2
21,10-14,MALE,24.3
22,10-14,FEMALE,21.9
22,10-14,MALE,26.9
23,10-14,FEMALE,10.4
23,10-14,MALE,12.0
24,10-14,FEMALE,15.8
24,10-14,MALE,19.6
25,10-14,FEMALE,10.4
25,10-14,MALE,12.2
26,10-14,FEMALE,12.6
26,10-14,MALE,20.6
27,10-14,FEMALE,18.7
27,10-14,MALE,13.1
28,10-14,FEMALE,23.3
28,10-14,MALE,30.5
29,10-14,FEMALE,15.2
29,10-14,MALE,26.4
30,10-14,FEMALE,15.9
30,10-14,MALE,22.7
31,10-14,FEMALE,13.6
31,10-14,MALE,21.8
32,10-14,FEMALE,23.8
32,10-14,MALE,15.3
33,10-14,FEMALE,10.4
33,10-14,MALE,12.0
34,10-14,FEMALE,10.0
34,10-14,MALE,13.3
35,10-14,FEMALE,15.0
35,10-14,MALE,22.2
36,10-14,FEMALE,12.1
36,10-14,MALE,13.9
37,10-14,FEMALE,16.3
37,10-14,MALE,24.0
38,10-14,FEMALE,15.9
38,10-14,MALE,22.7
39,10-14,FEMALE,13.7
39,10-14,MALE,22.4
40,10-14,FEMALE,20.6
40,10-14,MALE,28.1
41,10-14,FEMALE,14.1
41,10-14,MALE,18.4
42,10-14,FEMALE,8.7
42,10-14,MALE,18.6
44,10-14,FEMALE,10.4
44,10-14,MALE,12.0
45,10-14,FEMALE,18.6
45,10-14,MALE,29.4
46,10-14,FEMALE,15.9
46,10-14,MALE,22.7
47,10-14,FEMALE,13.9
47,10-14,MALE,25.2
48,10-14,FEMALE,13.5
48,10-14,MALE,19.4
49,10-14,FEMALE,15.9
