AGE_GROUP,SEX,ASMR_2025,ASMR_2026,ASMR_2027,ASMR_2028,ASMR_2029,ASMR_2030,ASMR_2031,ASMR_2032,ASMR_2033,ASMR_2034,ASMR_2035,ASMR_2036,ASMR_2037,ASMR_2038,ASMR_2039,ASMR_2040,ASMR_2041,ASMR_2042,ASMR_2043,ASMR_2044,ASMR_2045,ASMR_2046,ASMR_2047,ASMR_2048,ASMR_2049,ASMR_2050,ASMR_2051,ASMR_2052,ASMR_2053,ASMR_2054,ASMR_2055,ASMR_2056,ASMR_2057,ASMR_2058,ASMR_2059,ASMR_2060,ASMR_2061,ASMR_2062,ASMR_2063,ASMR_2064,ASMR_2065,ASMR_2066,ASMR_2067,ASMR_2068,ASMR_2069,ASMR_2070,ASMR_2071,ASMR_2072,ASMR_2073,ASMR_2074,ASMR_2075,ASMR_2076,ASMR_2077,ASMR_2078,ASMR_2079,ASMR_2080,ASMR_2081,ASMR_2082,ASMR_2083,ASMR_2084,ASMR_2085,ASMR_2086,ASMR_2087,ASMR_2088,ASMR_2089,ASMR_2090,ASMR_2091,ASMR_2092,ASMR_2093,ASMR_2094,ASMR_2095,ASMR_2096,ASMR_2097,ASMR_2098
0-4,FEMALE,0.9321079770325917,0.9201369728996495,0.9118785177035179,0.8932697369516052,0.8724300262295419,0.8514899839684127,0.8312599204451773,0.8114389915772408,0.7919308645054131,0.7725477000323814,0.754074367298952,0.7359806017576208,0.7185343134036049,0.7013659081618174,0.6838842930393109,0.6665463592796178,0.6497070192141897,0.6330306045483927,0.6166343398180222,0.6011918356814884,0.5857794018413619,0.5708733018190579,0.5561488389722445,0.5421401969320846,0.5287346718548992,0.5153007206302983,0.5025666933563093,0.49017678715534124,0.4782368058071193,0.46705779568010847,0.4559235462362755,0.4448171189003361,0.43441245444656956,0.4241746530440034,0.4142443424953776,0.4046014219858525,0.394731382841509,0.38549207159724685,0.37602474098777305,0.36718671362794825,0.3579593629748316,0.3493725156923675,0.3407512737790847,0.33244835815948187,0.3242912193619538,0.31644964815619636,0.30858654789778545,0.3010485230920543,0.2933205524288387,0.28626407553062333,0.2790318881393182,0.2721402338122907,0.26525336413352624,0.2585447938323635,0.25218997681141414,0.246022370679785,0.24004855302169067,0.23392163457296905,0.22815637131116473,0.22258075725011606,0.21702416744558742,0.21182589731203946,0.2066366737465891,0.20162708128752366,0.1969674062181215,0.19196586747449867,0.1874707536950447,0.18280626173058462,0.17847299745758669,0.17430251507489825,0.1701183853486627,0.1657566580794536,0.1618934382932214,0.15784805084098588
0-4,MALE,0.9439226054990264,0.9314280638662495,0.923341009813714,0.9043504830490474,0.883271653110436,0.862198454703268,0.8415884093036118,0.8214437164156705,0.8018066284109558,0.7822603883457142,0.763493668477275,0.7451951804463808,0.7273335969880924,0.7099511697390684,0.692220379758192,0.6748328501473022,0.6576878950689449,0.6405338483102845,0.6243525008922939,0.6085596750694356,0.5930885537098018,0.5778982791547143,0.5632914876111261,0.5488654530134808,0.5349587532826836,0.5216310740631278,0.5087819184346001,0.4962465623228947,0.48439951258654956,0.4726341273910775,0.46134305183904273,0.4505092553559045,0.43983834976927094,0.429598364811231,0.4193221122431484,0.40942004167138374,0.39960931003853384,0.39016972254163923,0.38067828666601033,0.3714156229319689,0.36253423910726074,0.35375481168287054,0.34508698640387575,0.33667974222799407,0.32839236929518234,0.32036381774276335,0.31245885362214454,0.30467907113675724,0.297024300165213,0.2895023774119339,0.28240629582415727,0.2754508838587418,0.268357022250465,0.2618461246933746,0.2553473907861012,0.24901106287693373,0.24269249355996544,0.2368259281832167,0.2309810589860429,0.22529824744555205,0.21992433941912526,0.21456256332860899,0.20921371050282658,0.20416027875686854,0.19925494233798904,0.19449766634547316,0.18973639958967392,0.1851134050762779,0.18077057948230427,0.17627675880966362,0.1720566434332104,0.1676835133864341,0.16387275131046353,0.15990819736346062
10-14,FEMALE,0.8967850934551521,0.8970696265045861,0.898972969674886,0.8810741884006362,0.8654732733869316,0.8453748481905148,0.8296542617359701,0.811766570084821,0.7937811978032863,0.7736188402327198,0.7582215160389779,0.7448100862987991,0.7287033291536252,0.71158163601947,0.6966619784008025,0.6819468240522277,0.670072857650127,0.6537134019059343,0.6418085480940199,0.6269669493137692,0.6150382972729612,0.6016526982949677,0.5882654166084537,0.5778348637426277,0.5644884488023811,0.5511874639379056,0.54089204517456,0.5291333902346503,0.5173552184814966,0.5100320249266733,0.49822790422020435,0.48643130408753066,0.47614192029841457,0.46433214589285765,0.45699609818558495,0.44664357044008696,0.4377646645507988,0.4288925305528629,0.41847439261464586,0.411047673263474,0.40355469669194516,0.39462046602436457,0.38566758837384585,0.3782189640696753,0.36926570417708365,0.36181998610558785,0.3528893370343195,0.345416368446118,0.33945971868356634,0.33203804457973873,0.324622103206391,0.3186750919259151,0.3097726289418372,0.30532223916353113,0.29938658280566877,0.29199042229628286,0.2860691765596109,0.2801416752154345,0.27423427724933763,0.2698092269154332,0.26388626824693795,0.25650336417493996,0.2535300668366139,0.24614621709336926,0.2402191434723823,0.23727295362195167,0.23134046891783847,0.22692048473541873,0.22395423534467185,0.21802470294462517,0.21356029029299262,0.2076253132714704,0.20467250579368376,0.20021322901216124
10-14,MALE,0.9043004088447278,0.9034951132570047,0.9046484950978597,0.8884114684395654,0.8723720113707722,0.8546603996659984,0.8377992615962554,0.8188275096740625,0.7988419532217417,0.7809037901662069,0.7635504530789233,0.7489399751937319,0.7327715137521472,0.7178760575998705,0.7029573267802318,0.6884259387372194,0.6726418158393334,0.6599501545391327,0.645186777531251,0.6314716603474939,0.6188012444472909,0.6061386175118207,0.5923942777173972,0.5807828221360649,0.5671052160465383,0.5556061550409267,0.544147879916201,0.5327183635507569,0.5223299537495574,0.5098332305740461,0.5014986990855347,0.49003899480108987,0.48067747298925506,0.47025923045489026,0.4608694241779367,0.45042332401961377,0.4420475417129717,0.4325805509558689,0.4241459337769839,0.41360496914113276,0.4051392568581898,0.3966443999016735,0.38818697117604933,0.3807539356909322,0.37229123470737585,0.36380671988297797,0.35638905190776693,0.3489966287284559,0.34054919900456865,0.3342139251200075,0.326831993316856,0.3205134703577142,0.3131461898527984,0.3079010323899843,0.300549408018804,0.2942298145194682,0.2879344531098854,0.2827055164160449,0.27536160613541516,0.2690754641657992,0.26489576866652953,0.2596447229580842,0.25442541500888893,0.2491889734753687,0.24396800954144465,0.23974807980206156,0.23452126245834698,0.22929116821399337,0.2240192113776887,0.2198200465050362,0.21562646890482395,0.21034287210746225,0.20509435235289097,0.20088209005848034
15-19,FEMALE,0.8443347390542673,0.8444893196292395,0.8444494314419574,0.8319758634738386,0.8186397274393437,0.8056859128018602,0.793304432663536,0.782790403879934,0.7754628183089504,0.7667688811914242,0.757478330826283,0.7481062544935259,0.735509109567916,0.7222073938662245,0.7126161624814171,0.7021910409093391,0.6942259343955915,0.6849802327825281,0.6748696601005679,0.6656420812645091,0.6571199347538016,0.6483708545348803,0.6395690146998173,0.6308037685616752,0.6214275917042076,0.6132950786400019,0.6045370771448445,0.5976275115977242,0.5888743036973834,0.5808013425317711,0.5727928120207013,0.5654586822047767,0.5575265486343363,0.5502083164461312,0.5428627321622853,0.5355141403250661,0.5287740639030523,0.520802450972811,0.5146770981984334,0.5073194406951372,0.5011739273668635,0.4937651081759521,0.4869212344116224,0.4813129391111452,0.4738179314686082,0.46754287207842565,0.46063896785759184,0.45434781507545735,0.44929793180761046,0.4417701907264589,0.4367166241577937,0.4310687414054975,0.4254172240024327,0.4185539188597874,0.4129229265163732,0.40731465544384515,0.40232308648767445,0.3967314995188962,0.39176139974675434,0.38617625253671944,0.38060101234434796,0.3756469295213912,0.37131715102333873,0.3657567672420699,0.3601873186832389,0.3558675136584426,0.3503144295418257,0.3459957725770076,0.3410562705507505,0.3373580768367432,0.33241237353221276,0.32808134678064094,0.32313073697032435,0.3187940112668549
15-19,MALE,0.8318961127421373,0.8335728094489473,0.8343489856479007,0.8216487305130854,0.8075366063257137,0.7946112935019378,0.7822365904166004,0.7717251465339563,0.7644195828595576,0.7571398106966585,0.748002592429564,0.7389447223591705,0.7258983692785765,0.713050851511123,0.7025511261965477,0.6918827711503277,0.684732551691737,0.6756052706642384,0.6654521893472309,0.6564878603387505,0.6481467899760843,0.6389976337748995,0.6302942149079265,0.6218729229288578,0.6132130589486798,0.6048067223034698,0.5964006805238674,0.588231481802234,0.5803361414956693,0.5725115928592301,0.564791751785799,0.5573935117611637,0.5497751926847942,0.5426415507074314,0.5352281128214758,0.5283016088676359,0.5213772668479264,0.5142024631523776,0.5072803595515716,0.5008439623193547,0.494375687654231,0.48787386314816206,0.4810691413989516,0.47472250690139733,0.4680954211873014,0.46171367340005876,0.45505371239906084,0.44889678827338797,0.44273197058243446,0.43656491774646955,0.43040962677518546,0.4245204803324092,0.41889470287260966,0.41353588724565493,0.4071875762132633,0.4018540920928081,0.39653568561401353,0.3912252627865328,0.3859305249495644,0.3806392013444124,0.3753533295510264,0.3705791193614933,0.36556041608929485,0.3605476742014087,0.3555394677555851,0.3510372288141056,0.34628557442986974,0.3415383026355431,0.33678217774364033,0.332534853167383,0.32752143175697673,0.3235114653657803,0.31924074761872717,0.3149619738310244
20-24,FEMALE,0.9140510359510028,0.9180505329479773,0.9239530942849623,0.9160896989765116,0.9080798360984819,0.9019962923624963,0.8955189601419561,0.8883915049792505,0.8802558645816955,0.8718120620232804,0.8638458154671022,0.8558054678444684,0.8482187003624636,0.8423657030979778,0.8358878379446397,0.8289542846954621,0.8223991257034989,0.8145973464927279,0.8061154656500471,0.7992991280066211,0.7918216881982287,0.7858859158150402,0.7787627344816905,0.7719830834136325,0.7652414998564416,0.7588465813286225,0.7527005740209589,0.7458246246111615,0.7393153502624505,0.7331690910041855,0.7270304774669586,0.7205315188361435,0.7140245412725891,0.7078840002327504,0.7021322115195323,0.6956945947827842,0.6900043015919617,0.6846806520997207,0.6782739461336302,0.6725795295969312,0.6668835189169567,0.6615358415568555,0.6558381396646259,0.6497858393146453,0.6444342042404617,0.6387258745574451,0.6329973763949991,0.6279690649394312,0.6225609372518351,0.6171428303382526,0.6113623668280369,0.6062954391740851,0.60122758320162,0.5965122083604643,0.5907195658468399,0.5860039061867284,0.5809379392387347,0.5758799551819294,0.5711828015004087,0.5661224090442407,0.5607244350292303,0.5560403108201382,0.551363134826574,0.546686260335075,0.5416619412557089,0.5369910877227676,0.5323293849505023,0.5280231957744845,0.5237262283090256,0.5187163404463615,0.5144198048454635,0.5101206968067302,0.5058250663817195,0.5011698206817174
20-24,MALE,0.9282519743201475,0.9336905789693994,0.9398140986282453,0.9314968233116078,0.923867712935002,0.9171061880271522,0.9100000180247155,0.9027955777203074,0.8947689936246003,0.8862895405530725,0.878227803610425,0.8703366260100913,0.8631136721275605,0.8564445452481316,0.8496962467673173,0.8424928251805941,0.8356686314239075,0.8276869903377558,0.8197984624168121,0.8128193407000613,0.805437377880871,0.7988679886022739,0.7920529762758317,0.7849797654728345,0.7782771109645206,0.7717042626486725,0.7650600529859725,0.7584040442381521,0.7518915544054285,0.7455180346089073,0.7390094262470356,0.732639686298243,0.7262643247722139,0.7201663627609517,0.7139531724524281,0.7077650939795,0.7017273336068814,0.6958307914123616,0.6896609530262638,0.6838931012431266,0.6779838792641206,0.6723464532820833,0.6664383555425676,0.660799989384981,0.6552927858345858,0.6495116163885585,0.6441219673648999,0.6385825328307081,0.6330345594063611,0.6274768159858116,0.6221838751450287,0.61675652241325,0.6113237695780838,0.6060223193192117,0.6009915526880549,0.5958328493766301,0.5905372416736329,0.5855156173077481,0.580367046743496,0.575352706997562,0.5704813762187738,0.5656091445485628,0.5606048314314992,0.5557418874284354,0.5510100788268858,0.5464216929019532,0.5416973451425402,0.5372465718135513,0.5323895615257698,0.527808806331593,0.5232241946409301,0.5187786038106625,0.5144663725024743,0.510020387098212
25-29,FEMALE,0.9581132877065669,0.9755330697415873,0.9959723476613535,0.9904220246001761,0.9840504633809398,0.9786154159698731,0.9716169878658572,0.9652795529956893,0.9591938775144604,0.9535466396215673,0.9485677815924153,0.9444936390147695,0.9390942495562695,0.9330791003646112,0.9263956512147948,0.920155463055824,0.9140676807547702,0.9084687618389372,0.9039085624588084,0.8990202972158826,0.8936285549512666,0.8885325772320856,0.8822979453548946,0.8761963944789777,0.870262062202005,0.8644860772302015,0.859880312329658,0.8546576666342639,0.8492619142129059,0.8439840246020331,0.8389564140595923,0.8338120475446799,0.8286641564920277,0.8235095976356205,0.8183750838152516,0.8132362370707139,0.8083596541789512,0.8032149290801003,0.7980854965627474,0.7934830705425947,0.7883985169660115,0.7838565891763727,0.7790684602047103,0.7740151953346464,0.7694729131246546,0.7649199639146326,0.7601149009176278,0.7555703392720408,0.7507681309589395,0.7459512287106842,0.7416495662717023,0.7370713864493469,0.7327314878794947,0.7276230601799448,0.7235165168036585,0.7188894163226621,0.7145122797931589,0.7101453495487192,0.7057610436764925,0.7013766460276338,0.6969980693572952,0.6926204631707965,0.6885058408256036,0.684144140783649,0.6797867163773735,0.675428705478534,0.6715888817787585,0.667497423056479,0.6631512187338995,0.6593264732711404,0.6549861047339286,0.6511675420182288,0.6470854708836681,0.6427535908727695
25-29,MALE,0.9510877407181354,0.9695409193664272,0.9895276381949454,0.9837878456399111,0.9779483292986154,0.9720161143549839,0.9654947624449475,0.9591617875555661,0.9533050803366124,0.9476070228445962,0.9426279719536632,0.9374732750984852,0.9321836161544641,0.9262608001920298,0.9201658270575261,0.9141025976937364,0.9082071740477508,0.9028166701617605,0.8976675450968058,0.8927206527464996,0.887441604939279,0.8820350559445249,0.8760728087839448,0.8701563324154857,0.8646598734863482,0.8591417354053226,0.8542459522296021,0.8489179931665723,0.843562650026623,0.838521812880874,0.8333597569627231,0.8282387829287322,0.8230056419651521,0.8179826192490312,0.8129667243378714,0.8079509042467549,0.8028351442064002,0.7979170453995434,0.7930056304200815,0.7881070887061571,0.7832299828059622,0.7784688341651673,0.7737164852843286,0.768959948581154,0.764398369758476,0.7596357587444188,0.7549708014639581,0.7504103965707983,0.7456479231509447,0.741290734465632,0.736722099996045,0.7321409571753039,0.7276584672689044,0.7231615713333421,0.7187654669370221,0.7143633315000523,0.7098524929809961,0.7054459442818014,0.7010359863149952,0.6967276331620949,0.6924206820730554,0.6882168081586092,0.6839151997606875,0.6797154545258457,0.675421070801206,0.6712273986967012,0.6672461553321045,0.6631610393256026,0.6588752624900931,0.6549990010134112,0.6509192907592382,0.646946340163376,0.6428701566280378,0.63890062335586
