ORIGIN_FIPS,DESTINATION_FIPS,AGE_GROUP,SEX,MIGRATION_RATE
01,17,0-4,MALE,9.963630105662802e-05
01,17,20-24,FEMALE,9.249141718443948e-05
01,17,20-24,MALE,0.0001258717782735605
01,17,25-29,FEMALE,0.00013764737891435063
01,17,25-29,MALE,0.00018732462844734936
01,17,35-39,FEMALE,8.826988772929394e-05
01,17,35-39,MALE,0.00012012668931580605
01,17,45-49,FEMALE,1.3368317961379085e-05
01,17,45-49,MALE,1.8192974067741462e-05
01,17,5-9,FEMALE,1.0349035541085822e-05
01,17,5-9,MALE,1.4084025811552886e-05
01,17,55-59,FEMALE,7.787372640594426e-06
01,17,55-59,MALE,1.059785299208715e-05
01,17,65-69,FEMALE,4.1647362214326623e-05
01,17,65-69,MALE,5.6677989178895634e-05
01,17,75-79,FEMALE,5.4636979457915594e-05
01,17,75-79,MALE,7.435558858558438e-05
01,18,0-4,FEMALE,1.9502158737499166e-05
01,18,0-4,MALE,1.438994236941686e-05
01,18,20-24,FEMALE,1.9839525844321104e-05
01,18,20-24,MALE,1.4638873438528192e-05
01,18,25-29,FEMALE,7.776032434572737e-05
01,18,25-29,MALE,5.7376550002672625e-05
01,18,45-49,FEMALE,9.512887435220429e-06
01,18,45-49,MALE,7.0192179133665295e-06
01,18,5-9,FEMALE,2.6712570428555283e-05
01,18,5-9,MALE,1.9710246141458265e-05
01,18,55-59,FEMALE,1.5868812068431865e-05
01,18,55-59,MALE,1.1709026380590501e-05
01,20,0-4,FEMALE,1.3323101814442847e-05
01,20,0-4,MALE,5.107189028869759e-05
01,21,0-4,FEMALE,2.4367482969755035e-05
01,21,0-4,MALE,3.3249088912002204e-05
01,21,20-24,FEMALE,9.842697186574861e-05
01,21,20-24,MALE,0.0001343022232934514
01,21,25-29,FEMALE,5.1029240384217776e-05
01,21,25-29,MALE,6.962868314108221e-05
01,21,35-39,FEMALE,1.318571601048488e-05
01,21,35-39,MALE,1.7991724649820494e-05
01,21,5-9,FEMALE,1.2916687572788249e-05
01,21,5-9,MALE,1.7624639118010135e-05
01,22,0-4,FEMALE,0.00028355155960866946
01,22,0-4,MALE,0.00032989547042643053
01,22,20-24,FEMALE,0.00024436479809808546
01,22,20-24,MALE,0.00028430399090551456
01,22,25-29,FEMALE,0.00017549371143372016
01,22,25-29,MALE,0.00020417655459277985
01,22,35-39,FEMALE,0.00012439006093725597
01,22,35-39,MALE,0.00014472047949904405
01,22,45-49,FEMALE,4.168134278199674e-05
01,22,45-49,MALE,4.849377730120482e-05
01,22,5-9,FEMALE,1.0164250672047016e-05
01,22,5-9,MALE,1.1825504545327822e-05
01,22,55-59,FEMALE,2.8327136909201236e-05
01,22,55-59,MALE,3.295694853307069e-05
01,22,65-69,FEMALE,1.4410530698056261e-05
01,22,65-69,MALE,1.6765800231502017e-05
01,24,20-24,FEMALE,0.00018816118678387442
01,24,20-24,MALE,0.00017960840556642557
01,24,25-29,FEMALE,8.23092811646135e-06
01,24,25-29,MALE,7.856795020258559e-06
01,24,35-39,FEMALE,9.234933463640023e-06
01,24,35-39,MALE,8.815163760747295e-06
01,24,45-49,FEMALE,1.768550804732558e-05
01,24,45-49,MALE,1.6881621317901692e-05
01,25,20-24,FEMALE,5.8490141640547916e-06
01,25,20-24,MALE,2.7705856566575325e-06
01,25,25-29,FEMALE,4.8033344793920864e-05
01,25,25-29,MALE,2.275263700764672e-05
01,26,20-24,FEMALE,3.7209804940321776e-05
01,26,20-24,MALE,1.450779398395217e-05
01,26,25-29,FEMALE,0.00018172441337475454
01,26,25-29,MALE,7.085283987174544e-05
