ORIGIN_FIPS,DESTINATION_FIPS,AGE_GROUP,MIGRATION_RATE
01,02,0_TO_4,2.7113680885532817e-05
01,02,18_TO_19,6.172458490216653e-05
01,02,25_TO_34,7.239475411523957e-05
01,02,5_TO_17,6.1082653381596774e-06
01,04,0_TO_4,3.3892101106916025e-05
01,04,18_TO_19,0.0007021171532621443
01,04,20_TO_24,0.00021261679557757065
01,04,25_TO_34,0.00011422283427071133
01,04,35_TO_44,0.0001739373005259142
01,04,5_TO_17,0.00013316018437188097
01,04,60_TO_64,3.7000037000037e-05
01,04,75_AND_OVER,3.3075017447071705e-05
01,06,0_TO_4,2.7113680885532817e-05
01,06,18_TO_19,0.00038577865563854083
01,06,20_TO_24,0.0004970635896610773
01,06,25_TO_34,0.0009089563572246747
01,06,35_TO_44,0.00037905204171213375
01,06,45_TO_54,9.919263209152174e-05
01,06,55_TO_59,0.00011643976234031666
01,06,5_TO_17,0.00042880022673880933
01,06,60_TO_64,0.00012445466990921537
01,06,65_TO_74,4.0769048138653134e-05
01,06,75_AND_OVER,0.00015545258200123701
01,08,0_TO_4,0.00016946050553458012
01,08,20_TO_24,0.00012067439748997253
01,08,25_TO_34,0.00030405796728400625
01,08,35_TO_44,4.92275378846927e-05
01,08,45_TO_54,3.4567129365227274e-05
01,08,5_TO_17,0.00010750546995161032
01,09,18_TO_19,0.00016202703536818714
01,09,20_TO_24,9.194239808759812e-05
01,11,18_TO_19,0.0003317696438491451
01,11,20_TO_24,0.00010918159772902277
01,11,25_TO_34,7.882984336992754e-05
01,11,75_AND_OVER,6.284253314943624e-05
01,12,0_TO_4,0.001091325655642696
01,12,18_TO_19,0.0017977285352756003
01,12,20_TO_24,0.0025801335463332222
01,12,25_TO_34,0.0019852250350712365
01,12,35_TO_44,0.0009779870859758948
01,12,45_TO_54,0.0008461432101140414
01,12,55_TO_59,0.0005668777903410153
01,12,5_TO_17,0.0009296779844679029
01,12,60_TO_64,0.0007198189016370835
01,12,65_TO_74,0.00046524678464110046
01,12,75_AND_OVER,0.000446512735535468
01,13,0_TO_4,0.0017827245182237828
01,13,18_TO_19,0.0028161841861613483
01,13,20_TO_24,0.005033846295295997
01,13,25_TO_34,0.0035489517239604114
01,13,35_TO_44,0.0019067466340670972
01,13,45_TO_54,0.0008942366074917489
01,13,55_TO_59,0.0005883272202458104
01,13,5_TO_17,0.0017237524784286609
01,13,60_TO_64,0.000592000592000592
01,13,65_TO_74,0.00019425252348417082
01,13,75_AND_OVER,0.0005721978018343404
01,15,0_TO_4,9.489788309936486e-05
01,15,18_TO_19,0.0001465958891426455
01,15,20_TO_24,0.00037926239211134226
01,15,25_TO_34,0.00043275975237776546
01,15,35_TO_44,4.1022948237243914e-05
01,15,45_TO_54,3.3064210697173915e-05
01,15,5_TO_17,7.818579632844387e-05
01,15,75_AND_OVER,1.9845010468243023e-05
01,16,18_TO_19,3.8577865563854085e-05
01,16,20_TO_24,2.8731999402374412e-05
01,17,0_TO_4,0.0001728497156452717
01,17,18_TO_19,0.00034720079007468675
01,17,20_TO_24,0.00021836319545804554
01,17,25_TO_34,0.0003249720073617421
01,17,35_TO_44,0.00020839657704519907
01,17,45_TO_54,3.156129202912055e-05
01,17,55_TO_59,1.8385225632681576e-05
01,17,5_TO_17,2.443306135263871e-05
