ORIGIN_FIPS,DESTINATION_FIPS,SEX,MIGRATION_PROPORTION
01,02,FEMALE,0.5303030303030303
01,02,MALE,0.4696969696969697
01,04,FEMALE,0.4149377593360996
01,04,MALE,0.5850622406639004
01,06,FEMALE,0.5293746051800379
01,06,MALE,0.4706253948199621
01,08,FEMALE,0.4834123222748815
01,08,MALE,0.5165876777251185
01,09,FEMALE,0.6037735849056604
01,09,MALE,0.39622641509433965
01,11,FEMALE,0.7114093959731543
01,11,MALE,0.28859060402684567
01,12,FEMALE,0.4873477038425492
01,12,MALE,0.5126522961574508
01,13,FEMALE,0.4696145387197592
01,13,MALE,0.5303854612802408
01,15,FEMALE,0.4300884955752212
01,15,MALE,0.5699115044247788
01,16,MALE,1.0
01,17,FEMALE,0.42356687898089174
01,17,MALE,0.5764331210191083
01,18,FEMALE,0.5754189944134078
01,18,MALE,0.4245810055865922
01,20,FEMALE,0.20689655172413793
01,20,MALE,0.7931034482758621
01,21,FEMALE,0.42292490118577075
01,21,MALE,0.5770750988142292
01,22,FEMALE,0.46222664015904574
01,22,MALE,0.5377733598409543
01,24,FEMALE,0.5116279069767442
01,24,MALE,0.4883720930232558
01,25,FEMALE,0.6785714285714286
01,25,MALE,0.32142857142857145
01,26,FEMALE,0.7194805194805195
01,26,MALE,0.2805194805194805
01,28,FEMALE,0.5448346403000341
01,28,MALE,0.4551653596999659
01,29,FEMALE,0.3795180722891566
01,29,MALE,0.6204819277108434
01,32,FEMALE,0.6126760563380281
01,32,MALE,0.3873239436619718
01,35,MALE,1.0
01,36,FEMALE,0.44171779141104295
01,36,MALE,0.558282208588957
01,37,FEMALE,0.5430759412890874
01,37,MALE,0.4569240587109126
01,39,FEMALE,0.13076923076923078
01,39,MALE,0.8692307692307693
01,40,FEMALE,0.7
01,40,MALE,0.3
01,42,FEMALE,0.3346456692913386
01,42,MALE,0.6653543307086615
01,44,FEMALE,0.5652173913043478
01,44,MALE,0.43478260869565216
01,45,FEMALE,0.5609756097560976
01,45,MALE,0.43902439024390244
01,47,FEMALE,0.5064488392089423
01,47,MALE,0.4935511607910576
01,48,FEMALE,0.48712241653418126
01,48,MALE,0.5128775834658188
01,49,FEMALE,0.6916299559471366
01,49,MALE,0.30837004405286345
01,51,FEMALE,0.38151875571820676
01,51,MALE,0.6184812442817932
01,53,FEMALE,0.5266666666666666
01,53,MALE,0.47333333333333333
01,54,FEMALE,0.6363636363636364
01,54,MALE,0.36363636363636365
02,01,FEMALE,0.8291316526610645
02,01,MALE,0.17086834733893558
02,04,FEMALE,0.46704980842911875
02,04,MALE,0.5329501915708812
02,06,FEMALE,0.4531714568880079
02,06,MALE,0.546828543111992
02,08,FEMALE,0.39792746113989635
02,08,MALE,0.6020725388601036
02,09,FEMALE,0.45
02,09,MALE,0.55
02,10,FEMALE,0.38095238095238093
02,10,MALE,0.6190476190476191
02,11,FEMALE,0.4470046082949309
02,11,MALE,0.5529953917050692
02,12,FEMALE,0.5278124220503866
02,12,MALE,0.47218757794961336
02,13,FEMALE,0.43956043956043955
02,13,MALE,0.5604395604395604
02,15,FEMALE,0.3644859813084112
02,15,MALE,0.6355140186915887
02,16,FEMALE,0.4227226202661208
02,16,MALE,0.5772773797338793
02,17,FEMALE,0.352015732546706
02,17,MALE,0.647984267453294
02,18,FEMALE,0.6119402985074627
02,18,MALE,0.3880597014925373
02,19,FEMALE,0.24561403508771928
02,19,MALE,0.7543859649122807
02,20,FEMALE,0.4835164835164835
02,20,MALE,0.5164835164835165
02,21,FEMALE,0.059322033898305086
02,21,MALE,0.940677966101695
02,22,FEMALE,0.2872340425531915
02,22,MALE,0.7127659574468085
02,24,FEMALE,0.5535055350553506
02,24,MALE,0.44649446494464945
02,25,FEMALE,0.47419354838709676
02,25,MALE,0.5258064516129032
02,26,FEMALE,0.4147250698974837
02,26,MALE,0.5852749301025163
02,27,FEMALE,0.3870967741935484
02,27,MALE,0.6129032258064516
02,28,FEMALE,0.34513274336283184
02,28,MALE,0.6548672566371682
02,29,FEMALE,0.46464646464646464
02,29,MALE,0.5353535353535354
02,30,FEMALE,0.4262295081967213
02,30,MALE,0.5737704918032787
02,31,FEMALE,0.5288461538461539
02,31,MALE,0.47115384615384615
02,32,FEMALE,0.4675862068965517
02,32,MALE,0.5324137931034483
02,33,FEMALE,0.25
02,33,MALE,0.75
02,34,FEMALE,0.23684210526315788
02,34,MALE,0.7631578947368421
02,35,FEMALE,0.40509915014164305
02,35,MALE,0.5949008498583569
02,36,FEMALE,0.47158489234027534
02,36,MALE,0.5284151076597247
02,37,FEMALE,0.45263157894736844
02,37,MALE,0.5473684210526316
02,38,FEMALE,0.375
02,38,MALE,0.625
02,39,FEMALE,0.5555555555555556
02,39,MALE,0.4444444444444444
02,40,FEMALE,0.4866666666666667
02,40,MALE,0.5133333333333333
02,41,FEMALE,0.40654952076677314
02,41,MALE,0.5934504792332268
02,42,FEMALE,0.39227642276422764
02,42,MALE,0.6077235772357723
02,45,FEMALE,0.7673410404624278
02,45,MALE,0.23265895953757226
02,46,FEMALE,0.45588235294117646
02,46,MALE,0.5441176470588235
02,47,FEMALE,0.3790186125211506
02,47,MALE,0.6209813874788495
02,48,FEMALE,0.4993920972644377
02,48,MALE,0.5006079027355623
02,49,FEMALE,0.521505376344086
02,49,MALE,0.478494623655914
02,51,FEMALE,0.42226310947562096
02,51,MALE,0.577736890524379
02,53,FEMALE,0.5001810938065918
02,53,MALE,0.4998189061934082
02,54,FEMALE,0.48180242634315423
02,54,MALE,0.5181975736568457
02,55,FEMALE,0.625
02,55,MALE,0.375
02,56,FEMALE,0.5714285714285714
02,56,MALE,0.42857142857142855
04,01,FEMALE,0.6069868995633187
04,01,MALE,0.3930131004366812
04,02,FEMALE,0.2821285140562249
04,02,MALE,0.7178714859437751
04,05,FEMALE,0.39932885906040266
04,05,MALE,0.6006711409395973
04,06,FEMALE,0.4803544506322882
04,06,MALE,0.5196455493677118
04,08,FEMALE,0.4656450194699158
04,08,MALE,0.5343549805300841
04,09,FEMALE,0.48128342245989303
04,09,MALE,0.5187165775401069
04,10,FEMALE,0.6548672566371682
04,10,MALE,0.34513274336283184
04,11,FEMALE,0.7014925373134329
04,11,MALE,0.29850746268656714
04,12,FEMALE,0.5198650674662668
04,12,MALE,0.4801349325337331
04,13,FEMALE,0.4480331262939959
04,13,MALE,0.5519668737060042
04,15,FEMALE,0.3908656399362719
04,15,MALE,0.6091343600637281
04,16,FEMALE,0.4716981132075472
04,16,MALE,0.5283018867924528
04,17,FEMALE,0.4517625231910946
04,17,MALE,0.5482374768089053
04,18,FEMALE,0.4934256055363322
04,18,MALE,0.5065743944636678
04,19,FEMALE,0.43330266789328425
04,19,MALE,0.5666973321067157
04,20,FEMALE,0.43056768558951963
04,20,MALE,0.5694323144104804
04,21,FEMALE,0.49295774647887325
04,21,MALE,0.5070422535211268
04,22,FEMALE,0.5241935483870968
04,22,MALE,0.47580645161290325
04,23,FEMALE,0.6610169491525424
04,23,MALE,0.3389830508474576
04,24,FEMALE,0.4682875264270613
04,24,MALE,0.5317124735729387
04,25,FEMALE,0.4394829612220917
04,25,MALE,0.5605170387779084
04,26,FEMALE,0.49882194547290476
04,26,MALE,0.5011780545270953
04,27,FEMALE,0.5048433048433049
04,27,MALE,0.49515669515669514
04,28,FEMALE,0.3859223300970874
04,28,MALE,0.6140776699029126
