GEOID,AGE_GROUP,SEX,2029,2034,2039,2044,2049,2054,2059,2064,2069,2074,2079,2084,2089,2094
02,15-19,FEMALE,23298.0,21005.0,18378.0,16814.0,14866.0,13641.0,12896.0,12265.0,11591.0,10916.0,10388.0,9999.0,9699.0,9433.0
02,20-24,FEMALE,19685.0,20590.0,18670.0,16431.0,15169.0,13570.0,12563.0,11949.0,11412.0,10831.0,10256.0,9817.0,9501.0,9256.0
02,25-29,FEMALE,20301.0,18800.0,19421.0,17822.0,15876.0,14924.0,13659.0,12861.0,12369.0,11903.0,11385.0,10884.0,10526.0,10282.0
02,30-34,FEMALE,22487.0,18854.0,17715.0,18138.0,16792.0,15097.0,14364.0,13343.0,12693.0,12288.0,11878.0,11414.0,10973.0,10675.0
02,35-39,FEMALE,25355.0,20708.0,17748.0,16914.0,17179.0,16041.0,14557.0,14004.0,13184.0,12658.0,12326.0,11963.0,11543.0,11153.0
02,40-44,FEMALE,24726.0,22718.0,18700.0,16155.0,15468.0,15675.0,14682.0,13370.0,12912.0,12210.0,11759.0,11472.0,11150.0,10775.0
02,45-49,FEMALE,22045.0,22093.0,20453.0,16975.0,14788.0,14229.0,14387.0,13519.0,12355.0,11979.0,11380.0,10994.0,10746.0,10460.0
02,5-9,FEMALE,21086.0,19084.0,16635.0,15103.0,14176.0,13418.0,12616.0,11803.0,11148.0,10656.0,10279.0,9957.0,9643.0,9341.0
02,50-54,FEMALE,17923.0,19907.0,20001.0,18619.0,15542.0,13616.0,13152.0,13286.0,12517.0,11474.0,11159.0,10637.0,10301.0,10086.0
02,55-59,FEMALE,17663.0,16174.0,17995.0,18125.0,16970.0,14249.0,12555.0,12175.0,12287.0,11607.0,10672.0,10411.0,9958.0,9667.0
02,60-64,FEMALE,18146.0,16516.0,15179.0,16923.0,17087.0,16085.0,13580.0,12032.0,11708.0,11811.0,11185.0,10310.0,10086.0,9676.0
02,65-69,FEMALE,19387.0,16728.0,15287.0,14093.0,15745.0,15938.0,15076.0,12785.0,11377.0,11104.0,11200.0,10631.0,9821.0,9631.0
02,70-74,FEMALE,17893.0,17819.0,15428.0,14154.0,13092.0,14666.0,14885.0,14132.0,12027.0,10741.0,10511.0,10613.0,10095.0,9345.0
02,75-79,FEMALE,13917.0,15991.0,15997.0,13919.0,12841.0,11934.0,13420.0,13671.0,13042.0,11151.0,10004.0,9824.0,9937.0,9480.0
02,80-84,FEMALE,7826.0,10803.0,12498.0,12597.0,11055.0,10297.0,9639.0,10902.0,11175.0,10753.0,9271.0,8386.0,8290.0,8406.0
02,85+,FEMALE,6033.0,8444.0,11817.0,14634.0,15933.0,15186.0,14369.0,13704.0,14841.0,15852.0,16163.0,15084.0,13948.0,13557.0
02,0-4,MALE,21421.0,18511.0,16696.0,15596.0,14709.0,13780.0,12834.0,12062.0,11475.0,11028.0,10650.0,10289.0,9943.0,9653.0
02,10-14,MALE,23655.0,20529.0,18904.0,16658.0,15247.0,14387.0,13665.0,12896.0,12122.0,11514.0,11062.0,10713.0,10406.0,10102.0
02,15-19,MALE,24448.0,22118.0,19284.0,17871.0,15889.0,14638.0,13872.0,13213.0,12507.0,11802.0,11260.0,10861.0,10552.0,10272.0
