GEOID,AGE_GROUP,SEX,INMIG2029,OUTMIG2029,NETMIG2029,INMIG2034,OUTMIG2034,NETMIG2034,INMIG2039,OUTMIG2039,NETMIG2039,INMIG2044,OUTMIG2044,NETMIG2044,INMIG2049,OUTMIG2049,NETMIG2049,INMIG2054,OUTMIG2054,NETMIG2054,INMIG2059,OUTMIG2059,NETMIG2059,INMIG2064,OUTMIG2064,NETMIG2064,INMIG2069,OUTMIG2069,NETMIG2069,INMIG2074,OUTMIG2074,NETMIG2074,INMIG2079,OUTMIG2079,NETMIG2079,INMIG2084,OUTMIG2084,NETMIG2084,INMIG2089,OUTMIG2089,NETMIG2089,INMIG2094,OUTMIG2094,NETMIG2094
01,0-4,FEMALE,2809.199277373163,2754.371038418094,54.82823895506908,2788.833702505141,2641.146870825822,147.68683167931886,2744.468934966723,2581.707749067903,162.7611858988198,2707.690196331444,2534.5274252180316,173.16277111341242,2668.9406373575152,2463.4617066753904,205.47893068212488,2599.089206703923,2353.2472853980385,245.84192130588463,2521.8461028943216,2246.869227498164,274.97687539615754,2459.1386698639994,2161.577219436166,297.5614504278333,2423.81528123701,2099.25767796756,324.5576032694498,2401.5253986205107,2051.8288364687523,349.69656215175837,2377.164235578203,2002.7810780419484,374.38315753625443,2341.8525939055703,1941.1663608329864,400.68623307258395,2296.615175008284,1871.4286069400116,425.18656806827244,2250.88916776312,1806.1885450861798,444.70062267694016
01,0-4,MALE,3170.5247432630704,2980.1130024534928,190.41174080957762,3172.1523457804706,2885.2183566599174,286.9339891205532,3126.611029514476,2820.892155869142,305.71887364533404,3088.633366327527,2769.8890673339256,318.7442989936012,3049.746551170666,2692.68000792102,357.06654324964575,2976.458500034708,2572.596649469645,403.8618505650629,2894.2411596737065,2456.5847762721946,437.6563834015119,2828.044139896255,2363.6056342705106,464.43850562574426,2792.6414644907336,2295.678513418322,496.96295107241167,2771.508250803596,2244.016791497473,527.491459306123,2747.6992223134944,2190.5397762004604,557.1594461130339,2711.4601564900977,2123.3005221696185,588.1596343204792,2663.8584906457045,2047.1366068258676,616.7218838198369,2615.3654285369407,1975.8852039306482,639.4802246062925
01,10-14,FEMALE,2331.099286989861,2455.2120402383334,-124.11275324847247,2255.8041934940425,2405.4103454416572,-149.60615194761476,2104.6506395471124,2261.234852868546,-156.5842133214337,2078.536949760695,2171.3314721519355,-92.79452239124066,2035.6404771646737,2123.152659789908,-87.51218262523412,2002.7904625282938,2084.932768725539,-82.14230619724526,1969.8963911136254,2027.6694950641484,-57.77310395052291,1915.1438705517455,1938.5000860625228,-23.356215510777247,1854.65924446369,1852.1471902264354,2.5120542372544605,1803.8935468248446,1782.8474471266918,21.04609969815283,1772.9476352670467,1732.4902972010361,40.45733806601061,1752.3423930464446,1694.2713265266377,58.07106651980689,1731.3048049908723,1654.7178630868918,76.58694190398046,1703.073719096097,1604.8940397637327,98.17967933236423
01,10-14,MALE,2431.105409702424,2599.362244771342,-168.256835068918,2357.878635794649,2530.353119189246,-172.47448339459697,2207.6537253439437,2375.7246447202997,-168.07091937635596,2202.9596549570188,2303.637351150349,-100.67769619333012,2168.1484737232227,2253.513698112487,-85.36522438926431,2140.7751425803453,2213.750487405266,-72.97534482492074,2111.6150586231597,2153.6946580346766,-42.07959941151694,2058.120319415754,2059.709939030518,-1.5896196147641604,1998.0374929475872,1968.5346312218983,29.502861725688945,1948.3043058654612,1895.4542139589448,52.850091906516354,1919.198352004354,1842.3944672072835,76.80388479707062,1900.3658523654217,1802.1830765321902,98.18277583323152,1880.545048236451,1760.4757949239663,120.06925331248476,1852.78031647913,1707.8511295404517,144.9291869386784
01,15-19,FEMALE,11253.052554640419,5389.7246596769655,5863.327894963453,10642.505952349662,4897.652489070277,5744.853463279385,10339.49439913093,4798.232580715638,5541.2618184152925,9651.19041172582,4511.182328816538,5140.008082909282,9577.564941978668,4334.249337015477,5243.315604963191,9440.890204850302,4238.624321399191,5202.265883451111,9344.283513769406,4162.864031127243,5181.419482642163,9223.514384533033,4049.6210352510857,5173.893349281947,8972.685086940744,3872.969255798646,5099.715831142099,8688.17328482159,3701.620210894173,4986.553073927418,8452.367079013748,3564.052617278667,4888.314461735081,8320.141128359051,3464.301308073562,4855.83982028549,8244.643003375355,3388.694591999124,4855.948411376231,8167.105628563826,3310.4291119830577,4856.676516580768
01,15-19,MALE,12035.246563244153,5561.109518318541,6474.137044925612,11451.292671111853,5123.782767225091,6327.509903886761,11146.246033377876,4989.527453158402,6156.7185802194745,10464.380997320462,4686.615042708817,5777.765954611646,10461.543573713261,4547.882116214641,5913.66145749862,10326.64588787764,4450.598036406543,5876.047851471097,10221.744305418059,4373.547664072496,5848.196641345562,10102.412749001636,4256.868499498505,5845.544249503131,9861.112724312177,4073.396595602313,5787.716128709864,9583.715360631195,3895.0680954532013,5688.647265177993,9350.94584243215,3752.1169918950127,5598.8288505371365,9220.275193360596,3648.607498664195,5571.667694696401,9143.736107638977,3570.3330467916194,5573.403060847358,9064.17494935388,3489.0465134578876,5575.128435895991
01,20-24,FEMALE,7946.015933899694,7588.98298016651,357.0329537331836,8126.926840399737,7928.093319476001,198.8335209237357,7737.848291878746,7224.938217999748,512.9100738789975,7521.042439478201,7075.81356575607,445.22887372213154,7077.762890467897,6651.574475271043,426.1884151968534,7021.3203854295725,6405.314635518788,616.0057499107843,6913.421259166873,6268.312143320834,645.1091158460385,6825.736006726512,6160.424744109092,665.3112626174197,6727.2680386505135,5999.6563625922,727.6116760583136,6552.685126656867,5745.690458446501,806.9946682103664,6359.7161669979905,5497.438048757389,862.2781182406015,6201.400443566002,5297.805638667976,903.5948048980254,6108.982139830705,5154.862784925483,954.1193549052223,6048.751327131143,5047.648275750034,1001.1030513811083
01,20-24,MALE,8561.681677611015,8038.475392635045,523.2062849759704,8881.713457216792,8502.120917669923,379.5925395468694,8459.071980088866,7854.757138440181,604.3148416486847,8235.155422094207,7652.418286816919,582.737135277288,7789.379279563855,7192.044505400665,597.3347741631896,7799.942190483449,6996.120372008053,803.821818475396,7707.544371894797,6853.203914891805,854.3404570029925,7632.293830925878,6740.392078904138,891.9017520217403,7543.8733973207845,6570.013921314471,973.8594760063133,7371.380009140783,6298.240146013752,1073.1398631270313,7176.503819117956,6031.917356464125,1144.5864626538305,7017.88792723169,5818.107373731565,1199.7805535001253,6929.419367648548,5665.227400976382,1264.191966672166,6874.11548283049,5550.838653883595,1323.276828946895
01,25-29,FEMALE,5242.809892571924,6476.220195919848,-1233.4103033479241,5211.556226299908,6758.292860020634,-1546.7366337207259,5341.895788195508,7055.092790392097,-1713.197002196589,5112.1447968445345,6444.243811478653,-1332.0990146341182,4988.253510344463,6310.298163241282,-1322.0446528968187,4717.777692487472,5933.899809379906,-1216.122116892434,4694.531287102948,5723.38070002323,-1028.8494129202818,4631.926394290907,5603.525842003316,-971.5994477124086,4583.953709360556,5509.175479858933,-925.2217704983768,4530.61581209696,5369.412054788679,-838.7962426917184,4426.20444507334,5147.4202750207,-721.2158299473595,4307.799817726072,4929.471228076286,-621.6714103502136,4210.436018680342,4754.118387874092,-543.6823691937498,4154.582866138915,4629.449869931233,-474.8670037923175
01,25-29,MALE,5723.356977603532,6487.623043638446,-764.2660660349138,5805.907808597277,6859.43714302699,-1053.5293344297133,6036.465409143684,7251.576735366363,-1215.111326222679,5797.171465103565,6713.391467781933,-916.2200026783676,5673.006904047286,6543.498888188752,-870.4919841414658,5394.4042127486655,6155.24219394538,-760.8379811967143,5413.309531979428,5998.934077407287,-585.6245454278587,5360.660097630724,5881.402515416331,-520.7424177856074,5321.502989733036,5788.839942876021,-467.3369531429853,5275.393349332579,5648.834708024506,-373.4413586919263,5172.119499638655,5422.97155890036,-250.8520592617051,5051.249966834315,5200.435425256057,-149.1854584217417,4952.206510520927,5021.815057891553,-69.60854737062618,4898.131729792827,4895.329229784472,2.8025000083553095
