GEOID,AGE_GROUP,SEX,2029,2034,2039,2044,2049,2054,2059,2064,2069,2074,2079,2084,2089,2094
01,0-4,FEMALE,1035.4975154893336,878.3182115009203,759.404016081636,654.9201624644902,559.4910344755615,471.86360088049287,399.4039933586031,340.45349988016187,291.904372677697,251.77147755599384,216.43754550293013,185.10070049176736,157.8788750339567,134.81325085402605
01,0-4,MALE,1377.1430187439998,1179.2739879316523,1019.2299686423904,879.0586455870595,750.6085853123062,633.1578535225452,536.0945461876668,456.63596413336154,391.95578415448733,337.6214904951507,290.5857487182619,248.43730343400733,211.7751892058485,180.78465862629642
01,10-14,FEMALE,89.27226993995191,78.16083888052232,66.15035383368493,57.15872721643588,50.316863309742736,44.641598547358186,38.898365387311536,33.44625039240434,28.70599577460334,24.84466367616781,21.767709846659727,19.183678861991524,16.68038492826398,14.682775508689458
01,10-14,MALE,224.69659725716642,195.7302942544306,165.36832107013848,144.0149108172513,126.50141008320348,111.70537851858853,98.22636776596015,84.29469869506319,72.50708719493555,62.66783480349115,54.77296565568929,47.96311855452316,42.47839239410482,37.12701234057505
01,15-19,FEMALE,277.1531648628958,235.79905131525268,214.66109583013554,188.4718958154769,169.02687566008353,154.47467601473176,141.78924214525765,128.88784207051938,115.11226594215877,102.5664213300366,92.29693719940772,83.89564005836974,76.53625377322604,70.02486274175678
01,15-19,MALE,852.3622042584442,735.8409226810978,664.6238755467821,583.0734137561424,528.3346092382841,482.5781054847363,443.2255580733298,403.58437209501204,360.8413164927942,321.71785468529265,288.9876681397968,262.64006687850514,240.01473957669833,219.3366238964918
01,20-24,FEMALE,609.520893546105,610.9481168179702,533.6499459342253,499.660268796883,449.5458100210608,414.67913283098534,388.56758398940417,365.7504632726117,341.2448275431858,312.9029617238497,286.5135506730156,264.5698463734747,246.2737515295326,230.90769418982975
01,20-24,MALE,1625.664766294497,1647.9394917123248,1458.7312879339026,1358.8189062939205,1222.0465986591878,1138.2442688894719,1067.3722264039902,1005.2370781157073,938.5075363250262,861.1528592730696,789.6227309639335,728.8816098029467,679.4870463944072,637.552745124289
01,25-29,FEMALE,792.0708087358638,800.4887968517585,811.6588540004976,719.2641915153597,681.6428378544008,621.4584624093598,581.1118531692914,551.546194267112,525.7695687598992,496.6849195354631,461.74391439532434,428.58207709147933,400.54481274660736,378.2463671450274
01,25-29,MALE,2196.2436162287654,2247.9004921364403,2306.5312411559644,2070.4286259842675,1953.6193316748584,1781.1434926428526,1682.2803674516147,1598.2328491694075,1525.1727879977966,1442.7294418333568,1342.3896453020927,1247.313468190433,1167.1859667250012,1103.0024143308399
01,30-34,FEMALE,1457.4968965374628,1298.0637455833746,1311.1756760025467,1329.8241491611545,1181.6803874233474,1120.2521891415527,1022.7474438982733,957.9926109285332,910.1191602343006,868.3844618934893,822.1549274369031,765.0646020642874,710.8216740910307,665.6154852382405
01,30-34,MALE,2824.164322521608,2561.779882711877,2623.1719344733247,2691.723069686823,2421.7614325176137,2289.1918921897663,2090.2130822198596,1978.580646232248,1882.4135421291048,1798.2536279449841,1703.9401860408793,1588.7945642828922,1478.8623153949416,1386.4285385072913
01,35-39,FEMALE,1827.8492504938445,1815.4183276894937,1601.81156683514,1598.9748395467936,1604.6413792335625,1413.4230314561569,1326.3663163131223,1199.1114994701275,1113.0246536182092,1046.7256950290407,988.7761182716473,926.7559742224965,854.3621091510902,786.3799486101575
01,35-39,MALE,3242.035341212429,3287.6957120505044,2957.1299530934175,2993.901987255265,3041.1628152469757,2713.6004635598492,2538.974914783193,2296.6830819558727,2154.572651002764,2030.4597242012069,1921.1388571821153,1803.2930827376513,1665.3173878702873,1536.254601218629
01,40-44,FEMALE,2158.1589864194966,2062.774613088663,2027.000543953497,1769.0090738012575,1745.3607833608303,1730.988980757903,1508.3952295416807,1399.8901865222574,1251.2919202966582,1148.8044782625016,1068.3773575943596,998.0275874129986,924.9702376331813,843.3923298928908
01,40-44,MALE,3652.373847361425,3454.1286772601056,3466.7592406932845,3086.9611840897437,3089.330521591494,3101.7970101397686,2739.339427649791,2535.507128632319,2269.4716811758108,2106.7426682185287,1963.6986559813433,1837.8478094166494,1706.5524006680528,1559.8495816113675
01,45-49,FEMALE,2716.9389652228033,2682.8779075727207,2549.732834598152,2488.7563123794507,2158.0857666369548,2112.600069381611,2080.9470855373534,1803.7325693012363,1661.7843158663604,1475.5444764163624,1346.0671962021527,1243.6234491121083,1153.9681438892383,1062.246709093004
01,45-49,MALE,4029.7616971951584,3989.4695772672403,3757.3083971843976,3747.367575829998,3317.667122255503,3295.8459669737244,3289.0736560727446,2890.8134036586025,2656.9525843527476,2363.7488942731425,2181.2371333130914,2020.5473674717887,1879.2038943712464,1733.7533891555163
01,5-9,FEMALE,111.0916834259249,92.115410906915,77.85357426904588,67.20649840312905,58.176019159546534,49.91931433583937,41.740790273816664,35.21805469095095,29.912941623338934,25.66992576016251,22.254265153903887,19.106500841542257,16.280591858393628,13.83342155343831
01,5-9,MALE,144.31214498054413,119.46344289687174,102.11550025823334,88.06772804431836,76.16791150384334,65.29333994177394,55.03364464961365,46.482466420838755,39.246127045254326,33.32378408656899,28.924904760634558,25.010014868690792,21.283084676832793,18.141607258988937
01,50-54,FEMALE,4147.869052618624,3633.2494347172124,3598.2064842639875,3428.3484127218326,3353.9992751901664,2914.6796886155103,2857.885868349897,2820.7450923483475,2451.8278693837965,2262.3233958689284,2013.0888731401415,1840.871675642407,1703.9135009510342,1584.3142535303105
