"Notes","Age of Mother 9","Age of Mother 9 Code","State of Residence","State of Residence Code",Births,Female Population,Fertility Rate
,"25-29 years","25-29","Alaska","02",13421,125154,107.24
,"25-29 years","25-29","Arizona","04",116935,1237099,94.52
,"25-29 years","25-29","Arkansas","05",55030,488300,112.70
,"25-29 years","25-29","California","06",505162,6822805,74.04
,"25-29 years","25-29","Colorado","08",81545,1073194,75.98
,"25-29 years","25-29","Connecticut","09",39564,545609,72.51
,"25-29 years","25-29","Delaware","10",14394,152795,94.20
,"25-29 years","25-29","District of Columbia","11",7511,203924,36.83
,"25-29 years","25-29","Florida","12",299829,3352064,89.45
,"25-29 years","25-29","Georgia","13",178734,1870692,95.54
,"25-29 years","25-29","Hawaii","15",20195,219195,92.13
,"25-29 years","25-29","Idaho","16",36268,299277,121.19
,"25-29 years","25-29","Illinois","17",168796,2099514,80.40
,"25-29 years","25-29","Indiana","18",125482,1102211,113.85
,"25-29 years","25-29","Iowa","19",60135,484085,124.22
,"25-29 years","25-29","Kansas","20",52793,459260,114.95
,"25-29 years","25-29","Kentucky","21",80951,718367,112.69
,"25-29 years","25-29","Louisiana","22",83765,741783,112.92
,"25-29 years","25-29","Maine","23",16713,197801,84.49
,"25-29 years","25-29","Maryland","24",82583,972645,84.91
,"25-29 years","25-29","Massachusetts","25",70983,1210038,58.66
,"25-29 years","25-29","Michigan","26",153532,1599750,95.97
,"25-29 years","25-29","Minnesota","27",88381,892185,99.06
,"25-29 years","25-29","Mississippi","28",54346,471389,115.29
,"25-29 years","25-29","Missouri","29",105436,995770,105.88
,"25-29 years","25-29","Montana","30",16947,172655,98.16
,"25-29 years","25-29","Nebraska","31",38514,310371,124.09
,"25-29 years","25-29","Nevada","32",47912,542266,88.36
,"25-29 years","25-29","New Hampshire","33",16123,206477,78.09
,"25-29 years","25-29","New Jersey","34",112976,1430045,79.00
,"25-29 years","25-29","New Mexico","35",31595,332439,95.04
,"25-29 years","25-29","New York","36",246875,3453559,71.48
,"25-29 years","25-29","North Carolina","37",171829,1773596,96.88
,"25-29 years","25-29","North Dakota","38",16295,129844,125.50
,"25-29 years","25-29","Ohio","39",192279,1888560,101.81
,"25-29 years","25-29","Oklahoma","40",74461,655931,113.52
,"25-29 years","25-29","Oregon","41",54192,700669,77.34
