year,age,sex,immigration_status,migration_flow,number_of_people
2021,9,female,OFN,immigration,5745.0
2021,9,male,INA Nonimmigrant,emigration,218.0
2021,9,male,INA Nonimmigrant,immigration,340.0
2021,9,male,LPR+,emigration,82.0
2021,9,male,LPR+,immigration,2481.0
2021,9,male,OFN,emigration,454.0
2021,9,male,OFN,immigration,6573.0
2021,10,female,INA Nonimmigrant,emigration,237.0
2021,10,female,INA Nonimmigrant,immigration,342.0
2021,10,female,LPR+,emigration,231.0
2021,10,female,LPR+,immigration,1807.0
2021,10,female,OFN,emigration,427.0
2021,10,female,OFN,immigration,5775.0
2021,10,male,INA Nonimmigrant,emigration,257.0
2021,10,male,INA Nonimmigrant,immigration,363.0
2021,10,male,LPR+,emigration,97.0
2021,10,male,LPR+,immigration,2610.0
2021,10,male,OFN,emigration,536.0
2021,10,male,OFN,immigration,6609.0
2021,11,female,INA Nonimmigrant,emigration,253.0
2021,11,female,INA Nonimmigrant,immigration,375.0
2021,11,female,LPR+,emigration,246.0
2021,11,female,LPR+,immigration,1848.0
2021,11,female,OFN,emigration,456.0
2021,11,female,OFN,immigration,5883.0
2021,11,male,INA Nonimmigrant,emigration,250.0
2021,11,male,INA Nonimmigrant,immigration,401.0
2021,11,male,LPR+,emigration,94.0
2021,11,male,LPR+,immigration,2713.0
2021,11,male,OFN,emigration,523.0
2021,11,male,OFN,immigration,6712.0
2021,12,female,INA Nonimmigrant,emigration,290.0
2021,12,female,INA Nonimmigrant,immigration,428.0
2021,12,female,LPR+,emigration,282.0
2021,12,female,LPR+,immigration,1848.0
2021,12,female,OFN,emigration,523.0
2021,12,female,OFN,immigration,6101.0
2021,12,male,INA Nonimmigrant,emigration,296.0
2021,12,male,INA Nonimmigrant,immigration,462.0
2021,12,male,LPR+,emigration,111.0
2021,12,male,LPR+,immigration,2795.0
2021,12,male,OFN,emigration,617.0
2021,12,male,OFN,immigration,6962.0
2021,13,female,INA Nonimmigrant,emigration,294.0
2021,13,female,INA Nonimmigrant,immigration,506.0
2021,13,female,LPR+,emigration,287.0
2021,13,female,LPR+,immigration,1815.0
2021,13,female,OFN,emigration,531.0
2021,13,female,OFN,immigration,6409.0
2021,13,male,INA Nonimmigrant,emigration,315.0
2021,13,male,INA Nonimmigrant,immigration,552.0
2021,13,male,LPR+,emigration,118.0
2021,13,male,LPR+,immigration,2874.0
2021,13,male,OFN,emigration,656.0
2021,13,male,OFN,immigration,7356.0
2021,14,female,INA Nonimmigrant,emigration,312.0
2021,14,female,INA Nonimmigrant,immigration,615.0
2021,14,female,LPR+,emigration,304.0
2021,14,female,LPR+,immigration,1767.0
2021,14,female,OFN,emigration,563.0
2021,14,female,OFN,immigration,6801.0
2021,14,male,INA Nonimmigrant,emigration,331.0
2021,14,male,INA Nonimmigrant,immigration,678.0
2021,14,male,LPR+,emigration,125.0
2021,14,male,LPR+,immigration,2971.0
2021,14,male,OFN,emigration,691.0
2021,14,male,OFN,immigration,7816.0
2021,15,female,INA Nonimmigrant,emigration,342.0
2021,15,female,INA Nonimmigrant,immigration,755.0
2021,15,female,LPR+,emigration,334.0
2021,15,female,LPR+,immigration,1727.0
2021,15,female,OFN,emigration,618.0
2021,15,female,OFN,immigration,7261.0
2021,15,male,INA Nonimmigrant,emigration,353.0
2021,15,male,INA Nonimmigrant,immigration,844.0
2021,15,male,LPR+,emigration,133.0
2021,15,male,LPR+,immigration,3117.0
2021,15,male,OFN,emigration,736.0
2021,15,male,OFN,immigration,8338.0
2021,16,female,INA Nonimmigrant,emigration,408.0
2021,16,female,INA Nonimmigrant,immigration,929.0
2021,16,female,LPR+,emigration,398.0
2021,16,female,LPR+,immigration,1723.0
2021,16,female,OFN,emigration,1252.0
2021,16,female,OFN,immigration,7737.0
2021,16,male,INA Nonimmigrant,emigration,390.0
2021,16,male,INA Nonimmigrant,immigration,1055.0
2021,16,male,LPR+,emigration,147.0
2021,16,male,LPR+,immigration,3335.0
2021,16,male,OFN,emigration,1391.0
2021,16,male,OFN,immigration,9048.0
2021,17,female,INA Nonimmigrant,emigration,416.0
2021,17,female,INA Nonimmigrant,immigration,1134.0
2021,17,female,LPR+,emigration,406.0
2021,17,female,LPR+,immigration,1772.0
2021,17,female,OFN,emigration,1278.0
2021,17,female,OFN,immigration,8293.0
2021,17,male,INA Nonimmigrant,emigration,453.0
2021,17,male,INA Nonimmigrant,immigration,1310.0
2021,17,male,LPR+,emigration,170.0
2021,17,male,LPR+,immigration,3638.0
2021,17,male,OFN,emigration,1614.0
2021,17,male,OFN,immigration,9910.0
2021,18,female,INA Nonimmigrant,emigration,1197.0
2021,18,female,INA Nonimmigrant,immigration,1364.0
2021,18,female,LPR+,emigration,503.0
2021,18,female,LPR+,immigration,1886.0
2021,18,female,OFN,emigration,1520.0
2021,18,female,OFN,immigration,8912.0
2021,18,male,INA Nonimmigrant,emigration,1543.0
2021,18,male,INA Nonimmigrant,immigration,1604.0
2021,18,male,LPR+,emigration,251.0
2021,18,male,LPR+,immigration,4022.0
2021,18,male,OFN,emigration,1877.0
2021,18,male,OFN,immigration,10675.0
2021,19,female,INA Nonimmigrant,emigration,1376.0
2021,19,female,INA Nonimmigrant,immigration,1606.0
2021,19,female,LPR+,emigration,579.0
2021,19,female,LPR+,immigration,2067.0
2021,19,female,OFN,emigration,1748.0
2021,19,female,OFN,immigration,9528.0
2021,19,male,INA Nonimmigrant,emigration,1692.0
2021,19,male,INA Nonimmigrant,immigration,1922.0
2021,19,male,LPR+,emigration,276.0
2021,19,male,LPR+,immigration,4474.0
2021,19,male,OFN,emigration,2059.0
2021,19,male,OFN,immigration,11324.0
2021,20,female,INA Nonimmigrant,emigration,1458.0
2021,20,female,INA Nonimmigrant,immigration,1842.0
2021,20,female,LPR+,emigration,613.0
2021,20,female,LPR+,immigration,2316.0
2021,20,female,OFN,emigration,1852.0
2021,20,female,OFN,immigration,10127.0
2021,20,male,INA Nonimmigrant,emigration,1913.0
2021,20,male,INA Nonimmigrant,immigration,2242.0
2021,20,male,LPR+,emigration,312.0
2021,20,male,LPR+,immigration,4980.0
2021,20,male,OFN,emigration,2326.0
2021,20,male,OFN,immigration,12036.0
2021,21,female,INA Nonimmigrant,emigration,1445.0
2021,21,female,INA Nonimmigrant,immigration,2048.0
2021,21,female,LPR+,emigration,608.0
2021,21,female,LPR+,immigration,2640.0
2021,21,female,OFN,emigration,1835.0
2021,21,female,OFN,immigration,10765.0
2021,21,male,INA Nonimmigrant,emigration,1921.0
2021,21,male,INA Nonimmigrant,immigration,2540.0
2021,21,male,LPR+,emigration,313.0
2021,21,male,LPR+,immigration,5537.0
2021,21,male,OFN,emigration,2337.0
2021,21,male,OFN,immigration,12721.0
2021,22,female,INA Nonimmigrant,emigration,1365.0
2021,22,female,INA Nonimmigrant,immigration,2208.0
2021,22,female,LPR+,emigration,574.0
2021,22,female,LPR+,immigration,3044.0
2021,22,female,OFN,emigration,1733.0
2021,22,female,OFN,immigration,11425.0
2021,22,male,INA Nonimmigrant,emigration,1934.0
2021,22,male,INA Nonimmigrant,immigration,2793.0
2021,22,male,LPR+,emigration,315.0
2021,22,male,LPR+,immigration,6148.0
2021,22,male,OFN,emigration,2353.0
2021,22,male,OFN,immigration,13529.0
2021,23,female,INA Nonimmigrant,emigration,1406.0
2021,23,female,INA Nonimmigrant,immigration,2311.0
2021,23,female,LPR+,emigration,591.0
2021,23,female,LPR+,immigration,3530.0
2021,23,female,OFN,emigration,1785.0
2021,23,female,OFN,immigration,12021.0
2021,23,male,INA Nonimmigrant,emigration,1931.0
2021,23,male,INA Nonimmigrant,immigration,2991.0
2021,23,male,LPR+,emigration,315.0
2021,23,male,LPR+,immigration,6816.0
2021,23,male,OFN,emigration,2349.0
2021,23,male,OFN,immigration,14333.0
2021,24,female,INA Nonimmigrant,emigration,1556.0
