year,age,place_of_birth,births_per_1000_females
2043,18,native-born,8.42
2043,19,all,17.75
2043,19,foreign-born,20.07
2043,19,native-born,17.36
2043,20,all,26.91
2043,20,foreign-born,30.43
2043,20,native-born,26.31
2043,21,all,35.58
2043,21,foreign-born,40.23
2043,21,native-born,34.79
2043,22,all,40.69
2043,22,foreign-born,46.01
2043,22,native-born,39.78
2043,23,all,45.51
2043,23,foreign-born,51.47
2043,23,native-born,44.5
2043,24,all,52.54
2043,24,foreign-born,59.41
2043,24,native-born,51.37
2043,25,all,59.44
2043,25,foreign-born,67.22
2043,25,native-born,58.12
2043,26,all,66.03
2043,26,foreign-born,74.67
2043,26,native-born,64.56
2043,27,all,77.97
2043,27,foreign-born,88.18
2043,27,native-born,76.24
2043,28,all,90.69
2043,28,foreign-born,102.56
2043,28,native-born,88.67
2043,29,all,105.45
2043,29,foreign-born,119.25
2043,29,native-born,103.1
2043,30,all,111.22
2043,30,foreign-born,125.77
2043,30,native-born,108.74
2043,31,all,113.26
2043,31,foreign-born,128.08
2043,31,native-born,110.74
2043,32,all,109.11
2043,32,foreign-born,123.39
2043,32,native-born,106.68
2043,33,all,102.36
2043,33,foreign-born,115.76
2043,33,native-born,100.08
2043,34,all,96.37
2043,34,foreign-born,108.99
2043,34,native-born,94.23
2043,35,all,88.31
2043,35,foreign-born,99.87
2043,35,native-born,86.34
2043,36,all,77.51
2043,36,foreign-born,87.65
2043,36,native-born,75.78
2043,37,all,62.95
2043,37,foreign-born,71.19
2043,37,native-born,61.55
2043,38,all,50.16
2043,38,foreign-born,56.73
2043,38,native-born,49.05
2043,39,all,39.14
2043,39,foreign-born,44.26
2043,39,native-born,38.27
2043,40,all,29.74
2043,40,foreign-born,33.63
2043,40,native-born,29.08
2043,41,all,21.06
2043,41,foreign-born,23.82
2043,41,native-born,20.59
2043,42,all,13.89
2043,42,foreign-born,15.71
2043,42,native-born,13.58
2043,43,all,8.54
2043,43,foreign-born,9.66
2043,43,native-born,8.35
2043,44,all,5.16
2043,44,foreign-born,5.84
2043,44,native-born,5.05
2043,45,all,3.09
2043,45,foreign-born,3.5
2043,45,native-born,3.02
2043,46,all,1.89
2043,46,foreign-born,2.14
2043,46,native-born,1.85
2043,47,all,1.05
2043,47,foreign-born,1.19
2043,47,native-born,1.03
2043,48,all,0.55
2043,48,foreign-born,0.62
2043,48,native-born,0.54
2043,49,all,1.15
2043,49,foreign-born,1.3
2043,49,native-born,1.12
2044,14,all,0.29
2044,14,foreign-born,0.33
2044,14,native-born,0.29
2044,15,all,0.79
2044,15,foreign-born,0.9
2044,15,native-born,0.78
2044,16,all,2.15
2044,16,foreign-born,2.43
2044,16,native-born,2.1
2044,17,all,4.29
2044,17,foreign-born,4.85
2044,17,native-born,4.2
2044,18,all,8.36
2044,18,foreign-born,9.46
2044,18,native-born,8.18
2044,19,all,17.39
2044,19,foreign-born,19.67
2044,19,native-born,17.01
2044,20,all,26.53
2044,20,foreign-born,30.01
2044,20,native-born,25.95
2044,21,all,35.22
2044,21,foreign-born,39.83
2044,21,native-born,34.44
2044,22,all,40.25
2044,22,foreign-born,45.52
2044,22,native-born,39.36
2044,23,all,44.99
2044,23,foreign-born,50.89
2044,23,native-born,44.0
2044,24,all,52.02
2044,24,foreign-born,58.84
2044,24,native-born,50.87
2044,25,all,58.91
2044,25,foreign-born,66.63
2044,25,native-born,57.61
2044,26,all,65.52
2044,26,foreign-born,74.1
2044,26,native-born,64.07
2044,27,all,77.64
2044,27,foreign-born,87.81
2044,27,native-born,75.92
2044,28,all,90.6
2044,28,foreign-born,102.48
2044,28,native-born,88.6
2044,29,all,105.72
2044,29,foreign-born,119.57
2044,29,native-born,103.38
2044,30,all,111.62
2044,30,foreign-born,126.24
2044,30,native-born,109.15
2044,31,all,113.72
2044,31,foreign-born,128.63
2044,31,native-born,111.21
2044,32,all,109.55
2044,32,foreign-born,123.91
2044,32,native-born,107.13
2044,33,all,102.73
2044,33,foreign-born,116.19
2044,33,native-born,100.46
2044,34,all,96.75
2044,34,foreign-born,109.42
2044,34,native-born,94.61
2044,35,all,88.67
2044,35,foreign-born,100.29
2044,35,native-born,86.71
2044,36,all,77.88
2044,36,foreign-born,88.09
2044,36,native-born,76.16
2044,37,all,63.24
2044,37,foreign-born,71.53
2044,37,native-born,61.85
2044,38,all,50.4
2044,38,foreign-born,57.0
2044,38,native-born,49.28
2044,39,all,39.31
2044,39,foreign-born,44.47
2044,39,native-born,38.44
2044,40,all,29.91
2044,40,foreign-born,33.83
2044,40,native-born,29.25
2044,41,all,21.19
2044,41,foreign-born,23.97
2044,41,native-born,20.72
2044,42,all,13.98
2044,42,foreign-born,15.81
2044,42,native-born,13.67
2044,43,all,8.6
2044,43,foreign-born,9.73
2044,43,native-born,8.41
2044,44,all,5.2
2044,44,foreign-born,5.88
2044,44,native-born,5.09
2044,45,all,3.12
2044,45,foreign-born,3.53
2044,45,native-born,3.05
2044,46,all,1.91
2044,46,foreign-born,2.16
2044,46,native-born,1.87
2044,47,all,1.07
2044,47,foreign-born,1.2
2044,47,native-born,1.04
2044,48,all,0.55
2044,48,foreign-born,0.63
2044,48,native-born,0.54
2044,49,all,1.15
2044,49,foreign-born,1.3
2044,49,native-born,1.12
2045,14,all,0.28
2045,14,foreign-born,0.32
2045,14,native-born,0.27
2045,15,all,0.76
2045,15,foreign-born,0.86
2045,15,native-born,0.75
2045,16,all,2.08
2045,16,foreign-born,2.36
2045,16,native-born,2.04
2045,17,all,4.17
2045,17,foreign-born,4.72
2045,17,native-born,4.08
2045,18,all,8.13
2045,18,foreign-born,9.2
2045,18,native-born,7.95
2045,19,all,17.07
2045,19,foreign-born,19.31
2045,19,native-born,16.7
2045,20,all,26.19
2045,20,foreign-born,29.63
2045,20,native-born,25.62
2045,21,all,34.89
2045,21,foreign-born,39.47
2045,21,native-born,34.12
2045,22,all,39.84
2045,22,foreign-born,45.07
2045,22,native-born,38.97
2045,23,all,44.52
2045,23,foreign-born,50.36
2045,23,native-born,43.54
2045,24,all,51.55
2045,24,foreign-born,58.31
2045,24,native-born,50.42
2045,25,all,58.42
2045,25,foreign-born,66.08
2045,25,native-born,57.14
2045,26,all,65.05
2045,26,foreign-born,73.58
2045,26,native-born,63.62
2045,27,all,77.33
2045,27,foreign-born,87.48
2045,27,native-born,75.64
2045,28,all,90.52
2045,28,foreign-born,102.4
2045,28,native-born,88.54
2045,29,all,105.96
2045,29,foreign-born,119.87
2045,29,native-born,103.64
2045,30,all,111.97
2045,30,foreign-born,126.67
2045,30,native-born,109.52
2045,31,all,114.14
2045,31,foreign-born,129.13
2045,31,native-born,111.64
2045,32,all,109.95
2045,32,foreign-born,124.38
2045,32,native-born,107.54
2045,33,all,103.06
2045,33,foreign-born,116.59
2045,33,native-born,100.8
2045,34,all,97.08
2045,34,foreign-born,109.82
2045,34,native-born,94.95
2045,35,all,88.99
2045,35,foreign-born,100.67
2045,35,native-born,87.04
2045,36,all,78.22
2045,36,foreign-born,88.49
2045,36,native-born,76.5
2045,37,all,63.51
2045,37,foreign-born,71.85
2045,37,native-born,62.12
2045,38,all,50.61
2045,38,foreign-born,57.25
2045,38,native-born,49.5
2045,39,all,39.47
2045,39,foreign-born,44.65
2045,39,native-born,38.61
2045,40,all,30.05
2045,40,foreign-born,34.0
2045,40,native-born,29.4
2045,41,all,21.31
2045,41,foreign-born,24.1
2045,41,native-born,20.84
2045,42,all,14.06
2045,42,foreign-born,15.9
2045,42,native-born,13.75
2045,43,all,8.65
2045,43,foreign-born,9.79
2045,43,native-born,8.46
2045,44,all,5.24
2045,44,foreign-born,5.92
2045,44,native-born,5.12
2045,45,all,3.14
2045,45,foreign-born,3.56
2045,45,native-born,3.07
2045,46,all,1.93
2045,46,foreign-born,2.19
2045,46,native-born,1.89
2045,47,all,1.08
2045,47,foreign-born,1.22
2045,47,native-born,1.05
2045,48,all,0.56
2045,48,foreign-born,0.63
2045,48,native-born,0.55
2045,49,all,1.15
2045,49,foreign-born,1.31
2045,49,native-born,1.13
2046,14,all,0.27
2046,14,foreign-born,0.3
2046,14,native-born,0.26
2046,15,all,0.74
2046,15,foreign-born,0.83
2046,15,native-born,0.72
2046,16,all,2.03
2046,16,foreign-born,2.29
2046,16,native-born,1.98
2046,17,all,4.06
2046,17,foreign-born,4.59
2046,17,native-born,3.97
2046,18,all,7.92
2046,18,foreign-born,8.96
2046,18,native-born,7.75
2046,19,all,16.78
2046,19,foreign-born,18.98
2046,19,native-born,16.41
2046,20,all,25.88
2046,20,foreign-born,29.28
2046,20,native-born,25.31
2046,21,all,34.59
2046,21,foreign-born,39.14
2046,21,native-born,33.84
2046,22,all,39.48
2046,22,foreign-born,44.66
2046,22,native-born,38.62
2046,23,all,44.09
2046,23,foreign-born,49.88
2046,23,native-born,43.12
2046,24,all,51.12
2046,24,foreign-born,57.84
2046,24,native-born,50.01
2046,25,all,57.97
2046,25,foreign-born,65.59
2046,25,native-born,56.71
2046,26,all,64.62
2046,26,foreign-born,73.11
2046,26,native-born,63.21
2046,27,all,77.05
2046,27,foreign-born,87.18
2046,27,native-born,75.38
2046,28,all,90.45
2046,28,foreign-born,102.34
2046,28,native-born,88.48
2046,29,all,106.18
2046,29,foreign-born,120.14
2046,29,native-born,103.87
2046,30,all,112.3
2046,30,foreign-born,127.06
2046,30,native-born,109.85
2046,31,all,114.53
2046,31,foreign-born,129.58
2046,31,native-born,112.03
2046,32,all,110.31
2046,32,foreign-born,124.81
2046,32,native-born,107.91
2046,33,all,103.37
2046,33,foreign-born,116.95
2046,33,native-born,101.12
2046,34,all,97.39
2046,34,foreign-born,110.19
2046,34,native-born,95.27
2046,35,all,89.29
2046,35,foreign-born,101.02
2046,35,native-born,87.34
2046,36,all,78.53
2046,36,foreign-born,88.85
2046,36,native-born,76.82
2046,37,all,63.75
2046,37,foreign-born,72.13
2046,37,native-born,62.36
2046,38,all,50.8
2046,38,foreign-born,57.48
2046,38,native-born,49.7
2046,39,all,39.62
2046,39,foreign-born,44.83
2046,39,native-born,38.76
2046,40,all,30.19
2046,40,foreign-born,34.16
2046,40,native-born,29.53
2046,41,all,21.41
2046,41,foreign-born,24.23
2046,41,native-born,20.95
2046,42,all,14.13
2046,42,foreign-born,15.99
2046,42,native-born,13.82
2046,43,all,8.7
2046,43,foreign-born,9.84
2046,43,native-born,8.51
2046,44,all,5.27
2046,44,foreign-born,5.96
2046,44,native-born,5.15
2046,45,all,3.17
2046,45,foreign-born,3.58
2046,45,native-born,3.1
2046,46,all,1.95
2046,46,foreign-born,2.21
2046,46,native-born,1.91
2046,47,all,1.08
2046,47,foreign-born,1.23
2046,47,native-born,1.06
2046,48,all,0.56
2046,48,foreign-born,0.63
2046,48,native-born,0.55
2046,49,all,1.16
2046,49,foreign-born,1.31
2046,49,native-born,1.13
2047,14,all,0.26
2047,14,foreign-born,0.29
2047,14,native-born,0.25
2047,15,all,0.71
2047,15,foreign-born,0.8
2047,15,native-born,0.7
2047,16,all,1.97
2047,16,foreign-born,2.23
2047,16,native-born,1.93
2047,17,all,3.96
2047,17,foreign-born,4.48
2047,17,native-born,3.87
2047,18,all,7.74
2047,18,foreign-born,8.75
2047,18,native-born,7.57
2047,19,all,16.51
2047,19,foreign-born,18.69
2047,19,native-born,16.15
2047,20,all,25.6
2047,20,foreign-born,28.97
2047,20,native-born,25.05
2047,21,all,34.33
2047,21,foreign-born,38.84
2047,21,native-born,33.58
2047,22,all,39.15
2047,22,foreign-born,44.3
2047,22,native-born,38.3
2047,23,all,43.7
2047,23,foreign-born,49.45
2047,23,native-born,42.75
2047,24,all,50.74
2047,24,foreign-born,57.41
2047,24,native-born,49.64
2047,25,all,57.58
2047,25,foreign-born,65.15
2047,25,native-born,56.33
2047,26,all,64.24
2047,26,foreign-born,72.69
2047,26,native-born,62.85
2047,27,all,76.81
2047,27,foreign-born,86.91
2047,27,native-born,75.14
2047,28,all,90.39
2047,28,foreign-born,102.28
2047,28,native-born,88.43
2047,29,all,106.39
2047,29,foreign-born,120.38
2047,29,native-born,104.08
2047,30,all,112.6
2047,30,foreign-born,127.41
2047,30,native-born,110.15
2047,31,all,114.87
2047,31,foreign-born,129.98
2047,31,native-born,112.38
2047,32,all,110.65
2047,32,foreign-born,125.2
2047,32,native-born,108.24
2047,33,all,103.65
2047,33,foreign-born,117.28
2047,33,native-born,101.4
2047,34,all,97.67
2047,34,foreign-born,110.51
2047,34,native-born,95.54
2047,35,all,89.56
2047,35,foreign-born,101.33
2047,35,native-born,87.61
2047,36,all,78.81
2047,36,foreign-born,89.17
2047,36,native-born,77.1
2047,37,all,63.97
2047,37,foreign-born,72.39
2047,37,native-born,62.58
2047,38,all,50.98
2047,38,foreign-born,57.68
2047,38,native-born,49.87
2047,39,all,39.75
2047,39,foreign-born,44.98
2047,39,native-born,38.89
2047,40,all,30.31
2047,40,foreign-born,34.3
2047,40,native-born,29.65
2047,41,all,21.51
2047,41,foreign-born,24.34
2047,41,native-born,21.04
2047,42,all,14.2
2047,42,foreign-born,16.06
2047,42,native-born,13.89
2047,43,all,8.74
2047,43,foreign-born,9.89
2047,43,native-born,8.55
2047,44,all,5.3
2047,44,foreign-born,5.99
2047,44,native-born,5.18
2047,45,all,3.19
2047,45,foreign-born,3.6
2047,45,native-born,3.12
2047,46,all,1.97
2047,46,foreign-born,2.23
2047,46,native-born,1.93
2047,47,all,1.09
2047,47,foreign-born,1.24
2047,47,native-born,1.07
2047,48,all,0.56
2047,48,foreign-born,0.64
2047,48,native-born,0.55
2047,49,all,1.16
2047,49,foreign-born,1.32
2047,49,native-born,1.14
2048,14,all,0.25
2048,14,foreign-born,0.28
2048,14,native-born,0.24
2048,15,all,0.69
2048,15,foreign-born,0.78
2048,15,native-born,0.67
2048,16,all,1.93
2048,16,foreign-born,2.18
2048,16,native-born,1.88
2048,17,all,3.87
2048,17,foreign-born,4.38
2048,17,native-born,3.78
2048,18,all,7.57
2048,18,foreign-born,8.57
2048,18,native-born,7.41
2048,19,all,16.28
2048,19,foreign-born,18.42
2048,19,native-born,15.93
2048,20,all,25.36
2048,20,foreign-born,28.69
2048,20,native-born,24.81
2048,21,all,34.09
2048,21,foreign-born,38.58
2048,21,native-born,33.35
2048,22,all,38.87
2048,22,foreign-born,43.98
2048,22,native-born,38.02
2048,23,all,43.37
2048,23,foreign-born,49.07
2048,23,native-born,42.43
2048,24,all,50.41
2048,24,foreign-born,57.04
2048,24,native-born,49.32
2048,25,all,57.23
2048,25,foreign-born,64.76
2048,25,native-born,55.99
2048,26,all,63.91
2048,26,foreign-born,72.32
2048,26,native-born,62.53
2048,27,all,76.6
2048,27,foreign-born,86.67
2048,27,native-born,74.94
2048,28,all,90.34
2048,28,foreign-born,102.22
2048,28,native-born,88.38
2048,29,all,106.57
2048,29,foreign-born,120.59
2048,29,native-born,104.26
2048,30,all,112.87
2048,30,foreign-born,127.71
2048,30,native-born,110.42
2048,31,all,115.18
2048,31,foreign-born,130.33
2048,31,native-born,112.68
2048,32,all,110.94
2048,32,foreign-born,125.53
2048,32,native-born,108.54
2048,33,all,103.9
2048,33,foreign-born,117.56
2048,33,native-born,101.64
2048,34,all,97.92
2048,34,foreign-born,110.79
2048,34,native-born,95.79
2048,35,all,89.8
2048,35,foreign-born,101.61
2048,35,native-born,87.85
2048,36,all,79.06
2048,36,foreign-born,89.46
2048,36,native-born,77.34
2048,37,all,64.17
2048,37,foreign-born,72.61
2048,37,native-born,62.78
2048,38,all,51.13
2048,38,foreign-born,57.86
2048,38,native-born,50.02
2048,39,all,39.87
2048,39,foreign-born,45.11
2048,39,native-born,39.0
2048,40,all,30.42
2048,40,foreign-born,34.42
2048,40,native-born,29.76
2048,41,all,21.6
2048,41,foreign-born,24.44
2048,41,native-born,21.13
2048,42,all,14.26
2048,42,foreign-born,16.13
2048,42,native-born,13.95
2048,43,all,8.78
2048,43,foreign-born,9.93
2048,43,native-born,8.59
2048,44,all,5.32
2048,44,foreign-born,6.02
2048,44,native-born,5.21
2048,45,all,3.2
2048,45,foreign-born,3.62
2048,45,native-born,3.13
2048,46,all,1.98
2048,46,foreign-born,2.25
2048,46,native-born,1.94
2048,47,all,1.1
2048,47,foreign-born,1.24
2048,47,native-born,1.08
2048,48,all,0.57
2048,48,foreign-born,0.64
2048,48,native-born,0.55
2048,49,all,1.17
2048,49,foreign-born,1.32
2048,49,native-born,1.14
2049,14,all,0.24
2049,14,foreign-born,0.27
2049,14,native-born,0.23
2049,15,all,0.67
2049,15,foreign-born,0.76
2049,15,native-born,0.66
2049,16,all,1.89
2049,16,foreign-born,2.13
2049,16,native-born,1.85
2049,17,all,3.79
2049,17,foreign-born,4.29
2049,17,native-born,3.71
2049,18,all,7.43
2049,18,foreign-born,8.41
2049,18,native-born,7.27
2049,19,all,16.08
2049,19,foreign-born,18.2
2049,19,native-born,15.73
2049,20,all,25.15
2049,20,foreign-born,28.46
2049,20,native-born,24.6
2049,21,all,33.89
2049,21,foreign-born,38.35
2049,21,native-born,33.16
2049,22,all,38.62
2049,22,foreign-born,43.7
2049,22,native-born,37.78
2049,23,all,43.07
2049,23,foreign-born,48.74
2049,23,native-born,42.14
2049,24,all,50.12
2049,24,foreign-born,56.72
2049,24,native-born,49.04
2049,25,all,56.93
2049,25,foreign-born,64.43
2049,25,native-born,55.7
2049,26,all,63.63
2049,26,foreign-born,72.0
2049,26,native-born,62.25
2049,27,all,76.41
2049,27,foreign-born,86.47
2049,27,native-born,74.76
2049,28,all,90.3
2049,28,foreign-born,102.18
2049,28,native-born,88.34
2049,29,all,106.73
2049,29,foreign-born,120.77
2049,29,native-born,104.42
2049,30,all,113.1
2049,30,foreign-born,127.98
2049,30,native-born,110.65
2049,31,all,115.45
2049,31,foreign-born,130.64
2049,31,native-born,112.95
2049,32,all,111.2
2049,32,foreign-born,125.83
2049,32,native-born,108.79
2049,33,all,104.11
2049,33,foreign-born,117.81
2049,33,native-born,101.85
2049,34,all,98.13
2049,34,foreign-born,111.04
2049,34,native-born,96.01
2049,35,all,90.01
2049,35,foreign-born,101.85
2049,35,native-born,88.06
2049,36,all,79.27
2049,36,foreign-born,89.7
2049,36,native-born,77.56
2049,37,all,64.34
2049,37,foreign-born,72.8
2049,37,native-born,62.95
2049,38,all,51.27
2049,38,foreign-born,58.01
2049,38,native-born,50.16
2049,39,all,39.97
2049,39,foreign-born,45.23
2049,39,native-born,39.11
2049,40,all,30.52
2049,40,foreign-born,34.53
2049,40,native-born,29.85
2049,41,all,21.67
2049,41,foreign-born,24.52
2049,41,native-born,21.2
2049,42,all,14.31
2049,42,foreign-born,16.19
2049,42,native-born,14.0
2049,43,all,8.81
2049,43,foreign-born,9.97
2049,43,native-born,8.62
2049,44,all,5.35
2049,44,foreign-born,6.05
2049,44,native-born,5.23
2049,45,all,3.22
2049,45,foreign-born,3.64
2049,45,native-born,3.15
2049,46,all,2.0
2049,46,foreign-born,2.26
2049,46,native-born,1.95
2049,47,all,1.11
2049,47,foreign-born,1.25
2049,47,native-born,1.08
2049,48,all,0.57
2049,48,foreign-born,0.64
2049,48,native-born,0.56
2049,49,all,1.17
2049,49,foreign-born,1.32
2049,49,native-born,1.14
2050,14,all,0.23
2050,14,foreign-born,0.26
2050,14,native-born,0.23
2050,15,all,0.65
2050,15,foreign-born,0.74
2050,15,native-born,0.64
2050,16,all,1.85
2050,16,foreign-born,2.1
2050,16,native-born,1.81
2050,17,all,3.73
2050,17,foreign-born,4.22
2050,17,native-born,3.65
2050,18,all,7.31
2050,18,foreign-born,8.27
2050,18,native-born,7.15
2050,19,all,15.91
2050,19,foreign-born,18.01
2050,19,native-born,15.57
2050,20,all,24.97
2050,20,foreign-born,28.26
2050,20,native-born,24.43
2050,21,all,33.72
2050,21,foreign-born,38.16
2050,21,native-born,32.99
2050,22,all,38.41
2050,22,foreign-born,43.46
2050,22,native-born,37.58
2050,23,all,42.83
2050,23,foreign-born,48.46
2050,23,native-born,41.9
2050,24,all,49.88
2050,24,foreign-born,56.44
2050,24,native-born,48.8
2050,25,all,56.68
2050,25,foreign-born,64.14
2050,25,native-born,55.46
2050,26,all,63.38
2050,26,foreign-born,71.73
2050,26,native-born,62.01
2050,27,all,76.26
2050,27,foreign-born,86.29
2050,27,native-born,74.61
2050,28,all,90.26
2050,28,foreign-born,102.14
2050,28,native-born,88.31
2050,29,all,106.86
2050,29,foreign-born,120.92
2050,29,native-born,104.55
2050,30,all,113.29
2050,30,foreign-born,128.2
2050,30,native-born,110.84
2050,31,all,115.67
2050,31,foreign-born,130.9
2050,31,native-born,113.18
2050,32,all,111.41
2050,32,foreign-born,126.08
2050,32,native-born,109.0
2050,33,all,104.29
2050,33,foreign-born,118.02
2050,33,native-born,102.04
2050,34,all,98.31
2050,34,foreign-born,111.25
2050,34,native-born,96.19
2050,35,all,90.18
2050,35,foreign-born,102.05
2050,35,native-born,88.23
2050,36,all,79.45
2050,36,foreign-born,89.91
2050,36,native-born,77.74
2050,37,all,64.48
2050,37,foreign-born,72.97
2050,37,native-born,63.09
2050,38,all,51.38
2050,38,foreign-born,58.15
2050,38,native-born,50.27
2050,39,all,40.06
2050,39,foreign-born,45.33
2050,39,native-born,39.19
2050,40,all,30.59
2050,40,foreign-born,34.62
2050,40,native-born,29.93
2050,41,all,21.73
2050,41,foreign-born,24.59
2050,41,native-born,21.26
2050,42,all,14.35
2050,42,foreign-born,16.24
2050,42,native-born,14.04
2050,43,all,8.84
2050,43,foreign-born,10.0
2050,43,native-born,8.65
2050,44,all,5.36
2050,44,foreign-born,6.07
2050,44,native-born,5.25
2050,45,all,3.23
2050,45,foreign-born,3.66
2050,45,native-born,3.16
2050,46,all,2.01
2050,46,foreign-born,2.27
2050,46,native-born,1.97
2050,47,all,1.11
2050,47,foreign-born,1.26
2050,47,native-born,1.09
2050,48,all,0.57
2050,48,foreign-born,0.64
2050,48,native-born,0.56
2050,49,all,1.17
2050,49,foreign-born,1.33
2050,49,native-born,1.15
2051,14,all,0.23
2051,14,foreign-born,0.26
2051,14,native-born,0.22
2051,15,all,0.64
2051,15,foreign-born,0.72
2051,15,native-born,0.63
2051,16,all,1.82
2051,16,foreign-born,2.06
2051,16,native-born,1.78
2051,17,all,3.67
2051,17,foreign-born,4.16
2051,17,native-born,3.59
2051,18,all,7.21
2051,18,foreign-born,8.16
2051,18,native-born,7.06
2051,19,all,15.77
2051,19,foreign-born,17.85
2051,19,native-born,15.43
2051,20,all,24.82
2051,20,foreign-born,28.09
2051,20,native-born,24.29
2051,21,all,33.58
2051,21,foreign-born,38.0
2051,21,native-born,32.86
2051,22,all,38.23
2051,22,foreign-born,43.27
2051,22,native-born,37.41
2051,23,all,42.62
2051,23,foreign-born,48.24
2051,23,native-born,41.7
2051,24,all,49.67
2051,24,foreign-born,56.22
2051,24,native-born,48.6
2051,25,all,56.47
2051,25,foreign-born,63.91
2051,25,native-born,55.25
2051,26,all,63.18
2051,26,foreign-born,71.5
2051,26,native-born,61.82
2051,27,all,76.13
2051,27,foreign-born,86.15
2051,27,native-born,74.49
2051,28,all,90.22
2051,28,foreign-born,102.11
2051,28,native-born,88.28
2051,29,all,106.96
2051,29,foreign-born,121.05
2051,29,native-born,104.66
2051,30,all,113.45
2051,30,foreign-born,128.39
2051,30,native-born,111.0
2051,31,all,115.86
2051,31,foreign-born,131.12
2051,31,native-born,113.36
2051,32,all,111.58
2051,32,foreign-born,126.28
2051,32,native-born,109.18
2051,33,all,104.43
2051,33,foreign-born,118.19
2051,33,native-born,102.18
2051,34,all,98.46
2051,34,foreign-born,111.42
2051,34,native-born,96.33
2051,35,all,90.32
2051,35,foreign-born,102.21
2051,35,native-born,88.37
2051,36,all,79.6
2051,36,foreign-born,90.08
2051,36,native-born,77.88
2051,37,all,64.6
2051,37,foreign-born,73.1
2051,37,native-born,63.2
2051,38,all,51.47
2051,38,foreign-born,58.25
2051,38,native-born,50.36
2051,39,all,40.13
2051,39,foreign-born,45.41
2051,39,native-born,39.26
2051,40,all,30.66
2051,40,foreign-born,34.7
2051,40,native-born,30.0
2051,41,all,21.78
2051,41,foreign-born,24.65
2051,41,native-born,21.31
2051,42,all,14.38
2051,42,foreign-born,16.28
2051,42,native-born,14.07
2051,43,all,8.86
2051,43,foreign-born,10.03
2051,43,native-born,8.67
2051,44,all,5.38
2051,44,foreign-born,6.09
2051,44,native-born,5.26
2051,45,all,3.24
2051,45,foreign-born,3.67
2051,45,native-born,3.17
2051,46,all,2.02
2051,46,foreign-born,2.28
2051,46,native-born,1.97
2051,47,all,1.12
2051,47,foreign-born,1.26
2051,47,native-born,1.09
2051,48,all,0.57
2051,48,foreign-born,0.65
2051,48,native-born,0.56
2051,49,all,1.17
2051,49,foreign-born,1.33
2051,49,native-born,1.15
2052,14,all,0.22
2052,14,foreign-born,0.25
2052,14,native-born,0.22
2052,15,all,0.63
2052,15,foreign-born,0.71
2052,15,native-born,0.62
2052,16,all,1.8
2052,16,foreign-born,2.04
2052,16,native-born,1.76
2052,17,all,3.63
2052,17,foreign-born,4.11
2052,17,native-born,3.55
2052,18,all,7.14
2052,18,foreign-born,8.08
2052,18,native-born,6.98
2052,19,all,15.67
2052,19,foreign-born,17.73
2052,19,native-born,15.33
2052,20,all,24.71
2052,20,foreign-born,27.96
2052,20,native-born,24.18
2052,21,all,33.47
2052,21,foreign-born,37.88
2052,21,native-born,32.75
2052,22,all,38.1
2052,22,foreign-born,43.12
2052,22,native-born,37.28
2052,23,all,42.47
2052,23,foreign-born,48.06
2052,23,native-born,41.55
2052,24,all,49.52
2052,24,foreign-born,56.04
2052,24,native-born,48.45
2052,25,all,56.31
2052,25,foreign-born,63.73
2052,25,native-born,55.1
2052,26,all,63.03
2052,26,foreign-born,71.33
2052,26,native-born,61.67
2052,27,all,76.03
2052,27,foreign-born,86.04
2052,27,native-born,74.39
2052,28,all,90.2
2052,28,foreign-born,102.08
2052,28,native-born,88.26
2052,29,all,107.05
2052,29,foreign-born,121.15
2052,29,native-born,104.74
2052,30,all,113.57
2052,30,foreign-born,128.53
2052,30,native-born,111.13
2052,31,all,116.0
2052,31,foreign-born,131.28
2052,31,native-born,113.5
2052,32,all,111.72
2052,32,foreign-born,126.44
2052,32,native-born,109.32
2052,33,all,104.55
2052,33,foreign-born,118.32
2052,33,native-born,102.3
2052,34,all,98.57
2052,34,foreign-born,111.56
2052,34,native-born,96.45
2052,35,all,90.43
2052,35,foreign-born,102.34
2052,35,native-born,88.48
2052,36,all,79.72
2052,36,foreign-born,90.22
2052,36,native-born,78.0
2052,37,all,64.69
2052,37,foreign-born,73.21
2052,37,native-born,63.29
2052,38,all,51.55
2052,38,foreign-born,58.34
2052,38,native-born,50.44
2052,39,all,40.18
2052,39,foreign-born,45.47
2052,39,native-born,39.32
2052,40,all,30.71
2052,40,foreign-born,34.75
2052,40,native-born,30.05
2052,41,all,21.82
2052,41,foreign-born,24.7
2052,41,native-born,21.35
2052,42,all,14.41
2052,42,foreign-born,16.31
2052,42,native-born,14.1
2052,43,all,8.88
2052,43,foreign-born,10.05
2052,43,native-born,8.69
2052,44,all,5.39
2052,44,foreign-born,6.1
2052,44,native-born,5.27
2052,45,all,3.25
2052,45,foreign-born,3.68
2052,45,native-born,3.18
2052,46,all,2.02
2052,46,foreign-born,2.29
2052,46,native-born,1.98
2052,47,all,1.12
2052,47,foreign-born,1.27
2052,47,native-born,1.09
2052,48,all,0.57
2052,48,foreign-born,0.65
2052,48,native-born,0.56
2052,49,all,1.18
2052,49,foreign-born,1.33
2052,49,native-born,1.15
2053,14,all,0.22
2053,14,foreign-born,0.25
2053,14,native-born,0.21
2053,15,all,0.62
2053,15,foreign-born,0.71
2053,15,native-born,0.61
2053,16,all,1.79
2053,16,foreign-born,2.02
2053,16,native-born,1.75
