year,age,sex,number_of_people
2022,39,male,2164012.0
2022,40,female,2191978.0
2022,40,male,2169723.0
2022,41,female,2179034.0
2022,41,male,2153677.0
2022,42,female,2149465.0
2022,42,male,2122547.0
2022,43,female,2078462.0
2022,43,male,2043497.0
2022,44,female,2040089.0
2022,44,male,1996586.0
2022,45,female,2002278.0
2022,45,male,1956926.0
2022,46,female,1958239.0
2022,46,male,1909983.0
2022,47,female,1950223.0
2022,47,male,1900418.0
2022,48,female,1935900.0
2022,48,male,1881989.0
2022,49,female,1957388.0
2022,49,male,1898712.0
2022,50,female,2051141.0
2022,50,male,2016096.0
2022,51,female,2140671.0
2022,51,male,2109796.0
2022,52,female,2136832.0
2022,52,male,2103725.0
2022,53,female,2060778.0
2022,53,male,2024189.0
2022,54,female,2021607.0
2022,54,male,1978222.0
2022,55,female,2014996.0
2022,55,male,1971625.0
2022,56,female,2059221.0
2022,56,male,2004691.0
2022,57,female,2138360.0
2022,57,male,2065788.0
2022,58,female,2189313.0
2022,58,male,2102244.0
2022,59,female,2199140.0
2022,59,male,2103681.0
2022,60,female,2213263.0
2022,60,male,2129318.0
2022,61,female,2213749.0
2022,61,male,2119694.0
2022,62,female,2208857.0
2022,62,male,2078366.0
2022,63,female,2166561.0
2022,63,male,2023862.0
2022,64,female,2150600.0
2022,64,male,1992789.0
2022,65,female,2069217.0
2022,65,male,1915026.0
2022,66,female,2007972.0
2022,66,male,1837732.0
2022,67,female,1957907.0
2022,67,male,1773909.0
2022,68,female,1894676.0
2022,68,male,1700379.0
2022,69,female,1831255.0
2022,69,male,1626979.0
2022,70,female,1776168.0
2022,70,male,1572548.0
2022,71,female,1687294.0
2022,71,male,1477901.0
2022,72,female,1617388.0
2022,72,male,1404097.0
2022,73,female,1572509.0
2022,73,male,1359024.0
2022,74,female,1562664.0
2022,74,male,1348450.0
2022,75,female,1400626.0
2022,75,male,1245700.0
2022,76,female,1180486.0
2022,76,male,1029782.0
2022,77,female,1036734.0
2022,77,male,881391.0
2022,78,female,1020317.0
2022,78,male,856218.0
2022,79,female,985052.0
2022,79,male,814005.0
2022,80,female,883114.0
2022,80,male,715717.0
2022,81,female,779105.0
2022,81,male,616178.0
2022,82,female,706688.0
2022,82,male,545525.0
2022,83,female,652399.0
2022,83,male,492031.0
2022,84,female,595901.0
2022,84,male,440177.0
2022,85,female,529950.0
2022,85,male,383792.0
2022,86,female,479734.0
2022,86,male,337592.0
2022,87,female,429483.0
2022,87,male,289514.0
2022,88,female,372825.0
2022,88,male,240730.0
2022,89,female,330791.0
2022,89,male,204353.0
2022,90,female,292534.0
2022,90,male,172081.0
2022,91,female,255759.0
2022,91,male,142461.0
2022,92,female,217162.0
2022,92,male,113249.0
2022,93,female,178885.0
2022,93,male,86835.0
2022,94,female,147388.0
2022,94,male,66444.0
2022,95,female,116044.0
2022,95,male,48442.0
2022,96,female,89360.0
2022,96,male,34102.0
2022,97,female,67925.0
2022,97,male,23872.0
2022,98,female,49601.0
2022,98,male,16180.0
2022,99,female,34950.0
2022,99,male,10513.0
2022,100+,female,62224.0
2022,100+,male,15144.0
2023,16,female,2299870.0
2023,16,male,2356590.0
2023,17,female,2272335.0
2023,17,male,2326620.0
2023,18,female,1943238.0
2023,18,male,2039604.0
2023,19,female,1944936.0
2023,19,male,2039579.0
2023,20,female,2190143.0
2023,20,male,2198367.0
2023,21,female,2191911.0
2023,21,male,2201461.0
2023,22,female,2221978.0
2023,22,male,2232692.0
2023,23,female,2223248.0
2023,23,male,2232187.0
2023,24,female,2210217.0
2023,24,male,2213791.0
2023,25,female,2108121.0
2023,25,male,2130916.0
2023,26,female,2112478.0
2023,26,male,2132878.0
2023,27,female,2138397.0
2023,27,male,2157924.0
2023,28,female,2169578.0
2023,28,male,2186892.0
2023,29,female,2208908.0
2023,29,male,2222876.0
2023,30,female,2240606.0
2023,30,male,2263959.0
2023,31,female,2289759.0
2023,31,male,2297945.0
2023,32,female,2329992.0
2023,32,male,2327546.0
2023,33,female,2325357.0
2023,33,male,2325297.0
2023,34,female,2279801.0
2023,34,male,2278770.0
2023,35,female,2229880.0
2023,35,male,2233092.0
2023,36,female,2198800.0
2023,36,male,2207766.0
2023,37,female,2198986.0
2023,37,male,2210847.0
2023,38,female,2189952.0
2023,38,male,2197379.0
2023,39,female,2165876.0
2023,39,male,2167411.0
2023,40,female,2187411.0
2023,40,male,2194782.0
2023,41,female,2181227.0
2023,41,male,2182197.0
2023,42,female,2166214.0
2023,42,male,2163927.0
2023,43,female,2135006.0
2023,43,male,2130974.0
2023,44,female,2062624.0
2023,44,male,2049602.0
2023,45,female,2031716.0
2023,45,male,2017591.0
2023,46,female,1988335.0
2023,46,male,1967074.0
2023,47,female,1943403.0
2023,47,male,1918278.0
2023,48,female,1933531.0
2023,48,male,1906318.0
2023,49,female,1917455.0
2023,49,male,1885175.0
2023,50,female,1955170.0
2023,50,male,1936590.0
2023,51,female,2034218.0
2023,51,male,2016569.0
2023,52,female,2121481.0
2023,52,male,2108251.0
2023,53,female,2116842.0
2023,53,male,2101171.0
2023,54,female,2040752.0
2023,54,male,2020878.0
2023,55,female,1989652.0
2023,55,male,1968479.0
2023,56,female,1990223.0
2023,56,male,1954578.0
2023,57,female,2033062.0
2023,57,male,1985928.0
2023,58,female,2109486.0
2023,58,male,2043963.0
2023,59,female,2158040.0
2023,59,male,2077504.0
2023,60,female,2183948.0
2023,60,male,2086841.0
2023,61,female,2185249.0
2023,61,male,2076346.0
2023,62,female,2183311.0
2023,62,male,2079958.0
2023,63,female,2156459.0
2023,63,male,2040886.0
2023,64,female,2113520.0
2023,64,male,1984431.0
2023,65,female,2069535.0
2023,65,male,1891826.0
2023,66,female,2035041.0
2023,66,male,1841814.0
2023,67,female,1973626.0
2023,67,male,1765435.0
2023,68,female,1922663.0
2023,68,male,1701702.0
2023,69,female,1858577.0
2023,69,male,1628619.0
2023,70,female,1802346.0
2023,70,male,1600624.0
2023,71,female,1736002.0
2023,71,male,1526227.0
2023,72,female,1646483.0
2023,72,male,1431315.0
2023,73,female,1575288.0
2023,73,male,1356616.0
2023,74,female,1528254.0
2023,74,male,1309544.0
2023,75,female,1475281.0
2023,75,male,1277022.0
2023,76,female,1390613.0
2023,76,male,1200833.0
2023,77,female,1168561.0
2023,77,male,988945.0
2023,78,female,1022620.0
2023,78,male,842413.0
2023,79,female,1002505.0
2023,79,male,814061.0
2023,80,female,963742.0
2023,80,male,769513.0
2023,81,female,859982.0
2023,81,male,672415.0
2023,82,female,754627.0
2023,82,male,574829.0
2023,83,female,680305.0
2023,83,male,505100.0
2023,84,female,623565.0
2023,84,male,451714.0
2023,85,female,565013.0
2023,85,male,400259.0
2023,86,female,497907.0
2023,86,male,345344.0
2023,87,female,446093.0
2023,87,male,299975.0
2023,88,female,394544.0
2023,88,male,253542.0
2023,89,female,337836.0
2023,89,male,207406.0
2023,90,female,295208.0
2023,90,male,172950.0
2023,91,female,256809.0
2023,91,male,142838.0
2023,92,female,220440.0
2023,92,male,115673.0
2023,93,female,183554.0
2023,93,male,89762.0
2023,94,female,147850.0
2023,94,male,66984.0
2023,95,female,118856.0
2023,95,male,49816.0
2023,96,female,90872.0
2023,96,male,34939.0
2023,97,female,67997.0
2023,97,male,23796.0
2023,98,female,50218.0
2023,98,male,16112.0
2023,99,female,35609.0
2023,99,male,10591.0
2023,100+,female,64010.0
2023,100+,male,15634.0
2024,16,female,2299603.0
2024,16,male,2332740.0
2024,17,female,2305201.0
2024,17,male,2338061.0
2024,18,female,2011766.0
2024,18,male,2130430.0
2024,19,female,1996064.0
2024,19,male,2112389.0
2024,20,female,2146922.0
2024,20,male,2143409.0
2024,21,female,2145135.0
2024,21,male,2141360.0
2024,22,female,2148390.0
2024,22,male,2146093.0
2024,23,female,2179414.0
2024,23,male,2178333.0
2024,24,female,2182680.0
2024,24,male,2180346.0
2024,25,female,2135242.0
2024,25,male,2125574.0
2024,26,female,2135368.0
2024,26,male,2123580.0
2024,27,female,2141071.0
2024,27,male,2127093.0
2024,28,female,2168044.0
2024,28,male,2152692.0
2024,29,female,2199817.0
2024,29,male,2181605.0
2024,30,female,2235106.0
2024,30,male,2232543.0
2024,31,female,2282765.0
2024,31,male,2277730.0
2024,32,female,2331307.0
2024,32,male,2310567.0
2024,33,female,2370843.0
2024,33,male,2339425.0
2024,34,female,2365486.0
2024,34,male,2337245.0
2024,35,female,2295792.0
2024,35,male,2276731.0
2024,36,female,2249751.0
2024,36,male,2234312.0
2024,37,female,2217859.0
2024,37,male,2208314.0
2024,38,female,2216903.0
2024,38,male,2210088.0
2024,39,female,2206218.0
2024,39,male,2195081.0
2024,40,female,2197395.0
2024,40,male,2186601.0
2024,41,female,2203056.0
2024,41,male,2189622.0
2024,42,female,2194389.0
2024,42,male,2174459.0
2024,43,female,2176929.0
2024,43,male,2153842.0
2024,44,female,2143766.0
2024,44,male,2119016.0
2024,45,female,2077277.0
2024,45,male,2052828.0
2024,46,female,2035160.0
2024,46,male,2000913.0
2024,47,female,1990560.0
2024,47,male,1949055.0
2024,48,female,1944567.0
2024,48,male,1899412.0
2024,49,female,1933012.0
2024,49,male,1885375.0
2024,50,female,1958245.0
2024,50,male,1923199.0
2024,51,female,1976674.0
2024,51,male,1935227.0
2024,52,female,2054845.0
2024,52,male,2012753.0
2024,53,female,2141642.0
2024,53,male,2102204.0
2024,54,female,2136157.0
2024,54,male,2094188.0
2024,55,female,2050655.0
2024,55,male,2003196.0
2024,56,female,2009527.0
2024,56,male,1954997.0
2024,57,female,2009394.0
2024,57,male,1940081.0
2024,58,female,2051782.0
2024,58,male,1969644.0
2024,59,female,2127206.0
2024,59,male,2024660.0
2024,60,female,2211638.0
2024,60,male,2086271.0
2024,61,female,2218174.0
2024,61,male,2082551.0
2024,62,female,2175599.0
2024,62,male,2083673.0
2024,63,female,2172696.0
2024,63,male,2068400.0
2024,64,female,2144428.0
2024,64,male,2026664.0
2024,65,female,2074988.0
2024,65,male,1911692.0
2024,66,female,2056840.0
2024,66,male,1877137.0
2024,67,female,2021312.0
2024,67,male,1825472.0
2024,68,female,1959021.0
2024,68,male,1747935.0
2024,69,female,1906411.0
2024,69,male,1682379.0
2024,70,female,1832685.0
2024,70,male,1625576.0
2024,71,female,1766689.0
2024,71,male,1549965.0
2024,72,female,1698990.0
2024,72,male,1474890.0
2024,73,female,1608483.0
2024,73,male,1379881.0
2024,74,female,1535794.0
2024,74,male,1304377.0
2024,75,female,1414875.0
2024,75,male,1224444.0
2024,76,female,1398835.0
2024,76,male,1206958.0
2024,77,female,1314771.0
2024,77,male,1130642.0
2024,78,female,1101374.0
2024,78,male,927278.0
2024,79,female,960277.0
2024,79,male,786038.0
2024,80,female,937278.0
2024,80,male,755213.0
2024,81,female,896644.0
2024,81,male,709414.0
2024,82,female,795778.0
2024,82,male,615689.0
2024,83,female,693986.0
2024,83,male,522398.0
2024,84,female,621291.0
2024,84,male,455211.0
2024,85,female,564880.0
2024,85,male,403114.0
2024,86,female,507183.0
2024,86,male,353455.0
2024,87,female,442554.0
2024,87,male,301292.0
2024,88,female,391912.0
2024,88,male,258026.0
2024,89,female,342044.0
2024,89,male,214651.0
2024,90,female,288504.0
2024,90,male,172549.0
2024,91,female,247991.0
2024,91,male,141133.0
2024,92,female,211963.0
2024,92,male,114148.0
2024,93,female,178505.0
2024,93,male,90314.0
2024,94,female,145456.0
2024,94,male,68304.0
2024,95,female,114335.0
2024,95,male,49540.0
2024,96,female,89248.0
2024,96,male,35424.0
2024,97,female,66395.0
2024,97,male,24048.0
2024,98,female,48387.0
2024,98,male,15856.0
2024,99,female,34810.0
2024,99,male,10433.0
2024,100+,female,64132.0
2024,100+,male,15973.0
2025,16,female,2308229.0
2025,16,male,2363348.0
2025,17,female,2367891.0
2025,17,male,2425850.0
2025,18,female,2058284.0
2025,18,male,2161479.0
2025,19,female,2035224.0
