GEOID,AGE_GROUP,SEX,INMIG2029,OUTMIG2029,NETMIG2029,INMIG2034,OUTMIG2034,NETMIG2034,INMIG2039,OUTMIG2039,NETMIG2039,INMIG2044,OUTMIG2044,NETMIG2044,INMIG2049,OUTMIG2049,NETMIG2049,INMIG2054,OUTMIG2054,NETMIG2054,INMIG2059,OUTMIG2059,NETMIG2059,INMIG2064,OUTMIG2064,NETMIG2064,INMIG2069,OUTMIG2069,NETMIG2069,INMIG2074,OUTMIG2074,NETMIG2074,INMIG2079,OUTMIG2079,NETMIG2079,INMIG2084,OUTMIG2084,NETMIG2084,INMIG2089,OUTMIG2089,NETMIG2089,INMIG2094,OUTMIG2094,NETMIG2094
01,0-4,FEMALE,2805.4885873881103,2751.0173043066543,54.47128308145602,2703.9082376640663,2559.0919012288978,144.81633643516852,2664.026585605917,2506.128338318373,157.89824728754365,2631.120723767252,2466.9830561846547,164.13766758259726,2595.2125269415014,2400.8857862371483,194.32674070435314,2527.3757122661827,2294.1077092591268,233.268003007056,2443.1383879554387,2180.0549607156386,263.08342723980013,2364.899086336287,2077.429633842271,287.46945249401597,2310.077758087977,1999.7032472536353,310.3745108343419,2278.56246988554,1948.4426039628818,330.11986592265816,2254.3825086929564,1902.9714710968917,351.4110375960647,2221.0416164088365,1844.8139496321674,376.22766677666914,2174.7224132592164,1773.975431160656,400.74698209856047,2123.255334957889,1702.4893366181846,420.7659983397043
01,0-4,MALE,3165.699476222844,2974.766294195988,190.93318202685623,3071.923506601215,2794.155347277516,277.76815932369936,3031.5640468375673,2737.089533139418,294.47451369814917,2997.9570515023934,2695.005011705572,302.9520397968213,2962.2710301885786,2623.3982337328325,338.8727964557461,2891.2288287327124,2507.1551962255,384.07363250721255,2800.978782712075,2382.9051624596977,418.07362025237717,2716.8911025577263,2271.0610375383376,445.8300650193887,2658.7056293088704,2186.365961264945,472.3396680439255,2626.523323273198,2130.5603524469457,495.96297082625233,2602.6326729069024,2081.054718456145,521.5779544507573,2568.5206728586777,2017.6197113534654,550.9009615052123,2519.613465016052,1940.3114735706074,579.3019914454446,2464.4804544162116,1862.255453371325,602.2250010448865
01,10-14,FEMALE,2330.946675321247,2454.3387256621527,-123.39205034090583,2255.232596366562,2404.460163153172,-149.2275667866097,2101.4736038124242,2257.680286870758,-156.20668305833397,2010.623112215465,2103.2620391878195,-92.63892697235451,1971.5392112289971,2060.4200285533625,-88.88081732436535,1941.8007144732196,2028.7332304092145,-86.93251593599484,1911.2790001227345,1975.5449573500791,-64.26595722734464,1858.3237197071976,1889.2418672069655,-30.918147499767883,1792.8566725846256,1796.6676202972524,-3.810947712626785,1730.632473719534,1713.2474017144348,17.38507200509912,1685.1498443713735,1650.1847818164545,34.965062554919086,1657.683569233751,1608.6929482875958,48.99062094615533,1636.9209607610778,1572.0237271206372,64.89723364044062,1610.3740504665775,1525.0335851798407,85.34046528673684
01,10-14,MALE,2430.5727952775296,2598.8447927317247,-168.27199745419512,2357.0846812131854,2529.2144103326686,-172.12972911948327,2203.690396859591,2370.543047042478,-166.85265018288692,2130.602404399403,2230.190174361242,-99.58776996183906,2099.6128162453565,2185.885822458338,-86.27300621298173,2075.3909241731876,2153.189203639297,-77.7982794661093,2048.5978952914597,2097.586535169466,-48.988639878006325,1996.916172449986,2006.680120601551,-9.763948151564819,1931.503772581141,1909.0346110693054,22.469161511835637,1869.4396533616143,1821.0133834029616,48.42626995865271,1824.608046758068,1754.5093166285055,70.09873012956245,1798.2206816812318,1710.8344450393429,87.3862366418889,1778.5175640401355,1672.218862308703,106.29870173143263,1752.4428920901357,1622.6077535831441,129.8351385069916
01,15-19,FEMALE,11250.19937282944,5386.2772959629965,5863.922076866444,10639.205216520531,4892.991336929142,5746.21387959139,10334.564768934739,4793.679773737828,5540.8849951969105,9635.284687887399,4501.769093321001,5133.515594566398,9256.5895960802,4196.370007410148,5060.219588670053,9135.209862328114,4111.501379608516,5023.708482719599,9048.450820045846,4048.824247249599,4999.626572796247,8936.55105074143,3943.821941707584,4992.729109033846,8695.252273687787,3773.0148101901927,4922.237463497595,8389.575650088353,3589.4273162646227,4800.14833382373,8101.040283272261,3423.8688831916697,4677.171400080591,7897.0463243843515,3298.787658694154,4598.258665690198,7785.494293835067,3216.6185475167354,4568.875746318332,7706.741908227774,3144.108343569922,4562.633564657852
01,15-19,MALE,12025.4762599668,5556.6666176837425,6468.809642283057,11440.272339565661,5118.929412746336,6321.342926819325,11134.809584710752,4983.841606929454,6150.967977781298,10439.80066176093,4673.390589798372,5766.410071962558,10105.669399613163,4400.362580671453,5705.306818941711,9988.169889404855,4314.671992498694,5673.497896906161,9897.014927402974,4251.600392393859,5645.414535009115,9789.019280900799,4143.843529349135,5645.175751551664,9556.878880347645,3966.5957995439617,5590.283080803683,9256.32189091628,3775.7132030990006,5480.60868781728,8966.757911202625,3603.47581779792,5363.282093404705,8758.894872923604,3473.4523075963143,5285.442565327289,8643.860894414478,3388.3070217940494,5255.553872620429,8563.625644385376,3313.131674570757,5250.493969814619
01,20-24,FEMALE,7943.014345441111,7586.703699945127,356.3106454959843,8121.307416429095,7920.929795782231,200.37762064686376,7732.269904085044,7216.348534368836,515.9213697162077,7514.580120493848,7067.437898753619,447.1422217402287,7063.348822980196,6636.217517021369,427.1313059588274,6801.571571564064,6199.653142411357,601.9184291527063,6705.203147414711,6078.2044447641765,626.9987026505341,6627.5927268272735,5988.811086533785,638.7816402934886,6536.7476034249075,5839.905112027821,696.8424913970866,6367.94584165245,5594.475183123703,773.4706585287477,6158.296610944846,5328.482073886379,829.8145370584671,5961.936772785541,5088.028016019834,873.908756765707,5821.989127190184,4907.014492059324,914.9746351308604,5739.400632030334,4789.2246979398615,950.1759340904728
01,20-24,MALE,8550.20119145786,8028.895847033296,521.3053444245634,8862.633618698199,8485.611724139148,377.02189455905136,8440.377439298662,7838.766659925499,601.6107793731626,8217.094212103293,7635.7804999092805,581.3137121940126,7762.646122816035,7164.834226018963,597.8118967970722,7549.0818007463085,6762.46690986495,786.6148908813584,7469.474431451739,6637.213076169987,832.261355281752,7405.317944193861,6545.320822620157,859.9971215737041,7325.364175012623,6388.540966931754,936.8232080808684,7159.487636382962,6126.502703295921,1032.984933087041,6947.0765625022905,5841.508791421224,1105.567771081067,6747.344418348757,5583.496222324417,1163.8481960243398,6606.580722857757,5389.34780196128,1217.2329208964766,6526.253883287032,5263.543794145572,1262.7100891414602
01,25-29,FEMALE,5240.491807776572,6476.930278111757,-1236.4384703351843,5207.515931603825,6756.9344045492735,-1549.4184729454482,5336.394009238871,7049.5130187524155,-1713.1190095135444,5106.777550080356,6437.404935351124,-1330.6273852707673,4982.385134239635,6303.54209237374,-1321.1569581341055,4706.979325542196,5920.857343593917,-1213.8780180517206,4552.535283792542,5540.6178202509545,-988.0825364584125,4497.20244891137,5434.395940266039,-937.1934913546693,4455.382017682864,5356.077421890007,-900.6954042071429,4406.7041258284635,5226.661392512312,-819.9572666838485,4305.810434162245,5012.112910852878,-706.3024766906328,4176.887065120772,4778.3931163539,-601.5060512331283,4055.182971439583,4566.7970037167015,-511.61403227711844,3968.3252394857504,4407.884653583663,-439.5594140979124
01,25-29,MALE,5717.860952986322,6467.485633386137,-749.6246803998147,5793.706659551454,6830.629905775577,-1036.9232462241225,6019.803288987336,7216.370953762922,-1196.5676647755863,5780.854956935216,6680.734633054234,-899.8796761190179,5657.300333552038,6511.437565845049,-854.137232293011,5373.173117450069,6115.879963035359,-742.7068455852896,5245.070792349228,5784.51294388039,-539.4421515311615,5200.82552053772,5682.500471865873,-481.67495132815293,5168.674927042518,5607.916818139753,-439.24189109723466,5127.962611946302,5479.960425991635,-351.99781404533314,5028.899321899498,5263.068486943632,-234.16916504413348,4896.748371864619,5025.514143823475,-128.76577195885602,4770.799556927476,4810.085198056712,-39.285641129235955,4681.94553539412,4648.582350291602,33.3631851025184
