GEOID,AGE_GROUP,SEX,POPULATION_REMAINDER
01,0-4,FEMALE,0.3956638477393426
01,10-14,FEMALE,0.07328067580237985
01,15-19,FEMALE,0.21474285011936445
01,20-24,FEMALE,-0.3275081428437261
01,25-29,FEMALE,0.49351128935813904
01,30-34,FEMALE,-0.35930979580734856
01,35-39,FEMALE,-0.20190994566655718
01,40-44,FEMALE,-0.4988168294366915
01,45-49,FEMALE,0.49946471919247415
01,5-9,FEMALE,-0.24731527820404153
01,50-54,FEMALE,-0.07745778819662519
01,55-59,FEMALE,0.22468828955607023
01,60-64,FEMALE,0.3599379434454022
01,65-69,FEMALE,0.19297871644084807
01,70-74,FEMALE,0.4955360112362541
01,75-79,FEMALE,0.31209927139570937
01,80-84,FEMALE,-0.4744817542814417
01,85+,FEMALE,0.18009937714668922
01,0-4,MALE,-0.3905293302377686
01,10-14,MALE,-0.1371711419778876
01,15-19,MALE,-0.21685603314836044
01,20-24,MALE,0.027428004861576483
01,25-29,MALE,-0.3168258504883852
01,30-34,MALE,-0.012173148745205253
01,35-39,MALE,-0.3628093862498645
01,40-44,MALE,-0.28821115905884653
01,45-49,MALE,-0.09977192638325505
01,5-9,MALE,0.1067062283254927
01,50-54,MALE,-0.3573036469751969
01,55-59,MALE,-0.0419155155250337
01,60-64,MALE,0.10026556835509837
01,65-69,MALE,0.23994095534726512
01,70-74,MALE,0.3651550900103757
01,75-79,MALE,-0.15116535205743276
01,80-84,MALE,0.28477655904134735
01,85+,MALE,0.23164694706792943
02,0-4,FEMALE,0.32574094048322877
02,10-14,FEMALE,-0.18556370907572273
02,15-19,FEMALE,0.45068451862607617
02,20-24,FEMALE,0.2508990317764983
02,25-29,FEMALE,0.14327365205826936
02,30-34,FEMALE,-0.33725900289755373
02,35-39,FEMALE,0.008663872875331435
02,40-44,FEMALE,0.2038602780939982
02,45-49,FEMALE,-0.27952894066038425
02,5-9,FEMALE,-0.4481835099431919
02,50-54,FEMALE,0.1096524940821837
02,55-59,FEMALE,0.14122611654238426
02,60-64,FEMALE,-0.35357411806762684
02,65-69,FEMALE,0.25437108372898365
02,70-74,FEMALE,0.33394072180635703
02,75-79,FEMALE,0.3612476371745288
02,80-84,FEMALE,0.34859696982312016
02,85+,FEMALE,-0.16477015174677945
02,0-4,MALE,-0.26148868420023064
02,10-14,MALE,0.3076011032317183
02,15-19,MALE,-0.2344137290456274
02,20-24,MALE,0.49435936286317883
02,25-29,MALE,-0.024140013845681096
02,30-34,MALE,0.26100301721089636
02,35-39,MALE,-0.3737578840336937
02,40-44,MALE,0.25655433245628956
02,45-49,MALE,-0.062301321642735275
02,5-9,MALE,-0.21907335827563656
02,50-54,MALE,-0.14466441007243702
02,55-59,MALE,0.3745624952007347
02,60-64,MALE,-0.03447214441803226
02,65-69,MALE,-0.07264481523816357
02,70-74,MALE,-0.49468813410749135
02,75-79,MALE,-0.3598320905621222
02,80-84,MALE,-0.2927263184938056
02,85+,MALE,-0.06863456475912244
04,0-4,FEMALE,0.24579686365905218
04,10-14,FEMALE,-0.18730524854618125
04,15-19,FEMALE,-0.008580914640333503
04,20-24,FEMALE,0.15144840819993988
04,25-29,FEMALE,-0.4373244770686142
04,30-34,FEMALE,-0.4338785454456229
